#1.3
2429	22	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K99107520-summary	BRD-K70401845-summary	BRD-A73368467-summary	BRD-K08206212-summary	BRD-K32977963-summary	BRD-A07395371-summary	BRD-K51677086-summary	BRD-A02367930-summary	BRD-K70301876-summary	BRD-A30815329-summary	BRD-K13514097-summary	BRD-A54880345-summary	BRD-K63630713-summary	BRD-K76617868-summary	BRD-K54472332-summary	BRD-A50684349-summary	BRD-K37798499-summary	BRD-A74667430-summary	BRD-A18917088-summary	BRD-K45033733-summary	BRD-A73741725-summary	BRD-K00673382-summary
BRD-K77175907	CP	calcifediol	vitamin D receptor agonist	VDR	Vitamin D receptor agonist	9.13, 3.85	33.11	0.88, 0.28	79.18	96.49	91.74	99.75	1.09	61.44	88.24	4.26	47.87	19.21	17.33	70.41	34.32	51.30	17.75	5.39	30.23	-13.51	17.11	31.15	51.14	31.90
BRD-K02526760	CP	QS-11	ARFGAP inhibitor	ARFGAP1		3.85, 0.48	33.10	1.27, 0.35	35.87	86.71	40.14	52.18	82.71	24.32	32.77	33.43	21.75	77.07	18.04	47.53	81.97	21.44	74.85	21.35	68.50	31.26	17.90	13.18	22.43	21.55
BRD-K10467831	CP	tibolone	estrogen receptor agonist, androgen receptor agonist, progesterone receptor agonist, selective estrogen receptor modulator (SERM), steryl sulfatase inhibitor	AR, ESR1, PGR, STS	Androgen receptor modulator	4.81, 1.92	33.09	1.91, 0.58	49.12	26.28	-9.16	67.72	95.88	18.59	68.37	13.88	27.23	36.29	49.56	15.49	19.55	95.86	83.18	12.61	56.81	29.89	66.17	0.00	10.51	67.50
BRD-K49404994	CP	levetiracetam	acetylcholine receptor agonist, N-type calcium channel blocker, synaptic vesicle glycoprotein ligand	SV2A, CACNA1B, SCN1A		6.82, 1.70	33.09	0.77, 0.24	47.04	67.57	29.20	27.39	48.89	99.72	59.79	48.12	93.93	47.09	7.91	23.18	10.21	76.78	36.98	16.82	16.86	28.52	92.07	2.04	0.14	26.70
BRD-A49172652	CP	lansoprazole	ATPase inhibitor	ATP4A, CYP2C19, CYP3A4, CYP3A5		5.11, 3.98	33.08	1.35, 0.30	18.47	1.37	71.67	-30.92	4.69	75.93	30.08	-0.28	97.22	86.19	0.85	36.08	25.33	98.98	98.56	3.90	69.50	95.72	19.00	85.45	38.34	-79.04
BRD-K13642330	CP	cosmosiin	cytochrome P450 inhibitor			5.77, 3.85	33.08	1.77, 0.51	33.03	97.71	24.53	88.30	29.78	-37.79	78.48	39.35	11.03	6.52	11.46	33.23	28.23	99.33	64.18	-99.22	6.06	98.27	88.99	15.31	33.13	92.25
BRD-A23290232	CP	westcort	corticosteroid		Glucocorticoid receptor agonist	4.69, 3.13	33.07	1.26, 0.47	6.06	23.38	32.55	47.65	22.88	33.60	84.57	17.45	11.94	69.85	35.38	99.93	25.95	5.04	42.81	57.17	54.11	38.67	13.01	4.78	78.59	16.06
BRD-K81783531	CP	VX-222	HCV inhibitor, RNA-directed RNA polymerase inhibitor			7.69, 5.29	33.04	0.59, 0.25	74.05	90.50	72.54	99.68	50.28	67.71	13.29	11.88	56.04	73.58	-8.80	37.33	31.31	-3.07	34.78	10.63	24.42	36.71	24.91	12.19	29.04	16.56
BRD-A06352418	CP	terfenadine	histamine receptor antagonist	HRH1, KCNH2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, KCNH1		2.40, 0.48	32.99	1.94, 0.60	35.72	97.91	35.94	-17.36	3.66	15.80	50.52	-5.30	47.45	47.44	96.03	-11.72	30.38	32.86	52.42	11.79	39.32	10.04	33.11	30.34	89.55	31.40
BRD-K89152108	CP	liothyronine	thyroid hormone function stimulant	THRA, THRB		4.69, 0.52	32.98	0.84, 0.28	59.67	72.90	72.27	40.55	95.95	32.49	5.76	12.07	7.48	31.83	14.80	46.05	95.84	46.83	33.47	17.95	21.15	9.09	50.36	84.62	4.21	20.04
BRD-K04146668	CP	GW-441756	growth factor receptor inhibitor, leucine rich repeat kinase inhibitor	LRRK2, NTRK1		3.37, 1.92	32.98	1.23, 0.33	24.78	94.49	13.33	75.54	25.92	20.76	49.99	0.28	56.88	33.52	17.87	23.66	64.28	88.71	73.80	53.95	63.70	75.40	30.27	10.41	32.43	14.34
BRD-K01436366	CP	XMD-1150	leucine rich repeat kinase inhibitor	LRRK2	Leucine rich repeat kinase inhibitor	8.17, 6.25	32.96	1.33, 0.56	19.83	68.42	57.12	21.10	-1.59	29.53	27.42	5.36	81.44	52.07	99.72	30.81	28.23	37.00	44.74	3.88	35.11	5.26	98.39	15.52	58.22	64.31
BRD-A49765801	CP	fludroxycortide	corticosteroid, glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist	4.81, 1.44	32.94	1.34, 0.80	55.05	67.57	41.37	43.27	78.97	96.10	33.51	11.92	64.10	29.75	12.66	87.33	7.44	32.37	12.06	11.48	15.14	24.79	55.01	2.54	79.28	7.76
BRD-K50128260	CP	sildenafil	phosphodiesterase inhibitor	PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3		2.88, 0.48	32.93	0.40, 0.06	-9.56	29.34	28.85	90.21	87.01	53.97	23.42	68.95	39.19	36.52	4.87	16.02	16.02	60.75	57.99	27.52	23.59	74.13	37.53	21.63	54.08	8.36
BRD-A72483914	CP	spiroxatrine	serotonin receptor antagonist	HTR1A, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR2B		7.81, 2.08	32.92	1.03, 0.24	90.82	27.98	65.44	44.04	98.57	93.93	90.79	47.48	17.44	37.57	-5.71	12.60	78.58	12.30	7.73	7.65	65.04	25.95	28.27	23.75	51.38	26.48
BRD-K66175015	CP	afatinib	EGFR inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4	EGFR inhibitor	3.85, 2.40	32.89	1.34, 0.32	-19.47	99.22	6.17	16.20	-1.56	26.16	3.33	22.75	16.80	32.14	86.88	52.91	88.67	80.67	99.30	6.93	66.11	33.64	93.12	10.10	91.70	75.00
BRD-K99545815	CP	PF-562271	focal adhesion kinase inhibitor, angiogenesis inhibitor, apoptosis stimulant	PTK2, PTK2B		3.23, 0.54	32.87	2.69, 1.02	10.36	75.71	47.08	53.97	1.66	8.00	89.23	25.97	4.34	11.29	5.91	65.85	5.50	73.97	57.68	88.91	61.69	14.28	39.78	3.45	-13.31	70.39
BRD-M64432851	CP	sunitinib	FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, colony stimulating factor receptor inhibitor, platelet-derived growth factor receptor (PDGFR) inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor, vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR antagonist	FLT3, KDR, KIT, FLT4, FLT1, PDGFRA, PDGFRB, RET, CSF1R, FGFR1	FLT3 inhibitor, PDGFR/KIT inhibitor, RAF inhibitor, VEGFR inhibitor	5.77, 3.37	32.86	1.50, 0.52	33.67	98.06	14.55	3.74	16.84	32.05	24.51	9.22	27.92	36.43	96.32	31.96	24.37	42.84	89.17	5.98	56.00	54.76	35.60	8.94	62.80	42.65
BRD-K87048468	CP	RS-102221	serotonin receptor antagonist	HTR2C, HTR2A, HTR2B		2.88, 1.44	32.83	1.13, 0.25	95.47	34.71	3.97	3.45	55.09	34.26	14.86	64.13	15.39	88.53	10.51	34.46	59.15	58.14	29.34	76.51	12.23	66.77	20.57	21.75	31.41	20.19
BRD-K77008974	CP	WYE-354	mTOR inhibitor	MTOR	MTOR inhibitor	2.40, 0.48	32.81	1.44, 0.57	47.23	37.56	10.98	50.63	28.06	2.12	20.43	14.33	45.12	16.07	89.86	8.83	55.35	65.46	80.23	25.89	63.89	46.85	1.30	-1.73	42.49	25.71
BRD-K19894101	CP	MST-312	telomerase inhibitor	TERT		2.88, 1.44	32.80	1.36, 0.32	6.30	27.77	15.64	80.94	32.08	33.98	56.55	9.49	53.43	33.52	82.88	14.66	60.97	5.98	69.44	64.27	97.04	4.92	34.83	3.49	17.94	16.57
BRD-K19360254	CP	ergocornine	dopamine receptor agonist	DRD2		0.96, 0.48	32.78	1.14, 0.24	19.49	13.24	29.73	26.88	43.91	44.19	41.53	52.73	73.29	82.70	3.98	48.59	9.26	8.35	52.57	35.84	-1.28	97.46	-0.18	80.90	21.90	-28.71
BRD-K95309561	CP	dienestrol	estrogen receptor agonist	ESR1	Estrogen receptor agonist	1.44, 0.48	32.75	0.34, 0.25	55.12	33.39	32.12	44.14	70.95	69.02	41.42	59.21	14.62	56.77	6.54	19.98	27.84	26.06	13.13	8.37	7.47	41.49	34.87	25.56	28.87	42.20
BRD-A44448661	CP	pentobarbital	GABA receptor modulator	GABRA1, CHRNA4, CHRNA7, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B		3.65, 1.04	32.67	1.23, 0.52	32.91	55.18	3.65	47.04	95.95	50.18	23.06	79.74	-41.50	21.92	10.20	0.92	74.00	44.19	88.16	32.44	42.54	27.68	25.54	30.03	12.96	54.90
BRD-K92758126	CP	gibberellic-acid	NFkB pathway modulator	AADACL2		6.25, 3.37	32.66	0.84, 0.18	93.18	66.65	53.22	94.90	51.97	52.55	99.63	26.53	5.20	32.03	4.78	-5.05	9.23	41.13	-19.09	24.53	30.03	33.29	9.82	0.78	48.82	55.25
BRD-K25906698	CP	immepip	histamine receptor agonist	HRH3, HRH4		5.29, 2.88	32.59	1.00, 0.33	85.18	-1.70	68.26	2.08	89.96	67.68	-22.81	2.48	34.19	30.99	8.35	56.11	3.59	97.82	37.24	85.70	10.06	18.98	39.80	59.21	11.46	21.26
BRD-A38749782	CP	fludrocortisone	glucocorticoid receptor agonist, mineralocorticoid receptor agonist	NR3C2, AR, NR3C1	Glucocorticoid receptor agonist	9.38, 4.69	32.58	1.64, 0.57	-8.14	40.71	-18.63	9.26	99.51	24.77	73.94	98.20	21.68	21.34	28.21	99.93	97.50	20.90	88.36	36.96	21.12	-76.41	60.96	-5.32	85.62	52.09
BRD-K44084986	CP	Y-27632	ROCK inhibitor, calcium sensitizer, leucine rich repeat kinase inhibitor	ROCK1, ROCK2, LRRK2, PKIA, PKN2, PRKACA, PRKCE	Rho associated kinase inhibitor	2.60, 2.60	32.57	1.06, 0.25	15.24	20.47	22.71	48.90	94.31	76.34	15.31	75.69	54.02	26.59	12.93	41.51	58.51	82.11	23.30	30.50	30.78	34.36	15.34	44.33	51.13	20.57
BRD-A33084410	CP	5'-guanidinonaltrindole	opioid receptor antagonist			3.65, 1.04	32.57	1.44, 0.57	48.94	-4.37	10.38	31.11	93.13	92.65	31.89	40.84	54.91	72.20	7.93	33.24	28.28	41.70	41.08	90.17	23.16	66.26	15.67	19.06	31.50	15.97
BRD-K24201553	CP	SB-269970	serotonin receptor antagonist	HTR7		2.88, 0.96	32.53	0.86, 0.31	34.08	44.08	58.71	74.08	40.26	98.62	48.60	45.56	26.84	20.78	11.47	17.96	20.86	79.50	30.98	5.29	5.92	30.65	72.52	3.49	58.82	18.32
BRD-K84987553	CP	MDM2-inhibitor	MDM inhibitor	MDM2	MDM inhibitor	6.25, 3.37	32.52	1.22, 0.52	35.51	19.27	39.87	-31.25	74.29	61.87	0.39	12.26	11.51	52.32	13.99	31.73	81.45	85.80	73.00	8.28	6.27	45.72	0.32	10.00	98.38	33.32
BRD-K28360340	CP	TW-37	BCL inhibitor, MCL1 inhibitor	BCL2, BCL2L1, MCL1	BCL inhibitor	6.25, 3.85	32.50	2.60, 0.72	40.12	66.71	5.89	44.85	73.36	-29.52	48.71	62.19	15.65	16.32	94.12	8.26	99.47	-3.03	74.70	8.50	99.44	24.88	71.47	5.21	6.31	7.86
BRD-K35128472	CP	2-aminopurine	serine/threonine protein kinase inhibitor			4.81, 2.40	32.47	1.43, 0.39	32.28	93.48	9.29	98.34	25.40	70.93	10.95	67.73	63.17	33.90	0.00	76.23	32.67	31.82	87.42	10.52	29.42	41.83	44.74	4.16	15.88	29.08
BRD-A48237631	CP	mitomycin-c	DNA alkylating drug, DNA inhibitor, DNA synthesis inhibitor		DNA synthesis inhibitor	6.25, 3.85	32.46	1.81, 0.56	6.34	70.18	5.90	15.88	24.33	-62.14	31.11	32.72	8.84	32.20	96.03	78.29	81.64	44.71	67.33	89.01	99.51	44.09	57.71	1.76	8.83	27.37
BRD-K37865504	CP	LY-2183240	FAAH inhibitor, FAAH reuptake inhibitor	FAAH		0.48, 0.00	32.45	1.76, 0.63	33.30	19.47	31.60	60.38	49.36	34.71	30.83	23.47	21.10	62.75	33.66	38.35	90.96	10.45	41.83	23.40	47.87	19.10	24.30	7.52	81.55	24.83
BRD-K56343971	CP	vemurafenib	RAF inhibitor, protein kinase inhibitor	BRAF, CYP2C19, CYP3A4, CYP3A5, RAF1	RAF inhibitor	4.33, 2.40	32.45	1.58, 0.60	33.39	99.40	19.17	25.04	38.74	62.92	37.27	47.30	36.53	29.61	30.72	8.99	14.27	56.21	98.36	15.70	37.89	20.63	55.98	-28.08	29.37	31.51
BRD-K56450366	CP	NSC-94258	antitumor agent	AKR1B1, CYP19A1, HSD17B1		4.76, 3.17	32.45	1.42, 0.42	1.72	0.00	8.20	0.00	-74.26	80.05	84.58	78.24	24.67	45.41	4.34	35.93	35.66	16.08	94.43	29.24	2.04	36.32	25.54	84.42	78.13	54.93
BRD-K02607075	CP	tubocurarine	acetylcholine receptor antagonist	CHRNA2, HTR3A, ACHE, HTR3B, KCNN1, KCNN2, KCNN3, ZACN		3.37, 1.44	32.44	1.13, 0.40	17.46	21.26	28.04	35.44	29.63	92.38	46.08	72.21	27.00	68.24	10.57	53.10	10.30	34.62	69.76	53.38	43.17	26.56	16.19	30.26	5.18	40.25
BRD-K46441700	CP	GR-55562	serotonin receptor antagonist	HTR1B, HTR1D	Serotonin receptor antagonist	3.37, 1.92	32.40	0.80, 0.25	69.85	29.54	28.96	46.79	11.75	-9.30	40.52	21.99	31.42	15.00	55.13	36.14	62.69	64.69	71.65	4.58	29.35	98.57	62.16	6.07	6.28	33.39
BRD-K11663430	CP	pyroxamide	HDAC inhibitor, cell cycle inhibitor	HDAC1	HDAC inhibitor	5.29, 2.88	32.40	1.53, 0.64	49.07	21.79	24.66	52.87	1.59	-30.87	42.33	25.56	32.88	13.73	98.93	8.44	82.34	65.39	43.15	61.21	47.91	29.55	39.98	4.83	16.07	31.92
BRD-A37837077	CP	cyclazosin	adrenergic receptor antagonist	ADRA1B, ADRA1A, ADRA1D		2.40, 1.44	32.35	0.94, 0.30	59.20	32.90	36.22	6.22	26.65	27.94	67.69	7.71	46.60	26.82	46.98	54.57	38.15	31.79	78.95	38.53	27.23	10.46	9.89	1.52	27.49	43.94
BRD-K90382497	CP	GW-843682X	PLK inhibitor	PLK1, PLK3		1.44, 0.00	32.34	0.77, 0.28	24.21	25.39	8.90	36.98	95.72	28.75	21.41	52.16	26.24	61.56	4.72	61.66	22.02	4.37	57.33	35.93	37.65	57.70	53.17	14.65	62.14	16.03
BRD-K84595254	CP	strophanthidin	ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, ATP1B4, FXYD2	ATPase inhibitor	4.33, 0.48	32.31	1.91, 0.48	18.93	92.56	18.48	16.07	74.70	44.25	49.35	67.79	27.02	24.29	95.05	12.62	44.82	32.95	36.28	6.08	94.40	18.03	84.23	31.67	-3.22	22.52
BRD-A55594068	CP	vinblastine	microtubule formation inhibitor, tubulin inhibitor, tubulin polymerisation inhibitor	TUBB, JUN, TUBA1A, TUBD1, TUBE1, TUBG1	Tubulin inhibitor	3.37, 1.44	32.26	1.43, 0.39	6.86	74.06	18.32	24.77	42.26	39.24	10.93	69.80	-1.09	80.04	79.51	18.41	93.38	-28.25	79.51	11.49	36.31	10.52	59.60	5.86	63.86	28.21
BRD-A51820102	CP	econazole	cell wall synthesis inhibitor, lanosterol demethylase inhibitor, sterol demethylase inhibitor	CYP51A1, NPY1R, NPY2R, TRPM2, TRPV5	Sterol demethylase inhibitor	3.85, 2.40	32.25	0.51, 0.15	47.43	72.34	94.24	27.00	60.40	33.80	50.34	52.32	12.90	16.88	57.85	13.54	11.27	80.38	2.92	49.57	10.10	-1.09	30.70	2.47	43.24	21.28
BRD-A79237180	CP	ascorbic-acid	vitamin C, antioxidant	AKR1B1		4.17, 2.60	32.25	1.89, 0.52	64.30	92.15	86.06	72.93	52.06	43.70	88.05	28.43	19.32	13.64	0.00	73.35	0.07	53.32	6.42	8.34	36.06	-67.53	27.95	17.86	9.81	87.95
BRD-K78431006	CP	crizotinib	ALK tyrosine kinase receptor inhibitor, c-Met inhibitor, hepatocyte growth factor receptor inhibitor, tyrosine kinase inhibitor	ALK, MET, CYP2B6, CYP3A5, MST1R, ROS1		0.96, 0.48	32.25	0.97, 0.19	22.94	41.82	20.48	51.35	74.82	15.25	20.30	37.81	18.61	11.70	87.76	-8.94	69.57	60.02	60.34	1.62	54.68	61.73	26.25	17.88	26.68	56.29
BRD-K49328571	CP	dasatinib	KIT inhibitor, src inhibitor, Bcr-Abl kinase inhibitor, ephrin receptor inhibitor, PDGFR tyrosine kinase receptor inhibitor, yes kinase inhibitor, Abl kinase inhibitor, Bruton's tyrosine kinase (BTK) inhibitor, discoidin domain containing receptor Inhibitor, lymphocyte specific tyrosine kinase inhibitor, tyrosine kinase inhibitor	ABL1, FYN, LCK, SRC, KIT, YES1, BCR, EPHA2, LYN, PDGFRB, ABL2, BTK, DDR1, DDR2, PDGFRA, STAT5B	SRC inhibitor	3.37, 0.96	32.20	1.44, 0.53	-1.09	99.44	17.01	88.81	-1.59	32.10	58.94	74.62	75.21	-10.53	69.83	30.26	9.09	94.63	89.64	13.82	15.58	0.81	89.38	4.19	32.30	82.38
BRD-A10969569	CP	ambelline	plant alkaloid			4.69, 2.60	32.15	0.69, 0.16	7.90	18.20	44.16	30.63	61.96	-26.54	78.24	79.56	13.99	73.69	38.13	20.79	38.51	76.02	36.36	81.13	14.20	33.67	16.10	8.08	23.52	28.31
BRD-K30990140	CP	FR-122047	cyclooxygenase inhibitor			1.92, 1.44	32.12	0.48, 0.23	47.94	15.76	33.37	34.81	-14.55	39.19	33.96	18.74	-1.06	40.77	9.81	41.16	41.76	30.88	60.53	-3.38	8.56	72.71	23.31	5.30	34.23	21.87
BRD-K27737647	CP	H-89	AKT inhibitor, cAMP dependent protein kinase inhibitor, PKA inhibitor, voltage-gated potassium channel blocker	PRKACA, GSG2, KCNA2, KCNA3, KCNA5, KCNAB2, KCNC1, KCNC2, KCNC3, KCNE1, KCNE2, KCNE3, KCNE4, KCNH1, KCNH2, KCNQ1, KCNQ2, KCNQ3, KCNQ5, KCNS3, PKIA	PKA inhibitor	2.40, 1.92	32.11	1.58, 0.55	66.83	24.38	-10.43	66.40	-17.30	72.32	62.03	8.46	98.65	12.81	84.71	25.20	94.65	98.27	29.57	12.46	33.02	31.19	42.55	8.73	68.96	15.87
BRD-K76907295	CP	VU-0418947-2	hypoxia inducible factor activator		HIF activator	6.45, 4.84	32.09	1.82, 0.63	32.91	99.82	-37.35	30.45	1.73	27.29	91.36	39.58	12.19	11.42	98.80	6.57	99.82	-4.47	88.15	40.84	99.37	31.27	91.60	1.27	64.48	28.71
BRD-A82656074	CP	naltrindole	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		2.88, 0.96	32.06	0.94, 0.36	26.74	12.28	2.50	14.15	7.33	22.01	54.42	94.86	65.15	23.16	71.70	54.36	15.26	83.29	62.67	51.28	37.38	61.72	2.22	16.31	7.11	88.99
BRD-K92678294	CP	irilin-a	isoflavone			3.85, 1.44	32.05	0.70, 0.23	54.23	33.07	32.91	76.34	62.92	70.39	15.20	66.77	14.90	20.40	18.52	20.75	44.41	14.95	79.22	66.48	-11.60	31.19	80.00	22.94	29.57	21.04
BRD-K13571841	CP	pepstatin	aspartic protease inhibitor	CTSB, CTSD, CTSL, REN		2.60, 1.04	32.03	2.32, 0.85	-2.11	32.41	-4.25	16.25	94.82	26.32	34.63	95.05	57.52	13.86	31.66	36.63	55.48	44.18	77.34	17.88	19.12	44.50	2.22	38.01	16.27	31.63
BRD-K75295174	CP	alisertib	Aurora kinase inhibitor, mitotic inhibitor, protein kinase inhibitor	AURKA	Aurora kinase inhibitor	3.23, 2.15	32.02	0.98, 0.51	39.44	88.48	18.64	23.38	1.87	63.83	11.92	2.79	42.59	24.69	49.17	17.83	6.00	22.14	55.78	38.54	97.92	34.91	40.72	29.13	9.70	48.06
BRD-K96527333	CP	dehydroisoandosterone	GABA receptor modulator			4.33, 2.40	32.02	0.83, 0.22	28.57	19.72	9.29	59.96	81.60	56.06	71.61	31.83	40.04	28.36	8.38	61.45	32.20	95.80	76.00	66.19	-10.79	88.41	24.93	9.75	4.13	13.05
BRD-K68065987	CP	MK-2206	AKT inhibitor	AKT1, AKT2, AKT3		0.00, 0.00	31.97	1.82, 0.36	13.73	83.17	19.53	53.85	14.35	39.08	34.29	43.44	68.62	5.36	86.00	14.44	90.20	77.92	40.60	20.76	20.24	-5.48	28.69	9.80	71.25	29.65
BRD-K66093087	CP	FGIN-1-43	benzodiazepine receptor ligand	TSPO		4.69, 1.04	31.95	1.50, 0.53	25.43	9.03	10.96	53.85	99.08	44.02	60.25	96.31	59.81	87.58	3.30	12.23	85.64	60.61	30.30	22.33	6.59	70.21	16.00	13.09	33.61	25.45
BRD-K75181824	CP	acetyl-geranygeranyl-cysteine	inhibitor of methyl esterification of geranylgeranylated proteins			1.44, 0.96	31.95	1.10, 0.38	23.93	53.19	74.47	90.40	17.20	90.30	63.87	27.47	76.83	42.45	-56.77	16.37	32.62	22.61	-9.05	35.19	-31.56	86.45	32.96	31.28	14.08	17.50
BRD-K97061094	CP	azacyclonol	ataractive drug used to diminish hallucinations	HRH1		2.88, 0.96	31.89	0.89, 0.14	21.53	92.55	14.79	74.06	1.48	14.05	81.84	80.85	16.87	48.52	21.59	14.83	0.14	95.40	28.08	35.71	13.70	47.53	75.71	84.11	5.85	35.88
BRD-K82823804	CP	SA-792987	PKC inhibitor	WEE1	PKC inhibitor	7.21, 3.37	31.89	1.32, 0.30	27.24	99.18	10.13	-83.83	1.23	-1.29	22.26	44.75	10.86	47.19	95.77	96.06	91.00	26.44	75.58	25.46	98.20	34.61	73.79	7.29	29.17	53.63
BRD-A34205397	CP	suloctidil	adrenergic receptor antagonist, platelet aggregation inhibitor, vasodilator			2.69, 1.61	31.89	2.07, 0.56	19.46	82.61	82.59	4.79	41.58	29.00	12.71	9.23	25.88	45.20	97.99	16.19	89.65	11.16	34.77	8.76	86.28	11.58	50.04	38.16	68.90	18.92
BRD-A29901043	CP	KIN001-127	ITK inhibitor	ITK		2.40, 0.96	31.85	1.63, 0.50	24.80	30.88	13.32	65.80	1.59	37.73	25.28	54.54	79.51	51.33	88.82	7.65	68.05	52.95	32.82	30.14	24.24	22.79	9.48	5.33	46.27	40.96
BRD-K24538644	CP	KUC104502N	opioid receptor antagonist	OPRK1		2.88, 1.92	31.82	0.95, 0.19	36.07	-14.67	24.59	51.48	20.15	77.24	27.57	49.65	82.69	69.24	-1.62	12.28	85.42	2.26	57.40	38.96	11.05	52.88	6.91	64.99	0.70	18.12
BRD-K85402309	CP	dovitinib	EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, FGFR antagonist, KIT inhibitor, VEGFR antagonist	EGFR, FGFR3, PDGFRB, CSF1R, FGFR1, FGFR2, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA	EGFR inhibitor, FGFR inhibitor, VEGFR inhibitor	7.21, 3.85	31.82	0.99, 0.19	17.58	94.66	12.36	15.41	12.75	21.85	15.10	42.21	14.87	12.70	81.28	41.91	79.96	49.15	99.27	7.30	92.51	23.17	57.76	38.16	25.48	58.72
BRD-K11911061	CP	GR-127935	serotonin receptor antagonist	HTR1B, HTR1D, HTR1A, HTR2A, HTR2C, HTR1E, HTR1F, HTR2B, HTR6	Serotonin receptor antagonist	3.85, 2.40	31.81	1.34, 0.19	31.17	98.00	37.97	57.42	-26.77	8.46	28.06	27.82	32.46	-1.80	96.76	15.47	99.79	65.50	60.02	1.27	90.98	22.17	36.21	-29.00	37.98	10.15
BRD-K09549677	CP	mibefradil	T-type calcium channel blocker, angiogenesis inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker, sodium channel blocker	CACNA1G, CACNA1H, CACNA1C, CACNA1I, ANO1, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP3A5, CYP3A7, SCN2A, SCN4A, SCN5A, SCN9A	T-type calcium channel blocker	2.40, 0.96	31.81	1.64, 0.48	50.27	75.92	2.85	27.20	-12.88	32.57	19.56	58.92	30.69	31.05	90.10	9.96	92.30	98.85	82.14	15.30	39.74	9.61	82.78	3.81	32.61	18.87
BRD-A34806832	CP	proscillaridin	ATPase inhibitor	ATP1A1	ATPase inhibitor	4.33, 1.44	31.80	2.23, 0.53	16.13	87.43	41.06	5.67	24.27	29.06	18.64	48.70	46.89	29.64	96.23	44.30	6.25	5.57	73.63	5.25	91.86	46.26	71.50	33.95	18.71	26.37
BRD-K22878149	CP	SB-205607	delta 1 opioid receptor agonist, opioid receptor agonist	OPRD1, OPRK1, OPRM1		2.88, 1.92	31.78	1.65, 0.52	15.24	32.86	38.37	74.12	74.42	16.73	35.78	47.89	21.35	22.69	47.00	10.39	5.47	80.93	59.15	46.78	26.00	27.50	30.70	21.54	12.49	70.90
BRD-A75517195	CP	thiazolopyrimidine	CDC inhibitor			1.92, 1.92	31.76	0.32, 0.08	49.01	89.95	40.51	64.92	17.37	14.98	36.83	6.44	21.46	59.36	27.64	34.29	33.57	4.37	80.59	21.23	57.42	29.95	16.67	9.56	18.76	40.72
BRD-K64451768	CP	GANT-58	GLI antagonist	DHH, GLI1, IHH		3.37, 1.92	31.76	0.66, 0.23	24.15	15.72	17.00	48.60	92.22	63.73	7.72	60.03	39.36	54.29	4.57	65.84	52.38	79.02	82.98	8.58	-16.97	13.00	6.01	21.36	12.16	72.39
BRD-K53123955	CP	niridazole	oogenesis inhibitor, spermatogenesis inhibitor			5.21, 3.13	31.73	0.78, 0.26	8.38	-5.64	5.74	31.22	99.24	-33.89	46.93	51.14	21.02	9.69	5.79	32.25	91.24	35.85	44.19	8.98	38.01	37.71	12.73	40.14	65.56	16.06
BRD-A56987319	CP	SQ-22536	adenylyl cyclase inhibitor	ADCY1, ADCY5		2.40, 0.96	31.69	1.06, 0.40	76.88	3.31	27.11	21.84	78.11	39.83	49.90	65.19	36.27	23.75	3.53	53.83	9.40	55.95	18.74	87.40	4.23	11.56	69.46	6.57	-11.65	92.18
BRD-K30189597	CP	SYK-inhibitor	syk inhibitor	SYK		5.29, 3.37	31.64	0.99, 0.24	74.02	99.54	38.46	35.17	77.13	23.82	12.46	7.13	14.27	-11.34	5.53	93.17	13.87	92.43	90.95	-25.42	39.33	66.73	28.11	17.31	72.58	25.92
