#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K71799949-summary	BRD-K93034159-summary	BRD-K17075857-summary	BRD-K02637541-summary	BRD-K43164539-summary	BRD-K37289225-summary	BRD-K33106058-summary	BRD-A91699651-summary	BRD-K19111024-summary	BRD-A17411484-summary	BRD-A10977446-summary	BRD-K78431006-summary	BRD-K28143534-summary	BRD-K29950728-summary	BRD-K98530306-summary	BRD-K29458283-summary	BRD-K56614220-summary	BRD-K15916496-summary	BRD-K52989797-summary	BRD-A04553218-summary
BRD-K53878242	CP	MMPX	phosphodiesterase inhibitor			4.19, 2.09	25.16	0.97, 0.36	5.94	19.34	10.60	61.39	48.49	60.25	4.23	22.01	74.85	49.88	10.16	11.29	18.10	77.61	82.05	23.18	15.35	56.17	95.64	27.14
BRD-K96119599	CP	leucodin	melanin synthesis inhibitor			3.66, 1.57	25.12	0.83, 0.19	8.73	6.61	18.33	11.69	28.32	63.47	11.57	-16.49	53.65	54.01	15.87	21.92	33.55	41.92	21.15	34.11	29.03	40.35	16.63	92.12
BRD-A80574334	CP	oxalomalic-acid	isocitrate dehydrogenase inhibitor	ACO1, IDH1		2.62, 1.05	25.11	1.95, 0.58	5.47	0.00	13.86	28.59	90.74	67.01	4.69	22.00	63.96	88.30	49.00	7.73	80.20	6.95	18.26	28.23	32.22	54.01	14.41	20.08
BRD-K41903098	CP	diphenoxylate	opoid receptor agonist	OPRM1, OPRD1		2.52, 0.63	25.10	0.99, 0.19	29.94	11.29	58.57	3.00	46.57	8.48	8.74	38.32	8.60	33.94	13.04	17.68	13.01	20.26	52.60	11.26	82.59	77.33	67.98	30.78
BRD-K26373640	CP	IKK-2-inhibitor	IKK inhibitor, syk inhibitor	IKBKB		5.76, 2.09	25.10	0.81, 0.20	53.84	2.38	-22.57	68.06	75.87	94.85	6.84	89.04	58.67	34.54	42.56	13.21	0.95	3.72	58.94	15.65	14.43	50.50	11.06	-5.76
BRD-K54316499	CP	tolterodine	acetylcholine receptor antagonist	CHRM2, CHRM3, CHRM1, CHRM4, CHRM5		9.43, 6.92	25.05	1.59, 0.44	28.79	47.55	30.67	91.45	41.11	16.50	15.94	22.86	90.15	6.69	1.85	27.23	10.05	21.07	18.84	21.46	99.89	99.75	50.71	4.66
BRD-A31007383	CP	SDZ-WAG-994	adenosine receptor agonist	ADORA1		5.24, 3.14	25.02	1.30, 0.43	52.34	11.68	14.74	27.45	15.69	67.86	20.52	56.39	-14.72	78.50	73.34	0.95	21.74	33.58	6.40	11.44	48.88	22.59	34.63	98.73
BRD-A45498368	CP	WYE-125132	mTOR inhibitor, PI3K inhibitor	MTOR, PIK3CA	MTOR inhibitor	3.14, 2.09	25.01	1.59, 0.50	12.03	12.61	62.72	-4.36	32.30	41.81	5.14	-7.26	17.78	43.32	30.68	99.15	71.15	71.23	-3.59	14.82	61.44	27.62	14.00	22.39
BRD-K00184207	CP	GR-206	aryl hydrocarbon receptor ligand			2.62, 1.05	25.00	0.97, 0.31	-0.92	6.25	15.80	33.94	94.19	4.62	31.54	90.65	80.48	77.82	65.78	0.84	88.94	-8.28	5.17	10.65	59.82	79.95	-3.01	18.45
BRD-K15592317	CP	CP466722	ATM kinase inhibitor	ATM		3.14, 2.09	24.95	2.06, 0.59	22.12	95.46	81.07	2.29	-66.20	50.75	64.68	0.00	-45.22	26.25	6.23	81.74	27.56	22.46	1.48	76.89	58.25	33.83	23.65	21.38
BRD-K34508425	CP	KUC103898N	G protein coupled receptor			2.62, 2.09	24.94	1.42, 0.42	23.69	16.32	11.13	10.57	87.14	26.18	-0.46	8.52	31.28	83.40	29.09	10.34	14.85	55.03	38.78	0.03	67.32	21.62	41.35	82.94
BRD-K93258693	CP	GW-9662	PPAR receptor antagonist	PPARG, NCOA2, RXRA		4.71, 2.09	24.91	1.00, 0.25	29.44	3.07	19.94	22.79	90.60	31.02	7.05	62.99	49.79	47.02	5.58	14.32	10.92	74.23	43.76	21.12	48.98	27.03	5.37	11.54
BRD-K05804044	CP	AZ-628	RAF inhibitor	BRAF, RAF1	RAF inhibitor	3.14, 1.05	24.86	1.76, 0.56	5.21	3.24	11.10	23.34	90.79	26.37	66.99	10.59	21.82	45.16	40.55	31.08	-39.26	7.25	53.81	5.22	-80.38	58.30	72.82	84.78
BRD-A54029483	CP	IRL-2500	endothelin receptor antagonist	EDNRB		2.09, 0.52	24.85	1.14, 0.35	26.98	2.15	11.03	43.00	55.89	45.70	23.90	59.42	37.86	70.27	10.24	14.79	9.97	58.95	62.56	1.80	7.81	25.81	13.07	9.49
BRD-A22707317	CP	SB-205384	GABA receptor modulator	GABRA3, GABRA5, GABRA6		5.76, 3.14	24.83	0.75, 0.10	18.27	19.83	40.66	83.40	96.79	47.06	29.02	76.90	56.03	54.95	18.37	15.24	12.72	8.50	53.84	20.64	9.19	43.74	2.04	15.76
BRD-A08003242	CP	rhodomyrtoxin-b	cytotoxic, DNA intercalator			5.11, 2.27	24.80	1.80, 0.58	-2.64	90.41	98.24	1.87	-77.44	20.42	67.42	-97.77	17.93	-8.78	28.25	96.83	68.58	94.12	-13.12	3.83	99.89	60.41	96.37	21.34
BRD-K13646352	CP	midostaurin	FLT3 inhibitor, KIT inhibitor, PKC inhibitor, angiogenesis inhibitor, cell cycle inhibitor, cyclin inhibitor, histamine release inhibitor, multi targeted kinase inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR antagonist, VEGFR inhibitor	FLT3, KIT, CCNB1, FLT1, KDR, PDGFRB, PRKCA, PRKCG, VEGFA	FLT3 inhibitor, PDGFR/KIT inhibitor, PKC inhibitor, VEGFR inhibitor	3.14, 1.57	24.79	1.35, 0.26	20.70	20.88	63.61	13.20	-14.58	84.50	45.75	14.62	28.70	9.26	68.85	98.66	46.39	37.09	7.01	16.71	20.84	72.94	16.54	36.29
BRD-A69636825	CP	diltiazem	L-type calcium channel blocker, calcium channel antagonist, calcium channel blocker	CACNA1C, CACNA1S, CACNA2D1, CACNG1, CYP3A5, CYP3A7, HTR3A, KCNA5		2.09, 1.05	24.78	0.91, 0.31	8.86	1.51	2.11	23.35	38.63	26.20	6.31	74.34	41.36	65.72	75.92	21.92	11.20	12.41	53.74	7.37	87.50	9.73	60.86	90.69
BRD-A87848830	CP	bimatoprost	prostanoid receptor agonist	PTGFR, AKR1C3, PTGER1, PTGER3		2.84, 1.14	24.76	1.51, 0.40	16.73	13.21	36.25	-10.94	71.73	88.25	20.47	60.76	39.01	29.06	-9.42	6.47	12.17	14.65	47.32	4.27	64.60	92.35	6.04	94.19
BRD-A07395371	CP	esmolol	adrenergic receptor antagonist	ADRB1		3.77, 1.89	24.76	0.56, 0.15	12.62	34.13	13.68	66.91	-14.73	41.72	8.06	94.51	38.86	81.43	5.81	6.80	16.24	3.35	33.06	57.65	50.86	71.00	1.49	16.45
BRD-K02283807	CP	GR-32191	thromboxane receptor antagonist, prostanoid receptor antagonist	TBXA2R	Thromboxane receptor antagonist	5.76, 3.14	24.76	0.80, 0.28	24.28	9.21	8.80	29.80	25.23	82.76	3.24	-7.75	96.45	49.11	2.85	59.53	72.08	17.29	57.01	55.63	-19.55	18.67	17.22	39.02
BRD-K42573370	CP	avrainvillamide-analog-2	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	0.58, 0.58	24.76	0.59, 0.16	10.72	2.04	78.84	3.33	-19.69	24.72	22.65	2.71	51.88	49.22	4.87	41.11	74.37	66.09	-27.93	67.25	3.52	65.81	68.07	24.79
BRD-K79930101	CP	GW-583340	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, ErbB2 tyrosine kinase inhibitor, receptor tyrosine protein kinase inhibitor	EGFR, ERBB2		4.71, 2.09	24.74	0.94, 0.33	37.78	8.03	26.43	9.47	97.30	29.44	7.23	92.98	80.39	60.08	21.94	0.00	5.57	36.39	20.49	7.85	23.06	46.24	86.00	12.72
BRD-A14208071	CP	oxyphenonium	acetylcholine receptor antagonist	CHRM1		3.14, 1.05	24.73	1.41, 0.40	4.46	32.82	15.09	10.00	24.72	81.67	15.71	7.74	68.24	20.28	53.73	21.48	98.59	24.74	12.42	32.05	21.37	51.53	62.55	94.49
BRD-A65145453	CP	ATPA	glutamate receptor agonist	GRIK1, GRIA2		1.14, 0.57	24.73	1.16, 0.27	4.57	3.77	21.29	57.08	86.40	22.97	27.09	79.81	58.80	72.97	15.21	7.16	20.90	5.82	25.36	66.81	46.48	82.95	19.12	24.09
BRD-A36267905	CP	buphenine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	3.14, 1.57	24.72	0.68, 0.27	84.28	10.03	28.68	17.76	67.47	37.13	18.22	29.75	75.55	80.10	59.77	11.31	20.76	15.36	20.29	4.84	17.20	39.96	63.20	12.46
BRD-K95851186	CP	CGP-13501	GABA receptor modulator	GABBR1		2.62, 2.09	24.72	1.01, 0.28	48.51	0.39	69.32	24.06	90.79	25.37	9.09	37.43	70.22	90.56	8.07	4.52	43.57	23.42	54.55	72.77	-23.79	13.18	4.27	23.22
BRD-K82823076	CP	RO-15-4513	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB2, GABRG2		2.09, 1.05	24.69	0.78, 0.16	11.58	14.00	9.34	63.55	89.38	60.78	7.26	97.60	41.56	18.93	14.14	3.03	10.39	29.85	25.05	15.17	24.34	77.41	70.04	92.47
BRD-A15415227	CP	GW-1929	PPAR receptor agonist, insulin sensitizer	INS, PPARG	PPAR receptor agonist	1.57, 0.52	24.69	1.10, 0.28	-21.35	9.29	5.03	15.90	32.49	-22.34	4.73	8.02	74.53	50.67	48.80	-10.86	34.74	6.88	18.08	89.06	38.66	39.28	31.29	85.53
BRD-A00100033	CP	nifurtimox	DNA inhibitor			6.28, 3.66	24.68	0.97, 0.34	46.01	24.49	18.18	7.62	78.83	27.13	8.41	50.20	33.54	99.40	37.75	-0.88	14.16	22.55	24.87	71.20	22.90	22.50	3.21	96.02
BRD-U08759356	CP	EI-346-erlotinib-analog	epidermal growth factor receptor (EGFR) inhibitor	EGFR		5.76, 1.57	24.68	1.74, 0.51	17.93	24.24	84.42	18.33	4.02	4.69	25.11	22.08	23.07	10.54	32.61	97.32	34.91	77.28	2.50	58.74	98.70	35.49	85.79	23.47
BRD-A39255369	CP	DCPIB	chloride channel blocker, gap junction modulator, glutamate transporter inhibitor, membrane permeability inhibitor	SLC1A2		4.71, 1.05	24.67	0.65, 0.24	2.72	11.11	0.14	35.47	32.14	56.70	6.16	-6.59	53.74	10.47	17.21	7.02	12.63	7.61	33.19	61.64	51.92	53.53	63.07	88.17
BRD-A56020723	CP	CA-074-Me	cathepsin inhibitor, antiamyloidogenic agent	CTSB		2.84, 1.70	24.67	2.63, 0.91	8.28	29.38	90.79	5.25	51.70	2.29	14.86	8.59	19.68	10.46	11.07	63.54	32.38	89.33	19.97	34.88	97.36	69.33	47.37	7.52
BRD-K44084986	CP	Y-27632	ROCK inhibitor, calcium sensitizer, leucine rich repeat kinase inhibitor	ROCK1, ROCK2, LRRK2, PKIA, PKN2, PRKACA, PRKCE	Rho associated kinase inhibitor	3.41, 2.27	24.65	1.06, 0.25	13.56	8.14	6.95	15.66	59.64	36.53	7.10	51.22	62.70	16.47	54.45	86.00	28.54	9.64	78.49	7.50	27.66	8.95	77.13	21.64
BRD-K12516989	CP	zaprinast	phosphodiesterase inhibitor, histamine release inhibitor	PDE5A, GPR35, PDE1A, PDE4D, PDE9A		5.76, 2.62	24.64	1.01, 0.34	36.82	2.04	4.84	25.32	79.77	4.66	4.16	47.23	46.50	39.20	10.56	23.07	6.38	73.54	99.36	3.84	-42.45	88.82	43.53	23.96
BRD-K93618743	CP	ipriflavone	bone resorption inhibitor			5.66, 3.77	24.59	1.25, 0.25	65.31	7.87	28.53	13.87	84.95	20.64	84.33	98.28	-5.34	86.61	0.04	0.11	10.03	34.22	78.74	9.56	89.37	88.54	7.61	20.26
BRD-K05528470	CP	L-745870	dopamine receptor antagonist	DRD4, DRD1, DRD2, DRD3, HTR1A, HTR2A, HTR6, HTR7		1.57, 1.05	24.58	0.74, 0.18	-3.56	1.97	14.86	23.53	75.05	11.81	12.30	25.63	55.87	97.53	27.90	35.52	9.39	49.00	6.54	17.17	57.19	58.47	19.81	75.51
BRD-A72988804	CP	tiaprofenic-acid	cyclooxygenase inhibitor	PTGS2, PTGS1		2.84, 1.70	24.57	1.32, 0.48	24.38	5.14	25.09	38.26	49.34	41.08	32.05	29.21	56.65	3.84	9.63	16.60	21.72	19.24	20.54	19.06	24.77	74.97	7.46	52.86
BRD-K32755366	CP	reserpic-acid	norepinephrine transporter inhibitor			5.24, 2.62	24.57	0.93, 0.38	51.71	3.94	5.12	12.75	86.46	64.76	31.16	28.02	62.57	95.07	41.51	18.55	21.13	10.58	68.87	19.59	10.96	18.81	97.47	6.00
BRD-K97399794	CP	quercetin	aldose reductase inhibitor, cytokine production inhibitor, EGFR inhibitor, glucosidase inhibitor, monoamine oxidase inhibitor, polar auxin transport inhibitor, quorum sensing signaling modulator, SIRT activator, sodium channel blocker, tyrosine phosphatase inhibitor, xanthine oxidase inhibitor	PIK3CG, AKR1B1, ATP5A1, ATP5B, ATP5C1, CYP2C8, EGFR, GAA, HCK, HIBCH, MAOA, PIM1, PTPN1, SCN5A, SIRT1, STK17B, UGT3A1, XDH		5.24, 1.05	24.56	0.98, 0.30	2.79	65.24	89.58	5.43	6.07	10.01	69.32	18.63	90.79	6.87	2.86	1.62	30.50	48.92	-2.23	38.85	88.47	42.20	4.23	67.86
BRD-K67277431	CP	picotamide	prostanoid receptor antagonist, thromboxane receptor antagonist, thromboxane synthase inhibitor	TBXA2R, TBXAS1	Thromboxane receptor antagonist	2.62, 1.57	24.56	0.80, 0.22	42.60	26.39	75.17	34.70	63.88	70.53	9.88	17.56	24.02	39.63	3.52	25.09	18.70	9.69	12.47	50.03	53.01	15.49	17.46	13.40
BRD-K85266041	CP	DNQX	glutamate receptor antagonist	GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B		5.24, 0.52	24.52	1.00, 0.22	6.14	25.07	12.51	18.23	71.47	45.87	26.23	92.42	28.87	80.86	23.97	4.76	1.48	64.24	19.08	20.59	9.68	66.47	20.34	96.42
BRD-A73859745	CP	glycodeoxycholic-acid	apoptosis activator			1.70, 0.00	24.51	0.91, 0.24	29.78	2.71	0.56	6.91	38.01	3.35	65.78	77.72	18.30	31.68	40.01	19.24	6.40	4.41	10.88	76.44	84.20	53.04	4.97	51.98
BRD-K77998258	CP	ganglioside	src activator			4.19, 2.09	24.51	0.86, 0.34	13.37	6.02	13.88	21.51	62.76	82.82	1.80	15.19	73.14	39.33	44.44	4.62	40.64	61.09	27.51	5.24	59.40	55.55	20.75	9.67
BRD-K48692744	CP	NU-1025	PARP inhibitor, DNA dependent protein kinase inhibitor	PARP1		6.28, 3.66	24.48	0.85, 0.18	30.51	17.06	-3.00	48.54	62.77	13.75	4.04	98.41	-11.78	35.40	22.46	-3.74	21.13	7.61	86.78	47.79	58.78	28.43	6.16	26.51
BRD-K18757346	CP	U-46619	thromboxane receptor agonist	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R		5.76, 4.71	24.46	0.91, 0.20	12.13	4.16	2.70	1.62	85.75	14.87	-3.89	63.83	95.45	17.66	74.67	3.45	27.23	36.76	70.78	76.20	48.32	21.69	80.13	10.83
BRD-K50324045	CP	avrainvillamide-analog-6	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	0.58, 0.00	24.45	0.51, 0.22	16.95	3.45	27.94	11.60	57.05	24.13	29.67	23.64	59.90	55.45	14.53	16.04	84.63	24.77	18.18	8.45	77.34	41.28	23.88	32.77
BRD-K43405658	CP	tyrphostin-AG-527	protein tyrosine kinase inhibitor	EGFR		3.98, 1.70	24.42	1.23, 0.41	5.88	28.94	84.32	12.92	40.52	7.12	16.06	14.75	-30.31	44.01	-6.69	26.84	45.33	22.00	-7.84	96.84	93.41	82.78	6.88	38.36
BRD-K54094468	CP	remoxipride	dopamine receptor antagonist	DRD2, DRD3, DRD4, HTR2A, SIGMAR1		4.19, 1.57	24.38	0.72, 0.16	74.28	40.37	12.64	23.60	81.19	91.94	16.77	14.01	90.69	89.33	84.66	22.10	25.54	51.77	22.70	6.48	1.94	-6.72	24.77	23.98
BRD-A43882281	CP	pinacidil	ATP channel activator, potassium channel agonist	ABCC9, KCNJ8		2.09, 1.57	24.36	0.66, 0.19	67.95	10.97	11.02	47.17	58.60	20.94	6.92	7.30	15.78	93.14	77.72	12.05	35.79	24.92	24.73	18.02	24.00	71.90	22.35	56.68
BRD-K01663662	CP	diphenidol	acetylcholine receptor ligand	CHRM1, CHRM3, CHRM4, CHRM2		3.14, 2.62	24.31	1.07, 0.27	43.65	-3.51	18.10	24.90	85.74	17.41	19.10	97.60	55.72	73.76	85.19	15.66	30.31	12.18	15.76	3.10	81.18	23.73	75.60	10.06
BRD-K35377380	CP	I-OMe-AG-538	inhibitor of insulin growth factor 1 receptor protein tyrosine kinase			1.70, 1.14	24.30	1.02, 0.26	4.79	23.71	3.50	70.30	24.72	23.70	21.18	48.92	40.59	21.17	7.35	10.96	25.84	18.31	38.01	23.87	63.35	77.89	53.36	70.62
BRD-K99818283	CP	PIK-90	PI3K inhibitor		PI3K inhibitor	3.66, 2.09	24.20	1.57, 0.61	38.92	-0.85	13.04	7.59	29.83	92.15	24.97	59.03	23.02	25.44	12.18	98.35	22.76	85.06	12.58	-0.80	14.71	50.02	35.82	23.44
BRD-K61323504	CP	SB-225002	CC chemokine receptor antagonist, Chemokine CXCR2  (IL-8 beta Receptor) Antagonists	CXCR2		1.57, 0.00	24.17	1.27, 0.60	-0.25	-42.89	40.18	5.78	24.64	15.66	8.25	17.53	26.14	73.87	23.70	-0.18	72.65	27.74	14.56	33.41	84.27	75.15	0.42	56.28
BRD-K88849294	CP	lobaric-acid	tyrosine phosphatase inhibitor	PTPN1		1.14, 0.00	24.16	1.53, 0.39	4.54	24.43	39.47	39.40	88.79	47.18	11.61	84.77	23.89	27.07	25.00	13.83	21.03	0.81	15.86	1.34	23.90	46.82	6.71	41.32
BRD-K87510569	CP	RS-504393	CC chemokine receptor antagonist	CCR2, CCL2		7.33, 4.71	24.16	1.22, 0.15	88.13	9.33	2.16	41.02	73.94	8.39	4.97	35.56	87.50	94.29	95.68	22.34	1.97	92.53	21.31	13.18	25.98	10.08	91.83	17.37
BRD-K83010055	CP	VU-0415374-1	glutamate receptor modulator	GRM4		4.21, 2.63	24.14	1.07, 0.32	2.71	0.25	11.70	37.02	40.67	18.00	NaN	48.68	16.97	61.47	24.14	0.00	11.38	22.34	34.19	13.08	63.93	54.57	47.06	48.59
BRD-K28667196	CP	fillalbin	increases arterial blood pressure			1.57, 1.57	24.13	0.75, 0.22	5.49	2.54	34.32	33.14	37.34	79.98	6.01	42.47	-32.93	27.21	14.43	64.01	21.06	30.33	62.60	17.11	8.28	37.81	3.56	0.74
BRD-K40175214	CP	torin-1	mTOR inhibitor, PI3K inhibitor	MTOR, PIK3CA	MTOR inhibitor, PI3K inhibitor	5.76, 2.62	24.11	1.67, 0.61	13.45	-48.03	34.41	0.35	-10.64	16.96	7.19	29.63	82.27	54.33	69.21	99.33	95.70	61.09	-2.54	-0.04	96.76	18.59	6.06	38.02
BRD-A94543220	CP	bifonazole	cell wall synthesis inhibitor, sterol demethylase inhibitor	CYP2B6		2.52, 2.52	24.10	1.10, 0.36	-0.14	24.38	28.77	-8.11	25.24	5.95	53.74	-5.66	43.87	23.83	8.60	83.68	0.49	0.02	75.55	4.19	83.59	83.43	6.55	69.67
BRD-K04466929	CP	Merck60	HDAC inhibitor	HDAC1, HDAC2		0.00, 0.00	24.03	0.11, 0.02	22.22	8.37	36.23	3.56	41.04	8.13	5.47	27.67	51.29	34.55	17.78	55.32	25.84	31.96	3.49	2.46	27.42	37.88	12.01	15.14
BRD-A19500257	CP	geldanamycin	HSP inhibitor	HSP90AA1, HSP90AB1	HSP inhibitor	2.09, 1.05	24.01	0.99, 0.30	43.00	15.34	79.56	-10.84	-14.98	45.46	7.83	12.08	25.87	28.13	13.02	95.41	12.92	63.37	-4.74	2.57	74.55	33.17	67.12	22.15
BRD-A84702196	CP	penicillin	cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor	3.66, 3.14	23.98	1.33, 0.38	0.60	17.12	0.00	48.80	44.87	0.49	28.44	0.00	54.70	12.56	-12.55	4.86	98.73	19.51	17.12	49.53	73.48	37.22	76.15	80.89
BRD-K51476772	CP	ST-638	tyrosine kinase inhibitor			1.14, 0.57	23.94	0.95, 0.25	39.67	7.17	1.13	43.56	57.10	54.57	13.77	21.71	46.95	7.51	3.49	8.31	35.23	3.35	18.01	26.17	9.73	91.32	69.62	27.62
BRD-K08502430	CP	angiogenesis-inhibitor	angiogenesis inhibitor	EGFR		8.38, 3.14	23.94	1.67, 0.48	19.52	99.01	95.08	19.51	-52.01	23.85	89.78	13.31	24.02	27.75	2.38	2.78	29.53	58.66	20.19	92.65	53.70	52.11	2.50	12.53
BRD-K31633810	CP	DAU-5884	acetylcholine receptor antagonist	CHRM1, CHRM3		4.19, 1.57	23.91	1.02, 0.32	11.29	20.53	25.16	-4.28	14.93	90.19	34.22	15.32	84.69	73.42	22.62	21.78	87.53	9.80	14.51	22.67	54.97	45.44	73.20	97.02
BRD-K39520573	CP	GW-5074	RAF inhibitor, leucine rich repeat kinase inhibitor	LRRK1, LRRK2, NTRK1, RAF1	RAF inhibitor	3.98, 2.27	23.90	0.77, 0.22	-4.30	48.84	10.14	9.99	31.05	54.99	21.43	8.84	57.99	51.87	26.36	21.35	11.00	15.77	26.64	5.57	6.09	49.03	64.06	97.88
BRD-K34581968	CP	BMS-536924	insulin growth factor receptor inhibitor, insulin receptor ligand	IGF1R, AKT1, CCNE1, CDK2, CYP3A4, ERBB2, INSR, KDR, LCK, MAPK1, MET, PDGFRA, PDGFRB	IGF-1 inhibitor	3.14, 1.05	23.89	2.15, 0.73	47.32	-59.59	8.01	-16.94	-68.43	65.56	25.20	-25.17	-17.99	29.35	16.43	98.63	59.29	56.18	3.64	-8.20	22.58	38.51	94.21	86.06
BRD-K40530731	CP	hyoscyamine	acetylcholine receptor inhibitor	CHRM1, CHRM2, CHRM3, CHRM4		4.19, 1.57	23.83	0.85, 0.27	25.90	17.78	7.41	96.22	30.51	22.00	23.29	43.83	23.24	56.65	27.51	7.23	6.45	3.60	51.01	24.37	26.66	19.01	34.21	14.99
BRD-K28578425	CP	cilostamide	phosphodiesterase inhibitor	PDE3A, PDE3B		1.05, 0.52	23.76	0.36, 0.30	24.75	5.94	21.86	13.17	33.23	54.30	6.30	46.18	73.90	21.14	9.49	38.75	22.77	43.89	56.72	7.63	0.67	46.36	11.93	76.12
BRD-M07438658	CP	lapatinib	EGFR inhibitor, EGFR antagonist, epidermal growth factor receptor (EGFR) inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, CYP3A5		5.11, 4.55	23.76	0.85, 0.32	68.13	1.23	6.94	37.32	82.25	12.47	7.84	52.53	98.69	94.40	93.74	12.93	-2.10	25.06	1.80	11.93	70.84	22.46	97.09	-58.27
BRD-K98157055	CP	SIB-1757	glutamate receptor antagonist	GRM5		0.52, 0.52	23.75	1.11, 0.28	15.96	2.68	52.21	-47.29	33.85	15.91	37.08	-4.90	62.85	66.47	23.84	8.55	23.66	47.78	17.93	37.16	50.62	13.78	45.92	14.62
BRD-K51805276	CP	temefos	cholinesterase inhibitor			2.62, 0.52	23.74	0.72, 0.23	24.43	24.91	73.29	34.38	79.45	66.46	9.02	64.55	37.70	74.57	11.73	13.74	6.41	5.53	4.16	0.04	23.06	7.65	29.40	20.23
BRD-K96720755	CP	relcovaptan	vasopressin receptor antagonist	AVPR1A, AVPR1B, AVPR2, OXTR		1.57, 1.05	23.74	1.09, 0.28	2.43	18.84	21.22	53.20	-39.10	68.05	3.70	-23.77	71.97	65.41	8.23	22.19	92.55	0.18	4.60	75.54	35.42	79.66	25.29	73.62
BRD-A80793822	CP	pemoline	non-narcotic dopaminergic compound			3.41, 2.27	23.73	0.68, 0.18	3.21	17.48	11.00	6.86	29.75	22.14	25.33	90.53	82.48	8.48	1.34	32.75	58.54	4.48	15.93	6.62	52.93	50.61	56.71	58.02
BRD-A48237631	CP	mitomycin-c	DNA alkylating drug, DNA inhibitor, DNA synthesis inhibitor		DNA synthesis inhibitor	12.04, 7.85	23.67	1.81, 0.56	48.76	99.44	76.82	5.60	13.89	7.92	98.11	3.86	80.59	57.82	-8.33	-0.74	86.98	-3.37	6.37	99.68	33.45	59.91	8.94	10.47
BRD-K88551539	CP	CAY-10585	hypoxia inducible factor inhibitor	HIF1A		2.62, 1.05	23.64	1.76, 0.75	23.23	19.90	20.71	46.78	32.72	41.61	2.89	6.80	88.37	28.14	44.53	67.73	0.99	0.32	6.44	12.87	-26.29	84.63	24.05	64.96
BRD-K35128472	CP	2-aminopurine	serine/threonine protein kinase inhibitor			2.62, 1.57	23.63	1.43, 0.39	20.30	3.20	13.05	91.62	71.81	36.97	2.15	14.75	25.57	27.64	3.39	37.06	25.63	51.11	18.14	51.17	20.26	21.69	0.39	53.91
BRD-K59469039	CP	AG-879	angiogenesis inhibitor, EGFR inhibitor, tyrosine kinase inhibitor, VEGFR inhibitor	ERBB2, KDR, NTRK1	EGFR inhibitor, VEGFR inhibitor	5.76, 1.05	23.60	2.11, 0.65	0.67	97.00	97.50	4.07	-28.96	19.49	27.83	-50.72	-65.73	27.70	4.77	89.58	79.72	92.29	-2.47	10.35	80.09	66.65	6.59	28.17
BRD-K24538644	CP	KUC104502N	opioid receptor antagonist	OPRK1		5.76, 1.57	23.58	0.95, 0.19	16.69	2.33	-0.25	68.43	95.12	15.92	7.15	96.70	95.35	56.84	57.02	10.80	10.96	7.31	61.11	0.07	30.47	58.80	30.72	-0.92
BRD-A65013509	CP	oxybutynin	acetylcholine receptor antagonist	CHRM3, CHRM1, CHRM2, CHRM4		6.82, 3.41	23.52	1.14, 0.34	30.09	12.83	62.83	2.50	88.86	99.72	9.10	96.73	-68.05	73.61	5.09	5.67	0.00	44.71	23.09	6.44	23.95	50.91	81.29	8.56
BRD-K09436313	CP	prostaglandin	prostanoid receptor antagonist	AKR1C3, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER4, PTGFR		2.62, 1.57	23.51	1.19, 0.49	89.23	15.79	26.77	16.96	63.41	-30.62	10.78	51.29	83.88	50.88	52.27	0.74	66.60	7.16	16.03	32.19	63.29	-68.05	0.28	20.25
BRD-K45479396	CP	BP-554	serotonin receptor agonist	HTR1A		2.62, 1.57	23.51	1.53, 0.40	12.43	15.35	5.65	87.64	87.52	12.19	6.84	43.85	49.32	84.11	42.55	75.70	14.28	68.76	14.89	9.94	-28.83	31.67	14.37	70.14
BRD-K83508485	CP	FK-888	tachykinin antagonist	TACR1, TACR2	Tachykinin antagonist	1.57, 1.05	23.51	1.00, 0.35	4.55	56.65	62.27	-0.99	7.55	34.14	19.02	6.37	91.69	5.07	13.76	69.43	51.74	5.66	2.99	19.44	69.27	82.76	27.58	77.55
BRD-K00673382	CP	famotidine	histamine receptor antagonist	HRH2		5.03, 3.77	23.51	1.61, 0.40	74.07	2.40	0.88	10.59	2.89	66.45	67.53	-83.21	49.90	31.28	4.72	62.39	98.04	7.31	14.67	48.46	2.78	93.69	15.73	74.79
