#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K28936863-summary	BRD-K78659596-summary	BRD-K37516142-summary	BRD-K93618743-summary	BRD-K49404994-summary	BRD-K49671696-summary	BRD-K08547377-summary	BRD-K92723993-summary	BRD-K38436528-summary	BRD-K93460210-summary	BRD-K78692225-summary	BRD-A72711497-summary	BRD-K02992638-summary	BRD-K60038276-summary	BRD-K10961822-summary	BRD-K09471561-summary	BRD-A48570745-summary	BRD-A95869247-summary	BRD-K88789588-summary	BRD-A90799790-summary
BRD-A22684332	CP	procaterol	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	3.33, 2.78	31.14	0.94, 0.36	27.24	17.46	77.16	50.12	60.50	79.71	57.86	32.72	5.46	16.71	91.83	1.23	20.47	22.31	47.01	67.04	29.55	78.07	-41.26	20.38
BRD-U66370498	CP	androstanol	constitutive androstane receptor (CAR) inhibitor	NR1I3		2.78, 0.56	31.13	0.99, 0.40	56.29	-2.18	70.75	52.94	81.04	29.18	6.69	1.44	15.12	33.08	78.19	-52.00	7.25	34.00	62.15	52.75	7.48	5.26	69.45	9.23
BRD-K99818283	CP	PIK-90	PI3K inhibitor		PI3K inhibitor	0.00, 0.00	31.12	1.57, 0.61	38.60	-95.75	7.33	68.06	79.31	19.61	-14.29	1.83	87.99	23.64	94.19	-60.53	4.40	12.31	39.74	52.60	56.45	82.20	18.43	53.95
BRD-K61269089	CP	daphnetin	protein kinase inhibitor			4.71, 1.76	31.09	1.07, 0.32	7.12	33.89	95.47	56.25	86.25	32.83	7.12	-1.62	55.39	28.18	15.32	12.03	64.91	21.49	32.67	26.09	35.15	29.51	11.01	93.89
BRD-K63945320	CP	dihydrosamidin	nitric oxide production inhibitor, phospholipase inhibitor, platelet activating factor receptor antagonist			3.89, 1.11	31.05	0.44, 0.09	29.44	28.96	54.82	51.18	89.04	25.33	32.65	86.92	20.31	27.40	49.82	5.36	21.63	89.04	13.13	91.85	66.84	53.72	6.43	8.30
BRD-K63151507	CP	MNITMT	lymphocyte inhibitor			3.33, 2.22	31.00	1.07, 0.26	34.62	76.72	27.39	48.65	77.83	60.65	-9.06	11.63	17.18	8.76	13.29	-17.58	26.45	45.55	13.21	70.06	35.11	81.00	-14.55	65.85
BRD-A83431637	CP	resmethrin	cytochrome P450 inhibitor			4.12, 1.18	30.98	0.97, 0.31	49.91	21.05	70.36	19.58	37.30	26.69	13.45	18.38	45.93	9.17	39.35	5.48	37.04	19.39	5.81	18.02	35.27	95.71	38.58	81.03
BRD-K10852020	CP	tolcapone	catechol O methyltransferase inhibitor, transthyretin amyloid inhibitor	COMT, TTR		4.12, 1.18	30.96	1.28, 0.36	16.57	3.42	71.83	17.43	44.62	96.17	50.38	33.76	25.90	28.17	41.83	-0.99	28.02	68.03	35.15	45.41	0.00	67.61	-12.79	20.54
BRD-K28075147	CP	biochanin-a	estrogen receptor agonist			3.89, 1.67	30.94	1.30, 0.38	16.30	0.00	96.86	92.60	70.74	45.40	33.11	7.18	59.78	48.95	1.27	-61.33	9.12	49.29	45.75	76.83	28.77	14.07	-4.76	16.11
BRD-A69636825	CP	diltiazem	L-type calcium channel blocker, calcium channel antagonist, calcium channel blocker	CACNA1C, CACNA1S, CACNA2D1, CACNG1, CYP3A5, CYP3A7, HTR3A, KCNA5		3.89, 0.56	30.94	0.91, 0.31	34.50	-7.01	22.05	67.17	74.86	97.41	3.06	81.33	10.50	7.44	76.44	27.38	25.32	13.24	10.43	61.97	53.53	43.70	12.57	73.67
BRD-K94919853	CP	10H-phenothiazin-10-yl)(p-tolyl)methanone	BCHE inhibitor	BCHE		5.88, 1.76	30.93	0.89, 0.24	38.31	3.17	37.30	74.37	44.99	12.49	2.43	1.34	77.74	97.52	29.18	-16.66	33.20	7.53	20.14	13.46	-36.16	91.56	96.85	32.68
BRD-K16336526	CP	capsaicin	TRPV agonist, NFkB pathway inhibitor, tumor NADH oxidase inhibitor	TRPV1, CFTR, ENOX2		8.75, 5.63	30.93	1.43, 0.47	6.87	29.85	48.67	81.58	23.51	78.86	3.35	29.58	6.65	90.76	22.12	13.36	10.41	98.17	91.27	96.74	53.06	32.01	-23.07	74.84
BRD-K90259198	CP	W-7	calmodulin antagonist, potassium channel blocker, squalene monooxygenase channel blocker	CALM1, CALM2, KCNA5, KCNH2, TNNC1, TNNI3		2.78, 1.67	30.93	1.80, 0.43	6.87	32.40	84.41	65.63	35.33	89.89	32.41	75.45	2.27	13.00	63.74	22.50	16.57	96.50	24.30	40.80	23.90	29.45	3.14	15.73
BRD-K64800655	CP	PHA-793887	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CCND1, CCNE1, CDK7, CDK9	CDK inhibitor	4.44, 0.56	30.91	1.55, 0.68	2.22	0.35	12.51	56.28	94.30	34.48	92.17	24.61	45.04	24.19	27.35	37.96	-2.78	38.96	54.68	60.01	24.85	49.26	24.72	5.05
BRD-K93918653	CP	quizartinib	FLT3 inhibitor, colony stimulating factor receptor inhibitor, KIT inhibitor, RET tyrosine kinase inhibitor	FLT3, CSF1R, KIT, RET, PDGFRA, PDGFRB		3.89, 1.11	30.90	0.72, 0.17	3.96	3.56	45.65	29.90	58.37	42.89	4.56	68.97	3.74	31.38	63.84	67.73	33.71	26.62	19.80	46.16	76.84	25.34	6.39	30.43
BRD-A50157456	CP	terbutaline	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	3.53, 1.18	30.89	1.10, 0.42	28.70	0.00	5.45	22.86	50.01	72.53	42.99	7.13	48.50	74.62	15.77	-45.00	46.84	32.01	92.16	12.54	13.86	43.18	70.79	29.77
BRD-A13084692	CP	troglitazone	PPAR receptor agonist, insulin sensitizer, CCK ligand expression inhibitor, EGR1 expression enhancer, glycogen synthase kinase stimulant	PPARG, ACSL4, AKR1B1, CCL2, CYP3A4, ESRRA, ESRRG, INS, SERPINE1, SLC29A1, TRPM3	PPAR receptor agonist	3.89, 1.67	30.88	0.83, 0.27	3.14	16.85	77.22	53.34	68.22	9.20	5.82	21.26	38.60	20.85	12.27	-67.75	13.29	40.62	47.54	51.26	29.88	45.06	31.89	55.49
BRD-K01624546	CP	docosatrienoic-acid	inhibitor of LTB4 binding to neutrophils			2.22, 1.67	30.88	1.52, 0.59	51.34	1.39	23.90	31.76	74.60	33.38	10.02	48.31	30.00	15.60	-48.52	0.92	61.43	99.15	18.81	42.79	46.07	56.24	17.07	5.43
BRD-A53952395	CP	prilocaine	anesthetic	SCN5A		2.35, 0.59	30.85	1.05, 0.44	4.55	15.54	86.31	31.82	83.44	91.53	10.25	5.17	0.04	49.34	58.15	-22.54	1.62	63.16	2.68	29.87	46.25	90.40	8.77	63.13
BRD-K71860425	CP	CDK2-5-inhibitor	inhibitor of CDK2/cyclin E and CDK5/p25	CDK2, CDK5		3.89, 1.67	30.81	1.09, 0.31	0.03	13.83	82.75	26.92	56.16	67.27	4.19	73.09	29.18	32.43	65.07	-31.28	-64.86	95.62	38.99	39.68	3.34	4.74	3.95	69.28
BRD-K56509348	CP	BMS-182874	endothelin receptor antagonist	EDNRA		2.94, 1.18	30.75	1.15, 0.31	2.33	8.01	79.74	91.49	92.72	65.99	22.44	4.47	23.76	37.49	-7.43	-14.65	14.07	54.99	25.85	67.17	35.65	90.50	-64.24	53.22
BRD-K09186807	CP	KIN001-244	phosphoinositide dependent kinase inhibitor	PDPK1		3.33, 1.67	30.73	1.56, 0.55	13.77	-87.33	42.06	41.84	61.35	18.34	0.25	18.35	72.92	19.30	53.25	28.71	23.42	6.87	55.20	58.12	37.96	32.75	23.53	86.21
BRD-K78278890	CP	NM-PP1	calcium/calmodulin dependent protein kinase inhibitor, growth factor receptor inhibitor, MAP kinase inhibitor, mutant kinase inhibitor	CAMK2A, LCK, MAPK8, PRKACA, RIPK2, SRC		5.56, 3.89	30.73	1.14, 0.35	8.51	0.00	56.78	18.26	58.93	33.51	4.79	57.71	27.95	7.30	75.22	1.16	36.38	60.76	25.27	22.04	78.55	49.46	-81.77	38.96
BRD-K14807180	CP	SB-221284	serotonin receptor antagonist	HTR2B, HTR2C, HTR2A		2.22, 1.11	30.72	0.81, 0.22	16.32	-48.55	50.11	62.31	47.69	30.44	2.57	43.58	18.25	30.90	30.53	-1.23	43.76	44.17	71.30	33.12	8.45	8.63	22.74	65.87
BRD-K71430621	CP	clobenpropit	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4, HRH1, HRH2		3.89, 2.22	30.71	0.63, 0.18	90.42	22.61	43.84	4.23	64.17	77.38	51.53	91.78	8.01	4.92	69.77	8.87	57.17	22.44	3.81	36.53	12.58	37.87	24.89	20.52
BRD-A24514565	CP	warfarin	cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor	VKORC1, CYP2C19, CYP2C8, CYP4F2		4.12, 2.35	30.70	0.85, 0.22	-0.67	12.39	88.32	32.29	22.75	92.88	1.04	46.83	3.95	29.11	46.63	-2.47	39.38	51.80	16.46	49.34	27.75	98.03	12.64	80.14
BRD-K96119599	CP	leucodin	melanin synthesis inhibitor			5.56, 3.33	30.69	0.83, 0.19	25.42	-0.74	30.82	78.48	41.40	73.70	5.68	62.63	5.75	30.56	96.15	-0.73	-26.07	14.76	35.28	64.69	9.01	92.45	26.40	51.42
BRD-K47598052	CP	PP-1	src inhibitor, Abl kinase inhibitor	HCK, RET, SRC	SRC inhibitor	1.11, 1.11	30.68	1.75, 0.64	25.23	-58.72	6.04	41.21	14.07	22.95	-14.52	3.45	98.53	87.94	46.83	57.34	17.59	6.19	66.80	21.65	91.96	36.14	45.39	61.06
BRD-K70281171	CP	U-99194	dopamine receptor antagonist	DRD3		2.78, 1.11	30.67	1.11, 0.27	-2.88	11.49	48.26	29.58	20.47	89.35	-5.67	47.38	6.38	31.76	37.26	1.13	33.15	45.74	58.58	45.40	15.57	10.44	10.88	34.72
BRD-K80778372	CP	RO-19-4605	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5		3.33, 2.22	30.67	0.72, 0.19	2.85	5.42	58.58	13.34	91.22	38.60	-0.67	8.45	19.78	17.33	32.16	-4.52	12.23	61.79	31.70	50.46	43.92	94.19	29.64	88.21
BRD-K25079130	CP	avrainvillamide-analog-4	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	0.00, 0.00	30.66	0.49, 0.15	4.45	70.16	30.27	35.90	39.16	3.66	18.18	31.05	18.75	6.20	16.72	26.61	24.51	56.79	50.28	88.50	36.19	70.40	2.22	50.81
BRD-K02113016	CP	olaparib	PARP inhibitor, DNA repair enzyme inhibitor	PARP1, PARP2, PARP3	PARP inhibitor	2.22, 1.11	30.63	0.59, 0.13	0.67	45.43	51.15	35.97	27.85	14.69	73.27	36.01	13.37	11.71	13.58	57.99	24.27	20.13	65.00	25.72	60.53	33.41	6.41	65.99
BRD-K43887077	CP	dopamine	dopamine receptor agonist	DRD2, DRD1, DRD3, DRD4, DRD5, DBH, HTR1A, HTR7, SLC6A2, SLC6A3, SLC6A4		2.22, 1.67	30.62	0.88, 0.34	0.39	0.74	68.24	32.88	12.96	4.02	0.07	3.25	49.15	18.10	55.26	-1.55	56.96	72.65	55.09	30.46	30.78	47.64	24.74	55.25
BRD-K00615600	CP	AG-14361	PARP inhibitor	PARP1	PARP inhibitor	1.67, 0.00	30.61	0.64, 0.20	4.39	1.37	50.80	46.75	68.85	27.93	76.51	19.78	13.01	49.74	59.45	8.49	7.18	23.24	28.52	46.11	38.82	32.71	16.08	69.43
BRD-K85242180	CP	beta-CCP	indoleamine 2,3-dioxygenase inhibitor	GABRA1, GABRG2, IDO1		5.56, 3.33	30.61	0.94, 0.25	71.27	17.30	9.42	93.29	94.17	96.30	14.03	0.49	98.87	34.22	48.50	-42.79	-36.76	32.09	34.47	9.15	29.12	73.08	7.13	20.83
BRD-A31800922	CP	procyclidine	anticholinergic	CHRM1, CHRM2, CHRM3, CHRM4		4.12, 0.59	30.60	1.05, 0.30	-0.85	8.89	72.68	56.35	30.33	85.15	0.67	34.44	84.65	30.86	66.96	12.00	21.20	33.04	24.29	38.50	17.21	93.51	-71.40	-45.52
BRD-K06792661	CP	narciclasine	coflilin signaling pathway activator, LIM kinase activator, ROCK activator	RHOA		3.89, 1.11	30.56	3.52, 0.82	16.83	92.28	42.78	11.77	81.37	15.72	21.98	67.68	8.52	30.50	43.99	86.97	9.61	6.29	34.16	30.63	90.17	0.02	4.72	33.16
BRD-A85860691	CP	chaetocin	histone lyinse methyltransferase inhibitor, histone lysine N methyltransferase inhibitor	EHMT2, SUV39H1		2.22, 1.67	30.56	0.70, 0.05	10.59	90.77	62.18	28.41	49.59	20.78	62.74	7.51	53.00	23.89	32.70	62.36	18.85	43.48	28.17	60.17	16.72	58.05	6.51	21.16
BRD-K41996876	CP	tyrphostin-1	epidermal growth factor receptor (EGFR) inhibitor	EGFR		0.00, 0.00	30.55	0.55, 0.13	57.66	11.35	62.19	53.30	80.22	60.53	26.56	18.07	13.73	10.74	30.08	-25.50	34.94	47.95	9.71	68.70	-1.41	9.70	31.01	50.09
BRD-K02404261	CP	caffeine	adenosine receptor antagonist, ATM kinase inhibitor, ATR kinase inhibitor	ADORA1, ADORA2A, ADORA2B, ATM, ITPR1, RYR1, ADORA3, ATR, ITPR2, ITPR3, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PIK3CA, PIK3CB, PIK3CD, PRKDC, RYR2, RYR3		3.33, 2.78	30.54	0.43, 0.13	11.50	0.74	66.88	39.14	47.58	86.81	16.80	69.62	5.00	11.91	33.93	-1.27	27.15	56.41	7.86	60.62	52.73	22.60	-7.08	55.12
BRD-A65767837	CP	hydrocortisone	corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist	3.53, 1.18	30.52	1.58, 0.39	8.77	9.79	81.74	43.17	67.97	61.27	-8.97	96.64	6.01	40.63	50.14	16.43	-4.37	98.81	29.39	31.65	24.31	33.71	24.34	-2.49
BRD-K63874012	CP	thioperamide	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4		2.22, 0.56	30.52	0.66, 0.16	8.17	1.23	50.74	71.96	66.56	31.55	7.51	21.59	26.05	67.88	85.18	-55.84	8.10	31.42	47.34	56.29	8.86	29.61	26.69	74.53
BRD-K09635134	CP	l-erythro-MAPP	ceramidase inhibitor, negative control for D-erythro-MAPP			6.11, 2.22	30.51	0.80, 0.34	5.52	2.43	14.18	31.46	33.01	24.49	0.45	6.72	61.53	15.37	98.59	0.00	74.80	89.65	29.57	59.13	37.00	45.14	19.31	79.52
BRD-K16551401	CP	PNU-22394	serotonin receptor agonist	MAOA, MAOB		2.78, 1.67	30.50	0.97, 0.28	32.46	2.29	91.01	84.24	25.99	84.59	85.49	3.00	21.75	28.55	39.06	-30.61	75.07	84.09	13.14	5.95	80.28	41.31	-4.40	23.98
BRD-K12932420	CP	YM-976	phosphodiesterase inhibitor, tumor necrosis factor production inhibitor	PDE4A, PDE4B, PDE4C, PDE4D, TNF		3.33, 1.67	30.50	0.73, 0.27	11.74	-0.88	30.69	23.92	22.13	75.40	30.31	12.95	48.30	89.88	28.45	-0.99	37.49	35.95	42.27	46.76	62.22	23.59	21.71	61.68
BRD-K82484965	CP	carmoxirole	dopamine receptor agonist	DRD2		5.00, 2.22	30.50	0.95, 0.26	38.54	-38.86	38.69	91.31	99.40	20.02	20.32	43.91	5.49	36.04	75.21	-27.38	58.89	47.69	71.78	24.95	20.95	10.15	5.64	16.59
BRD-K69932463	CP	AZD-8055	mTOR inhibitor	MTOR	MTOR inhibitor	0.00, 0.00	30.49	2.34, 0.75	11.86	-86.79	46.30	34.03	80.82	-29.56	-33.88	1.48	10.51	28.95	85.22	75.74	37.86	5.52	22.30	53.73	64.56	32.03	13.84	48.26
BRD-K01815685	CP	indole	aryl hydrocarbon receptor agonist, indoleamine 2,3-dioxygenase inhibitor	AHR, IDO1		3.33, 1.67	30.44	0.92, 0.18	17.28	17.27	86.81	-11.98	35.95	82.31	91.32	4.69	15.85	15.49	44.99	7.26	85.61	62.82	38.40	24.93	67.35	63.88	4.75	13.14
BRD-K93080877	CP	Ala-Ala-Phe-CMK	tripeptidyl peptidase inhibitor	TPP2		2.94, 1.76	30.42	1.13, 0.43	-12.79	89.71	83.57	28.85	27.12	89.13	16.72	70.34	16.75	16.13	13.38	30.92	45.22	56.50	17.43	76.20	74.39	29.92	19.21	62.45
BRD-A41722204	CP	sulmazole	calcium sensitizer, phosphodiesterase inhibitor			5.56, 2.22	30.39	0.52, 0.11	15.84	-1.44	27.78	45.58	74.79	40.02	2.22	5.09	6.94	39.46	21.76	0.95	33.00	95.45	9.23	59.59	35.10	77.99	3.39	41.84
BRD-A19633847	CP	perhexiline	carnitine palmitoyltransferase binder, carnitine palmitoyltransferase inhibitor	CPT1A, CPT2		6.67, 1.67	30.39	2.63, 0.72	10.65	88.11	11.22	27.02	31.68	33.23	22.73	19.79	96.17	11.65	29.09	97.11	6.88	6.27	64.24	74.61	93.43	83.70	4.19	37.60
BRD-K24240364	CP	GYKI-52466	glutamate receptor antagonist, kainate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4		2.78, 1.67	30.38	1.10, 0.34	31.59	19.25	30.88	66.16	88.96	57.24	31.32	15.45	5.28	29.88	17.65	0.99	49.48	14.93	77.72	11.29	15.34	64.07	19.40	40.87
BRD-A10523515	CP	GSK-429286A	ROCK inhibitor	ROCK1		3.33, 1.67	30.35	0.80, 0.28	2.80	14.52	61.15	34.75	16.94	48.91	25.94	81.44	6.37	18.46	16.22	21.09	58.14	44.83	69.33	36.47	22.63	61.52	16.47	45.72
BRD-K40887525	CP	ritanserin	serotonin receptor antagonist	HTR2A, HTR2C, HTR2B, ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1B, HTR1D, HTR5A, HTR6, HTR7		4.44, 2.78	30.33	0.77, 0.20	24.58	6.62	60.98	73.80	67.71	83.79	8.17	2.78	9.39	36.08	21.87	-25.14	86.62	97.50	7.50	52.73	9.30	50.37	21.42	55.16
BRD-K00312224	CP	PPT	estrogen receptor agonist	ESR1	Estrogen receptor agonist	4.44, 1.67	30.28	0.85, 0.16	9.57	5.57	29.19	35.13	18.44	80.93	20.11	97.71	9.55	28.17	90.33	48.73	13.21	11.55	57.26	61.48	72.67	31.37	17.06	66.02
BRD-K91315211	CP	betahistine	histamine receptor agonist, histamine receptor antagonist	HRH3, HRH1		3.89, 1.11	30.28	1.58, 0.39	3.10	-0.56	32.19	15.78	72.74	71.96	28.37	2.40	39.31	11.75	42.12	-1.52	91.44	71.94	19.41	66.83	32.36	16.16	14.61	60.32
BRD-K17415526	CP	tyrphostin-AG-835	protein tyrosine kinase inhibitor	EGFR		5.56, 2.22	30.27	0.81, 0.25	8.26	88.05	28.22	43.64	69.99	31.01	46.81	2.69	6.01	25.62	22.09	74.97	27.04	35.04	47.74	29.53	80.03	9.81	7.08	69.17
BRD-K99411983	CP	lumicolchicine	colchicine isomer, non-binder of microtubules			2.78, 1.11	30.24	0.51, 0.16	74.70	23.70	68.77	92.20	66.86	57.89	3.55	7.93	30.08	30.41	21.66	-8.97	45.84	18.10	43.23	86.90	15.89	16.14	3.35	47.66
BRD-K96778649	CP	tyrphostin-47	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		2.78, 1.11	30.24	1.05, 0.30	10.70	31.03	80.60	60.08	29.45	41.95	2.50	26.06	6.39	48.73	80.57	18.87	21.10	7.38	9.42	61.50	72.20	23.12	32.68	38.27
BRD-K34441861	CP	moexipril	angiotensin converting enzyme inhibitor, phosphodiesterase inhibitor	ACE, ACE2		5.56, 3.89	30.15	1.23, 0.51	42.97	15.14	61.97	37.85	73.30	93.92	29.93	4.27	64.53	58.47	30.37	-56.65	78.61	99.54	20.70	5.71	9.41	27.06	3.95	26.73
BRD-K76872913	CP	benzanthrone	aromatic hydrocarbon derivate with fluorescent and luminescent properties			1.11, 0.00	30.12	1.09, 0.34	2.86	23.82	3.74	86.25	43.38	36.85	52.55	10.39	38.48	66.01	28.51	-52.76	-23.62	89.47	6.34	12.67	9.68	79.95	31.73	58.50
BRD-K31542390	CP	mycophenolic-acid	dehydrogenase inhibitor, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor	IMPDH1, IMPDH2	IMPDH inhibitor	6.11, 3.33	30.11	0.92, 0.33	4.59	-2.22	32.18	58.55	92.25	26.23	99.19	3.83	24.62	21.86	27.70	64.89	14.93	88.22	88.90	61.28	51.69	47.17	3.17	28.04
BRD-A76093993	CP	cromakalim	ATP channel activator, potassium channel agonist	KCNJ8, ABCC9, KCNJ5		2.78, 1.11	30.11	1.11, 0.28	4.95	9.76	13.57	78.28	72.79	79.94	70.67	10.33	7.54	25.78	34.44	-1.48	-9.13	39.72	69.61	84.73	21.05	57.58	18.04	69.20
BRD-A62035778	CP	scopolamine	acetylcholine receptor antagonist	CHRM2, CHRM1, CHRM3, CHRM4, CHRM5, SI		5.00, 2.22	30.09	0.86, 0.33	8.03	8.52	35.89	25.28	61.93	36.98	39.83	28.81	85.11	33.20	16.60	0.00	6.63	16.39	31.41	11.47	31.36	59.91	3.45	44.17
BRD-A06390036	CP	hydroquinidine	anti-arrhythmia agent			2.78, 1.11	30.01	0.61, 0.22	54.15	48.72	76.35	37.12	97.89	92.26	35.57	13.79	26.80	60.66	5.73	1.37	9.64	25.04	10.42	77.89	33.22	15.81	9.01	19.12
BRD-K40619305	CP	larixinic-acid	comopund that interacts with metal centers			7.78, 4.44	29.99	1.18, 0.39	3.03	17.62	69.23	99.79	81.00	41.60	-0.42	-7.15	20.07	18.87	35.94	-81.44	74.07	18.19	74.34	51.86	7.39	77.37	24.04	97.13
BRD-K66019333	CP	oxantel	fumarate reductase inhibitor			3.89, 1.67	29.93	0.78, 0.15	27.07	14.16	13.95	82.65	0.95	37.98	8.98	21.85	37.05	31.24	50.96	-1.02	14.83	59.10	28.62	56.78	73.21	15.42	42.59	55.97
BRD-K56064827	CP	EI-273	PKC inhibitor	PRKCA, PRKCG		2.22, 1.11	29.92	2.13, 0.88	5.92	8.38	99.75	23.98	55.65	62.56	3.28	48.70	21.53	49.72	35.86	-16.79	7.06	67.86	61.20	77.07	10.81	4.44	8.15	47.51
BRD-A01593789	CP	chlormadinone	progesterone receptor agonist	PGR		1.67, 1.67	29.91	0.64, 0.23	16.17	3.93	65.70	48.56	56.85	31.91	27.91	8.31	46.64	9.78	7.75	21.21	-4.97	27.23	43.35	60.05	38.62	27.16	37.79	44.23
BRD-A62890442	CP	3-methyl-GABA	GABA aminotransferase activator			0.91, 0.00	29.83	2.52, 0.88	41.57	4.55	88.22	66.22	63.31	66.34	5.60	-1.80	33.69	1.55	65.87	-0.82	89.29	58.46	4.65	25.98	16.53	-14.44	8.04	95.55
BRD-A38749782	CP	fludrocortisone	glucocorticoid receptor agonist, mineralocorticoid receptor agonist	NR3C2, AR, NR3C1	Glucocorticoid receptor agonist	3.53, 2.94	29.83	1.64, 0.57	32.94	52.11	21.16	27.82	69.00	52.22	12.93	99.89	2.58	30.40	9.81	52.65	7.68	22.21	30.20	41.36	13.10	29.46	94.53	13.43
BRD-K64610608	CP	EMF-bca1-57	caspase inhibitor	CASP3		3.89, 1.11	29.83	0.90, 0.17	5.91	8.48	30.88	44.55	6.10	57.59	40.87	5.85	72.74	40.35	10.63	-4.54	28.78	63.57	39.70	-40.96	42.41	94.56	16.19	6.32
BRD-K87932577	CP	CDK1-5-inhibitor	CDK inhibitor	CDK1, CDK5, GSK3B	CDK inhibitor, Glycogen synthase kinase inhibitor	3.33, 2.22	29.82	0.94, 0.28	13.35	30.90	37.56	-3.49	36.58	35.91	21.65	18.23	15.53	35.69	47.30	4.86	28.75	69.85	26.93	9.95	24.21	36.92	71.30	64.04
BRD-K15891719	CP	tenofovir	reverse transcriptase inhibitor, nucleoside reverse transcriptase inhibitor, nucleotide reverse transcriptase inhibitor			6.11, 2.22	29.78	3.25, 0.93	97.10	0.78	31.65	18.22	87.44	99.30	42.97	88.28	0.85	2.92	83.40	0.00	80.12	95.51	10.50	20.37	3.14	12.00	43.31	27.92
BRD-K24675965	CP	LY-288513	CCK receptor antagonist	CCKBR		3.33, 1.11	29.78	0.94, 0.19	28.23	13.36	-14.50	81.19	85.51	35.02	-41.60	30.74	98.02	62.96	98.13	-11.92	28.82	9.27	18.29	25.83	57.03	83.70	58.94	17.35
BRD-A93236127	CP	digitoxin	ATPase inhibitor	ATP1A1	ATPase inhibitor	3.89, 1.11	29.74	2.18, 0.56	5.00	92.40	29.11	26.03	81.69	30.36	84.41	69.77	3.36	26.00	49.03	79.60	4.93	78.87	2.15	63.30	87.77	4.30	16.81	27.30
BRD-K06024458	CP	n-arachidonyl-GABA	arachidonyl amino acid that inhibits pain			3.89, 2.22	29.72	1.06, 0.38	17.62	6.68	30.13	23.11	29.32	-40.90	67.68	61.31	15.35	22.68	50.27	-48.58	60.12	79.47	39.05	61.21	23.00	36.70	49.85	2.04
BRD-K53414658	CP	tivozanib	VEGFR inhibitor, KIT inhibitor, tyrosine kinase inhibitor	FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB	PDGFR/KIT inhibitor, VEGFR inhibitor	2.22, 0.00	29.69	1.91, 0.52	-2.33	24.02	20.11	88.19	74.12	35.37	4.22	5.00	62.05	9.23	73.31	83.06	18.47	16.62	45.96	59.70	78.67	77.29	22.83	22.57
BRD-K49890030	CP	gavestinel	glutamate receptor antagonist, glycine receptor antagonist	GLRB		4.44, 2.22	29.68	1.19, 0.34	25.38	7.24	23.46	23.21	25.88	73.43	20.21	33.47	37.58	81.26	63.72	-6.69	13.16	11.35	50.50	45.66	42.30	96.86	19.70	41.41
BRD-A62434282	CP	goserelin	gonadotropin releasing factor hormone receptor agonist, luteinizing hormone releasing hormone agonist	GNRHR, GNRH1, LHCGR		1.67, 0.56	29.60	1.14, 0.35	2.92	10.40	81.73	94.02	68.62	11.91	9.83	4.80	3.74	48.77	9.49	-15.01	31.51	48.11	34.27	81.47	27.68	82.64	-0.02	79.57
BRD-A47144777	CP	dihydro-7-desacetyldeoxygedunin	HSP90 inhibitor	HSP90AA1		3.53, 1.76	29.59	1.03, 0.27	7.98	70.88	9.92	52.48	29.00	30.18	43.93	7.18	18.20	28.61	7.92	13.74	18.45	44.79	81.38	92.47	16.67	93.77	31.79	93.18
BRD-A80574334	CP	oxalomalic-acid	isocitrate dehydrogenase inhibitor	ACO1, IDH1		5.56, 2.22	29.57	1.95, 0.58	32.08	0.00	51.54	34.37	28.38	88.93	16.18	99.33	1.99	1.30	60.81	-1.23	72.22	92.98	0.93	30.77	-63.44	15.90	38.26	7.12
BRD-K07117950	CP	imperatorin	acetylcholinesterase inhibitor, nitric oxide production inhibitor, Sodium Channel  Blockers	ACHE, HTR7		1.11, 0.56	29.55	0.82, 0.20	85.27	14.52	18.96	38.10	27.13	59.79	25.66	-6.39	2.68	13.25	53.84	-16.64	18.17	86.00	64.65	19.93	55.97	31.98	61.71	63.38
BRD-K23623876	CP	decafluorobutane	ultrasound contrast agent	GRM5		6.11, 1.67	29.55	1.15, 0.30	7.84	15.73	96.21	86.33	73.28	84.64	27.17	11.35	61.70	9.16	6.21	-44.48	59.69	31.92	25.85	64.77	35.50	10.70	8.84	95.77
