#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
BRD-K97564742	CP	mepyramine	histamine receptor antagonist	HRH1		2.69, 1.54	25.18	0.50, 0.14	3.92	10.50	71.58	3.97	46.11	12.98	78.53	51.14	30.03	25.91	69.08	12.95	2.96	-3.57	31.97	3.05	35.67	10.46	11.66	42.25	15.51	39.32	8.47	2.75	25.18	52.04	16.58	62.70	34.70
BRD-K53545112	CP	CNQX	glutamate receptor antagonist, unidentified pharmacological activity	GRIA1, GRIA2, GRIA3, GRIA4		8.57, 4.90	25.13	1.25, 0.32	25.13	9.23	8.46	3.45	23.63	91.85	32.94	35.71	24.99	92.38	99.85	76.24	-22.39	-4.22	65.25	1.71	42.19	17.19	94.04	37.18	12.54	3.14	46.56	98.24	98.20	72.39	24.50	-19.68	22.58
BRD-K99749624	CP	linifanib	PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, colony stimulating factor receptor inhibitor, FLT3 inhibitor, macrophage colony stimulating factor antagonist, MAP kinase inhibitor, PARP inhibitor, receptor tyrosine kinase inhibitor, STAT inhibitor, VEGFR antagonist	CSF1R, KDR, PDGFRB, FLT1, FLT3, FLT4, CSF1, KIT, PDGFRA, RET, TEK		5.38, 3.46	25.13	1.02, 0.49	15.23	97.78	5.44	16.94	44.11	90.07	16.21	18.55	7.67	67.92	16.40	34.47	25.28	32.58	34.78	7.38	12.40	10.50	37.85	18.66	71.36	57.72	33.01	99.19	7.55	13.40	7.22	51.36	25.13
BRD-A10715913	CP	sulpiride	carbonic anhydrase inhibitor, dopamine receptor, dopamine receptor antagonist	DRD2, CA7, DRD3, CA1, CA12		5.00, 3.08	25.12	2.13, 0.63	-18.35	97.89	99.51	25.18	92.02	91.06	-26.08	-34.02	20.60	34.90	-6.75	71.13	0.00	1.23	-35.87	69.26	71.07	3.14	-10.96	36.50	98.94	25.12	50.05	-4.08	0.92	-22.86	42.57	10.26	69.55
BRD-A47706533	CP	L-BSO	γ-glutamylcysteine synthetase inhibitor	GCLM		5.77, 2.69	25.07	0.60, 0.16	56.35	-35.75	11.72	20.61	-11.10	-0.02	38.36	71.20	35.01	7.85	96.26	18.70	-1.48	-5.29	39.54	-2.26	86.66	0.53	92.13	25.92	12.71	25.28	21.66	99.47	80.01	25.07	1.38	53.02	79.91
BRD-K61691971	CP	avrainvillamide-analog-1	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	1.72, 0.43	25.02	0.49, 0.40	45.96	45.98	38.16	3.49	40.89	15.87	11.27	25.02	29.08	49.66	10.60	48.63	5.75	12.54	45.17	97.22	35.50	50.07	21.32	15.96	68.21	4.53	13.71	-0.39	-0.88	12.21	20.51	44.21	68.35
BRD-K69556541	CP	ryanodine	calcium channel inhibitor	RYR1, RYR2, RYR3		2.69, 0.77	25.01	1.49, 0.45	89.81	-19.91	8.20	38.24	-9.66	6.56	95.37	70.78	67.45	3.28	4.52	26.50	-4.23	1.90	-36.28	4.46	93.35	17.42	27.41	93.18	18.51	52.06	10.55	-20.70	25.01	25.55	61.73	87.59	74.79
BRD-K33204703	CP	AG-370	PDGFR tyrosine kinase receptor inhibitor, tyrosine kinase inhibitor	PDGFRB		5.77, 2.69	24.99	1.31, 0.40	6.20	-67.00	74.09	9.12	20.09	3.05	8.41	97.00	16.42	31.35	24.99	91.82	1.16	-13.65	91.83	3.49	84.37	35.98	-41.12	89.03	59.63	96.65	32.07	-60.41	51.35	42.38	19.86	94.44	11.32
BRD-K80431395	CP	triciribine	AKT inhibitor	AKT1, AKT2, AKT3		3.85, 1.54	24.98	1.44, 0.15	3.35	-96.34	8.57	78.02	33.04	5.60	-9.48	89.54	6.23	42.25	42.11	18.93	90.58	3.28	92.04	99.44	75.58	83.15	24.98	90.97	20.74	-15.02	6.45	-13.30	51.55	33.78	21.53	18.60	63.91
BRD-A55594068	CP	vinblastine	microtubule formation inhibitor, tubulin inhibitor, tubulin polymerisation inhibitor	TUBB, JUN, TUBA1A, TUBD1, TUBE1, TUBG1	Tubulin inhibitor	5.00, 3.08	24.97	1.43, 0.39	14.53	71.76	63.08	88.23	24.97	15.28	7.01	43.08	5.35	25.73	43.66	55.67	92.35	78.70	-2.17	99.58	87.28	67.73	14.62	15.70	21.65	10.44	7.85	-8.13	28.25	-8.65	9.03	23.57	56.32
BRD-K75478907	CP	GS-39783	GABA receptor modulator, GABA receptor positive allosteric modulator	GABBR1		1.92, 0.00	24.88	0.49, 0.17	34.13	8.21	22.26	55.35	16.12	19.04	73.51	48.62	16.12	19.66	51.49	52.96	7.84	16.84	-13.27	2.54	8.69	68.17	67.43	11.21	-54.16	57.63	24.88	-86.46	47.24	87.51	28.24	34.70	40.68
BRD-K88741031	CP	methyl-2,5-dihydroxycinnamate	EGFR inhibitor, tyrosine kinase inhibitor	EGFR		4.23, 1.92	24.88	1.06, 0.33	20.04	-16.57	4.55	18.78	12.79	8.61	50.68	35.07	-20.27	12.55	88.00	37.98	36.16	59.64	87.86	24.47	66.62	40.09	50.27	93.96	10.62	24.88	9.43	99.47	95.29	24.68	16.69	88.64	21.83
BRD-A10070317	CP	propranolol	adrenergic receptor antagonist	ADRB2, ADRB3, ADRB1, CYP2C19, HTR1A, HTR1B		4.62, 1.92	24.76	1.45, 0.47	11.26	41.50	14.68	3.45	75.92	12.60	56.14	24.76	15.64	93.27	10.62	29.07	0.00	60.81	32.76	4.23	29.49	19.65	6.71	27.28	96.56	44.74	18.09	-48.38	11.24	34.26	57.97	68.57	24.06
BRD-K56614220	CP	clofazimine	GK0582 inhibitor			3.56, 1.78	24.76	0.64, 0.17	4.33	24.75	65.82	23.67	8.31	4.85	31.19	71.33	12.91	33.17	24.76	69.57	69.59	55.47	93.61	18.35	98.12	40.44	13.22	15.84	34.18	23.16	5.39	-51.30	14.98	-7.23	25.15	49.34	94.79
BRD-K16554956	CP	PTB1	AMPK activator, tyrosine phosphatase inhibitor	PTPN1		3.08, 1.54	24.75	0.93, 0.32	57.82	28.74	87.82	8.58	35.97	77.73	10.30	65.11	6.92	12.45	24.75	38.18	-72.99	4.20	60.58	-98.31	69.46	10.87	21.14	84.28	24.52	80.91	19.11	12.31	15.95	59.28	60.51	47.72	3.03
BRD-K26801045	CP	pipamperone	dopamine receptor, dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR2A, HRH1, HTR1A, HTR1B, HTR1D	Dopamine receptor antagonist	3.08, 0.77	24.72	1.05, 0.34	-22.32	31.96	53.52	4.42	47.93	32.00	27.09	37.38	42.67	10.61	24.72	73.14	-26.20	-9.17	-69.36	3.49	47.54	18.48	23.95	34.85	69.90	31.25	10.16	-94.07	-43.46	44.53	10.77	21.84	97.43
BRD-K37312348	CP	kenpaullone	CDK inhibitor, glycogen synthase kinase inhibitor, src inhibitor	GSK3B, CDK1, CDK5, CCNB1, CDK2, LCK	CDK inhibitor, Glycogen synthase kinase inhibitor	3.46, 1.54	24.72	0.88, 0.39	19.64	87.63	13.56	37.99	46.78	32.40	1.97	-49.03	47.16	6.38	52.68	78.78	24.72	1.09	-37.92	32.24	29.84	6.28	16.58	47.71	89.22	70.42	-8.50	12.04	83.84	16.98	5.53	13.79	49.22
BRD-K33226500	CP	indinavir	HIV protease inhibitor	CYP3A5	HIV protease inhibitor	4.89, 2.22	24.71	1.13, 0.28	21.97	89.18	15.64	21.00	88.15	18.42	22.19	61.22	53.28	10.53	0.18	52.94	0.49	3.60	90.94	60.72	96.05	11.06	-23.59	-4.90	90.67	33.27	24.05	-99.08	27.88	24.71	76.99	29.97	78.84
BRD-K13211965	CP	L-741742	dopamine receptor antagonist	DRD4, DRD3, SCN1A, SCN3A		4.90, 2.04	24.69	1.61, 0.43	60.70	29.75	53.62	32.30	24.69	84.70	15.32	-33.30	16.39	38.15	18.15	47.55	2.78	37.51	-30.45	18.10	48.59	89.93	-22.94	43.67	79.11	57.80	-29.65	-99.47	14.62	10.63	3.70	13.47	98.19
BRD-K90885812	CP	propantheline	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4		10.20, 7.76	24.67	1.42, 0.36	52.29	73.58	-8.28	40.88	58.45	24.67	59.97	99.82	17.46	12.70	9.42	13.69	3.30	-13.75	99.61	-82.80	75.60	0.14	16.26	72.34	2.22	-4.63	18.38	79.62	57.69	98.52	8.71	54.78	38.27
BRD-A59174698	CP	ritodrine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	5.77, 3.08	24.61	1.26, 0.45	4.73	15.78	92.66	30.17	89.04	31.28	0.74	-17.25	95.00	24.61	-3.68	68.47	0.00	8.98	22.58	13.19	38.46	18.68	19.85	31.56	83.10	31.77	20.60	33.16	54.94	8.28	13.15	83.59	33.77
BRD-K71823332	CP	epothilone-a	microtubule stabilizing agent			1.92, 1.54	24.59	1.02, 0.40	11.58	10.10	12.52	38.77	29.42	8.55	-3.63	34.41	0.35	67.24	81.68	60.53	0.00	15.12	20.80	1.16	75.22	10.10	37.23	26.17	30.93	2.89	72.45	81.82	10.20	27.17	49.44	24.59	0.85
BRD-K70577657	CP	H-9	cAMP dependent protein kinase inhibitor, PKA inhibitor	PRKACA	PKA inhibitor	4.23, 2.31	24.58	0.55, 0.11	18.14	30.20	76.89	13.98	30.74	12.69	21.09	-18.42	34.15	-4.72	34.99	33.59	2.78	-1.27	63.63	0.92	86.49	4.72	5.98	77.00	24.58	73.61	28.70	-0.85	18.57	40.13	19.68	69.54	53.77
BRD-A39522003	CP	OMDM-2	FAAH reuptake inhibitor	GPR119		5.00, 1.54	24.52	1.06, 0.41	38.44	2.51	-1.59	65.77	-24.75	10.01	59.75	49.60	22.28	61.69	35.57	32.79	15.84	40.91	58.94	4.05	24.52	24.50	39.31	25.99	9.13	6.76	10.26	21.11	94.47	27.81	14.74	91.87	23.90
BRD-K10065684	CP	dantron	stimulant laxative			2.31, 1.15	24.50	0.89, 0.15	7.05	22.91	43.37	40.99	24.50	55.82	34.94	-15.96	-5.57	11.75	-4.86	68.53	3.20	31.51	86.70	43.50	91.90	36.67	-0.11	64.63	4.65	39.56	-7.96	1.62	-3.25	17.65	20.70	65.35	32.38
BRD-K29113274	CP	ketoconazole	14-alpha demethylase inhibitor, androgen receptor ligand, aromatase inhibitor, cell wall synthesis inhibitor, cortisol synthesis inhibitor, P glycoprotein inhibitor, sterol demethylase inhibitor	AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10	Sterol demethylase inhibitor	5.78, 3.11	24.50	0.83, 0.18	22.73	-67.94	4.91	52.66	44.64	-87.58	-9.98	49.80	-28.89	47.37	25.15	63.69	35.40	88.34	84.69	9.61	75.67	84.02	0.11	19.34	59.57	3.70	12.70	9.98	95.49	24.50	68.61	8.70	-5.89
BRD-K62353524	CP	DY-131	estrogen-related receptor agonist	ESR2, ESRRB, ESRRG		3.08, 1.54	24.47	0.70, 0.22	25.24	15.51	3.03	46.05	24.47	37.57	62.96	16.84	4.90	39.24	45.56	59.76	68.62	-1.16	70.03	46.79	20.56	10.40	19.24	19.14	70.87	1.59	-9.88	-83.27	-12.45	51.78	25.56	47.87	9.32
BRD-K05658747	CP	raltegravir	HIV integrase inhibitor			3.46, 1.15	24.45	0.99, 0.31	16.22	-27.53	28.75	15.82	27.23	8.32	16.05	63.30	-19.37	65.37	-37.29	85.36	-6.62	24.45	69.25	-90.91	71.22	1.04	19.62	45.84	35.92	39.31	69.50	96.33	25.23	9.37	56.59	18.02	14.87
BRD-K77390737	CP	xanthohumol	aromatase inhibitor, diacylglycerol O acyltransferase inhibitor, valosin containing protein inhibitor	CYP19A1, VCP		2.69, 0.77	24.44	1.35, 0.38	89.49	10.68	3.48	23.76	4.61	4.24	0.88	25.08	0.00	35.11	29.85	32.21	76.17	39.25	64.55	90.48	48.64	4.69	24.44	50.40	15.55	22.59	41.97	88.41	32.51	24.05	17.95	-3.35	12.81
BRD-A41555725	CP	chlortetracycline	protein synthesis inhibitor			0.82, 0.82	24.43	1.30, 0.49	39.42	-2.08	41.10	37.99	21.49	24.43	-3.22	49.24	16.09	44.84	-2.33	76.25	-5.88	5.11	88.87	-2.27	50.67	4.72	30.18	12.04	39.09	15.36	49.94	66.17	-20.02	19.76	67.43	38.19	13.62
BRD-A70731303	CP	avrainvillamide-analog-5	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	2.15, 0.43	24.42	0.40, 0.24	14.05	32.31	13.90	-1.80	38.44	11.67	12.72	42.77	15.62	21.22	34.50	22.24	32.07	84.20	18.01	99.51	40.99	12.50	31.20	42.69	76.19	35.05	20.27	0.00	18.85	2.08	24.42	24.91	56.01
BRD-K63784565	CP	BRD-K63784565	beta amyloid synthesis inhibitor, topoisomerase inhibitor	TOP1		5.73, 1.91	24.36	1.88, 0.51	10.88	8.57	17.20	7.21	72.59	9.30	76.71	71.43	53.96	9.80	16.84	75.09	-0.11	18.71	42.14	-5.01	45.34	29.48	24.36	48.17	96.11	65.81	14.95	-0.88	-12.43	55.62	42.37	9.37	93.48
BRD-K74236984	CP	UNC-0321	histone lyinse methyltransferase inhibitor, histone lysine methyltransferase inhibitor	EHMT2		0.77, 0.00	24.36	0.76, 0.18	67.91	5.18	59.01	0.95	16.09	12.92	24.36	46.46	14.69	31.25	13.02	44.80	-86.04	15.17	85.40	-83.19	-11.80	6.43	25.68	51.62	28.15	51.11	45.44	1.87	9.87	85.73	18.05	65.93	48.16
BRD-K53123955	CP	niridazole	oogenesis inhibitor, spermatogenesis inhibitor			3.27, 0.82	24.33	0.78, 0.26	37.60	19.55	49.10	16.83	51.74	10.71	39.59	25.83	13.15	28.01	-9.96	17.91	1.75	-12.02	59.42	2.68	35.07	28.91	24.33	42.46	62.27	29.57	6.77	-34.56	11.96	15.25	10.76	28.20	45.07
BRD-K19554809	CP	MK-212	serotonin receptor agonist	HTR2A, HTR2B, HTR2C		4.49, 3.27	24.32	2.21, 0.98	74.84	37.76	70.02	10.07	2.50	99.93	24.32	71.16	24.37	11.88	3.03	37.99	1.41	2.83	34.77	2.73	98.02	18.18	51.05	31.65	7.54	6.49	29.15	-3.59	21.55	23.14	15.01	36.02	95.96
BRD-A72711497	CP	lasalocid	ionophore antibiotic			9.80, 5.71	24.28	2.03, 0.66	11.20	36.90	20.75	96.14	29.38	24.28	6.95	22.27	19.13	5.36	3.03	31.87	98.52	98.56	-13.64	99.96	38.51	97.53	13.53	31.82	53.49	11.11	3.59	-73.62	62.00	54.12	13.70	2.57	89.54
BRD-K13819402	CP	desoxypeganine	acetylcholinesterase inhibitor, monoamine oxidase inhibitor	ACHE, MAOA		4.62, 2.69	24.24	0.45, 0.10	24.24	-46.22	10.46	3.98	-12.12	4.43	48.37	75.78	26.21	7.26	3.03	19.99	-8.03	44.83	49.73	-46.47	60.73	3.42	97.21	34.23	12.28	25.68	67.28	99.47	65.97	62.47	2.68	19.87	28.04
BRD-K37080523	CP	isoreserpine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1, SIAH1		3.85, 1.92	24.21	0.78, 0.17	16.78	92.56	4.68	70.83	49.37	15.91	13.50	43.80	71.65	60.10	21.26	-16.88	9.44	23.69	66.90	22.08	91.71	22.07	0.29	56.47	52.47	24.64	35.95	24.21	83.41	-7.42	10.54	22.11	90.51
BRD-A80775386	CP	hyperforin	cyclooxygenase inhibitor, dopamine reuptake inhibitor, interleukin receptor antagonist, lipoxygenase inhibitor, serotonin uptake inhibitor	NR1I2, ALOX5, PTGS1, TRPC6		4.23, 2.31	24.20	1.53, 0.48	41.43	-3.84	50.94	85.12	43.43	91.28	16.28	57.72	7.81	57.05	15.56	64.06	92.60	57.58	18.71	98.43	14.23	62.32	23.80	18.10	24.02	2.34	8.05	0.00	20.20	75.79	6.02	24.20	85.06
BRD-A83937277	CP	mephenytoin	cytochrome P450 substrate	SCN5A, CYP2C19		3.27, 0.82	24.20	1.45, 0.38	11.21	44.35	24.20	26.10	71.39	15.56	20.94	45.68	14.11	49.60	82.80	79.92	-2.33	14.45	95.66	3.22	85.19	8.79	20.01	90.86	20.64	69.76	7.39	-3.62	17.69	28.94	73.74	69.96	18.89
BRD-K45330754	CP	diethylstilbestrol	estrogen receptor agonist, chloride channel blocker	ESR1, ESR2, ESRRG, ESRRB	Estrogen receptor agonist	2.69, 0.77	24.12	0.41, 0.31	23.84	24.12	16.75	16.67	55.57	9.70	18.50	-26.30	26.74	10.13	14.79	75.67	2.96	11.21	46.66	96.12	42.06	10.47	45.73	48.97	40.57	81.43	15.53	38.10	47.28	9.00	63.59	49.72	13.79
BRD-K68558722	CP	deracoxib	cyclooxygenase inhibitor	PTGS2		6.54, 2.31	24.12	0.60, 0.18	75.70	11.89	13.29	38.53	58.79	10.36	24.12	51.08	7.28	78.84	14.52	63.28	15.70	15.58	88.72	9.05	98.20	21.45	17.15	66.13	82.01	64.84	7.99	8.71	56.09	10.45	49.64	49.91	14.61
BRD-A15297126	CP	fluocinonide	corticosteroid agonist, corticosteroid hormone receptor agonist	NR3C1, SERPINA6, SMO	Glucocorticoid receptor agonist	4.49, 1.63	24.02	1.74, 0.78	23.37	55.06	97.20	70.65	20.67	97.30	11.24	24.02	20.81	8.67	16.07	48.80	3.00	41.85	99.33	28.15	13.15	3.56	21.22	65.73	7.95	28.89	37.55	6.24	3.56	59.79	39.12	-2.29	56.89
BRD-A25143711	CP	hydrocortisone	corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist	2.69, 0.77	24.02	1.27, 0.64	13.93	-3.59	34.26	82.49	29.54	4.02	16.03	22.36	9.49	74.87	15.67	24.02	7.19	69.77	26.76	30.61	76.10	16.76	12.76	83.36	32.61	65.91	6.34	18.69	36.40	62.59	6.70	16.35	60.99
BRD-A24228527	CP	ofloxacin	antibiotic that inhibits DNA gyrase, topoisomerase inhibitor	TOP2A		10.61, 8.57	23.99	1.72, 0.47	1.62	-71.85	3.98	-11.08	-41.25	0.04	98.91	100.00	69.10	23.99	42.17	-82.59	0.00	-9.83	53.81	-94.95	77.37	1.23	41.61	4.83	94.27	0.00	35.29	-46.16	96.16	99.93	27.25	68.33	85.22
BRD-K39733634	CP	L-161982	prostanoid receptor antagonist, angiotensin receptor antagonist	PTGER4		5.00, 1.54	23.98	0.86, 0.34	-59.19	58.35	48.02	3.84	58.53	4.16	8.36	82.83	21.67	84.55	57.26	23.50	4.01	12.66	16.63	4.76	79.34	18.17	-8.93	23.98	97.08	72.05	43.45	-98.80	73.32	17.23	44.82	67.53	76.80
BRD-K10852020	CP	tolcapone	catechol O methyltransferase inhibitor, transthyretin amyloid inhibitor	COMT, TTR		4.90, 3.27	23.96	1.28, 0.36	23.26	3.91	3.13	10.67	0.00	76.82	82.36	88.03	2.18	20.08	17.29	52.80	1.97	5.03	63.00	0.00	55.66	0.00	90.11	44.77	59.02	93.14	23.96	89.27	84.51	91.22	11.92	64.32	-23.75
BRD-K55703048	CP	latrepirdine	glutamate receptor antagonist, histamine receptor antagonist, serotonin receptor antagonist	HTR6, GRIN2B, HRH1		4.74, 1.72	23.94	1.57, 0.36	58.01	-96.09	21.66	35.01	12.34	9.80	51.27	51.76	21.63	37.01	4.80	3.42	-2.42	10.58	90.99	-4.82	28.33	4.93	98.17	4.75	-8.28	11.87	42.48	99.47	62.89	23.94	75.33	59.19	51.60
BRD-A01317026	CP	7,8-dihydro-L-biopterin	dihydroneopterin aldolase inhibitor	NOS2, TPH1		3.85, 2.31	23.93	0.86, 0.26	34.35	23.93	15.72	8.70	13.95	14.48	28.87	42.81	-0.70	10.61	26.24	73.47	-2.58	0.00	91.57	6.68	77.85	9.93	20.35	76.95	11.15	1.44	71.34	99.47	0.42	40.48	43.61	29.91	39.27
BRD-A77299732	CP	salubrinal	eukaryotic translation initiation factor inhibitor, GlyT-1 inhibitor	EIF2S1, SLC6A9		4.08, 2.04	23.90	1.56, 0.45	85.95	-10.68	15.52	20.71	2.82	89.62	16.53	36.99	33.55	89.98	17.85	28.57	79.80	16.15	88.83	99.47	76.74	15.83	13.69	31.29	-19.96	19.96	-6.86	2.08	49.57	71.62	55.45	22.62	23.90
BRD-K06817181	CP	BRD-K06817181	JAK inhibitor	JAK2		2.55, 1.27	23.90	1.34, 0.46	34.92	9.17	23.78	1.33	23.90	0.04	15.57	83.37	63.76	52.51	91.30	42.12	72.58	6.04	9.93	2.04	17.54	32.14	10.03	46.47	10.06	35.54	29.60	-0.49	-31.59	98.45	13.68	39.01	30.89
BRD-K67844266	CP	MLN-4924	nedd activating enzyme inhibitor	NAE1, UBA3		1.54, 0.38	23.88	2.53, 0.74	7.86	91.45	28.80	18.42	43.36	-1.99	11.11	34.53	15.44	13.32	13.38	12.55	85.16	72.27	-58.39	81.83	7.15	45.23	71.65	23.88	60.32	26.98	41.04	1.87	7.97	11.45	26.90	26.38	13.81
BRD-K10177585	CP	PSB-11	adenosine receptor antagonist	ADORA3, ADORA1, ADORA2A		2.69, 1.54	23.84	1.27, 0.49	13.66	6.80	51.99	55.64	29.74	-3.57	12.98	67.43	15.20	59.92	89.95	18.09	0.00	10.65	-45.81	-0.53	22.04	30.47	51.93	36.58	23.84	55.95	21.56	-64.25	66.33	89.46	29.43	67.14	10.27
BRD-K76840893	CP	RS-17053	adrenergic receptor antagonist	ADRA1A, ADRA1D		10.00, 7.31	23.83	1.68, 0.52	8.35	16.82	42.97	98.66	46.06	13.76	-18.17	-54.66	20.82	9.56	-0.85	43.60	99.26	99.65	63.65	99.75	19.29	99.86	18.07	23.83	15.52	15.50	6.69	-5.19	99.89	41.72	36.45	69.34	54.31
BRD-K59650319	CP	YM-298198	glutamate receptor antagonist	GRM1		3.46, 1.92	23.82	0.99, 0.30	35.77	1.85	7.57	25.55	18.09	0.03	94.74	52.58	10.37	23.82	15.14	11.90	3.14	-0.63	78.12	3.97	86.04	-11.84	93.46	85.89	-4.23	9.90	15.39	90.64	62.30	65.67	38.91	71.11	47.12
BRD-A13807286	CP	HA-14-1	BCL inhibitor	BCL2	BCL inhibitor	3.08, 1.15	23.78	1.30, 0.26	97.02	45.41	13.67	52.67	18.47	29.14	23.78	53.86	18.00	9.61	17.85	54.93	9.99	22.57	12.02	5.03	57.85	8.99	42.07	82.88	3.31	58.86	46.96	52.43	14.00	11.13	53.89	31.10	2.62
BRD-K96527333	CP	dehydroisoandosterone	GABA receptor modulator			3.08, 0.38	23.78	0.83, 0.22	12.30	-32.59	55.81	6.03	25.65	45.67	23.78	87.85	10.31	6.99	91.57	12.54	-14.13	1.20	-27.19	-1.02	37.48	18.13	91.42	57.07	74.69	65.04	8.43	94.12	14.06	28.35	9.99	55.71	60.88
BRD-K11107424	CP	tiotidine	histamine receptor antagonist	HRH2		5.00, 2.31	23.77	0.97, 0.36	6.89	-7.85	23.77	5.53	12.06	-20.57	6.52	83.72	8.80	7.43	7.82	7.53	1.30	0.63	74.92	1.80	44.56	27.11	67.14	92.79	60.97	68.68	29.65	37.46	4.67	67.06	39.60	86.46	98.51
BRD-K80348542	CP	cephaeline	protein synthesis inhibitor	RPS2	Protein synthesis inhibitor	5.15, 2.15	23.76	3.33, 0.78	10.61	46.17	23.76	95.60	46.68	35.68	3.03	27.32	7.24	14.71	4.28	39.23	96.90	0.00	36.18	99.61	34.46	25.96	10.96	16.14	24.27	52.83	10.29	-0.42	1.27	16.28	0.92	24.17	15.52
BRD-K19525698	CP	ozagrel	thromboxane synthase inhibitor, platelet aggregation inhibitor, selective thromboxane synthetase inhibitor	TBXAS1		5.38, 3.08	23.75	1.06, 0.34	93.81	9.87	-2.15	1.27	4.55	23.75	90.17	88.18	-0.78	69.02	92.28	19.11	-0.07	3.23	65.08	3.52	42.65	15.95	96.91	62.40	8.25	51.77	10.16	93.32	67.12	89.45	12.74	94.63	13.50
BRD-K21350491	CP	phenamil	acid sensing ion channel blocker, Sodium Channel  Blockers, TRPP3 channel inhibitor, TRPV modulator	PKD2L1		3.67, 1.63	23.67	0.80, 0.23	54.80	34.82	20.05	18.31	27.78	93.22	12.61	15.30	6.35	37.53	15.35	44.39	39.79	-7.11	36.51	57.63	36.14	17.74	24.98	16.10	-19.14	21.32	12.00	-1.30	23.67	79.31	56.72	13.00	37.86
BRD-K28470988	CP	L-690330	inositol monophophatase inhibitor	IMPA1		2.69, 1.54	23.66	1.70, 0.78	14.66	10.47	69.69	24.39	-22.13	99.93	18.74	31.22	23.66	4.90	2.79	61.69	-13.11	29.10	31.47	2.22	57.22	5.70	8.80	63.72	12.71	51.32	7.21	0.00	9.19	43.99	44.15	34.13	76.96
BRD-A24543851	CP	nornicotine	acetylcholine receptor agonist			2.67, 2.22	23.62	0.83, 0.20	23.04	-2.81	9.19	49.50	34.62	85.85	1.34	-53.24	6.66	3.21	33.39	87.76	-11.21	-24.32	73.88	34.42	89.56	34.95	4.51	41.33	64.85	60.99	20.63	0.00	-3.53	-7.85	50.88	82.60	23.62
BRD-K66206289	CP	lobeline	acetylcholine receptor antagonist, dopamine receptor modulator, opioid receptor antagonist, vesicular monoamine transporter ligand	SLC18A2, CHRNA10, CHRNA4, CHRNA9, CHRNB2, OPRM1		5.33, 2.22	23.58	0.76, 0.28	15.28	-3.97	8.46	8.76	21.07	15.36	88.86	83.66	12.52	25.17	92.04	88.63	0.00	3.82	97.15	-3.62	92.49	0.06	69.22	23.58	-70.86	11.76	57.13	1.20	42.06	88.09	44.67	58.75	28.57
BRD-A45543382	CP	metrizamide	iodine contrast agent			3.27, 2.04	23.53	0.84, 0.24	41.39	-11.16	7.51	7.95	23.53	49.18	-9.07	33.66	73.88	55.15	55.30	17.47	3.84	7.46	97.71	2.50	22.60	17.79	84.54	43.32	17.63	73.17	25.57	96.60	41.93	11.66	9.16	12.30	52.31
BRD-K92301463	CP	16,16-dimethylprostaglandin-e2	15-hydroxyprostaglandin dehydrogenase inhibitor, unidentified pharmacological activity	HPGD		3.08, 1.15	23.50	1.40, 0.40	97.19	36.58	19.04	12.23	18.70	99.55	22.07	48.71	59.83	7.77	5.20	45.63	30.51	35.28	14.08	43.57	36.93	14.93	21.13	28.09	18.72	13.12	15.66	1.99	9.87	36.19	71.25	23.50	69.30
BRD-K30677119	CP	PP-30	RAF inhibitor	RAF1		2.69, 0.77	23.49	1.25, 0.48	9.36	51.55	39.32	94.32	23.00	52.28	7.80	23.49	8.94	21.46	14.47	48.36	2.85	24.30	67.02	91.13	42.89	33.18	14.94	30.86	53.82	11.77	23.39	-1.76	13.87	26.35	16.13	21.55	71.11
BRD-K67445247	CP	flurofamide	bacterial urease inhibitor			3.08, 1.92	23.42	1.14, 0.33	18.27	17.60	3.16	25.12	36.41	0.03	21.67	54.80	30.84	20.96	-30.93	24.68	-2.82	0.85	81.27	-12.22	38.43	0.60	23.42	78.49	22.50	45.80	55.03	13.75	63.71	22.70	59.14	86.24	44.19
