#1.3
2429	14	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K73196317-summary	BRD-K45158365-summary	BRD-K81418486-summary	BRD-K56343971-summary	BRD-K72093121-summary	BRD-A09533288-summary	BRD-K40227168-summary	BRD-K29582115-summary	BRD-A24514565-summary	BRD-A56359832-summary	BRD-K41260949-summary	BRD-K71289571-summary	BRD-K53318339-summary	BRD-K13926615-summary
BRD-K68558722	CP	deracoxib	cyclooxygenase inhibitor	PTGS2		5.56, 1.59	27.69	0.60, 0.18	58.24	15.47	5.69	83.95	37.75	28.72	77.71	88.88	18.83	13.64	-14.03	11.35	62.90	26.67
BRD-K70281171	CP	U-99194	dopamine receptor antagonist	DRD3		3.97, 1.59	27.68	1.11, 0.27	31.09	49.96	3.13	76.64	20.43	24.27	76.06	48.79	16.38	96.93	-55.83	72.46	4.23	9.31
BRD-K32318651	CP	acyclovir	DNA polymerase inhibitor, DNA directed DNA polymerase inhibitor	PNP		4.76, 1.59	27.68	1.99, 0.50	82.11	28.23	0.00	65.64	65.67	24.40	17.73	74.80	27.12	20.56	10.17	77.68	-12.05	61.54
BRD-A50157456	CP	terbutaline	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	4.13, 2.48	27.52	1.10, 0.42	14.14	29.95	0.00	25.09	87.33	88.12	99.54	-21.00	79.46	64.01	-22.75	4.42	76.74	18.30
BRD-K17140735	CP	SCH-79797	proteinase activated receptor antagonist	F2R		1.77, 0.88	27.52	3.38, 0.63	18.60	47.06	95.60	63.20	45.89	5.69	53.49	18.85	12.10	36.19	-47.65	5.80	9.05	48.45
BRD-A67862938	CP	naftidrofuryl	adrenergic receptor antagonist			4.76, 1.59	27.47	1.30, 0.57	20.65	97.18	17.17	18.54	6.10	92.40	57.76	18.39	96.64	48.59	34.29	13.33	50.14	16.91
BRD-U66370498	CP	androstanol	constitutive androstane receptor (CAR) inhibitor	NR1I3		6.35, 1.59	27.46	0.99, 0.40	24.47	51.06	-0.70	4.40	96.83	19.89	60.78	85.46	46.75	12.05	-59.26	91.47	30.45	7.15
BRD-K03109492	CP	NSC-663284	CDC inhibitor	CDC25A, CDC25B, CDC25C		3.97, 1.59	27.39	1.94, 0.48	20.55	25.08	98.56	96.58	96.65	-52.74	88.71	70.37	7.82	40.28	-21.99	22.56	8.60	29.70
BRD-A73605923	CP	mocimycin	protein synthesis inhibitor			4.76, 0.79	27.36	0.90, 0.30	9.54	59.59	1.76	8.17	26.78	19.85	-4.34	31.03	95.56	20.63	72.26	94.12	61.70	27.93
BRD-K73824630	CP	skatole	thrombin inhibitor	F2		3.17, 0.79	27.34	0.92, 0.19	5.88	58.82	17.51	0.00	62.17	24.25	31.75	-5.14	48.20	78.33	30.43	-4.43	73.08	8.71
BRD-A09062839	CP	amylocaine	local anesthetic			2.48, 0.83	27.28	1.07, 0.43	17.65	18.95	35.42	23.65	22.27	34.43	42.70	80.75	80.87	23.13	80.84	30.92	7.01	4.92
BRD-K08924299	CP	palonosetron	serotonin receptor antagonist	HTR3A		5.56, 2.38	27.28	1.28, 0.34	39.10	13.04	-15.55	3.11	83.37	62.96	5.45	72.27	55.66	15.47	4.16	13.22	51.27	82.30
BRD-K17868609	CP	BRL-54443	serotonin receptor agonist	HTR1E, HTR1F		2.38, 1.59	27.20	0.97, 0.26	-31.08	35.62	-30.57	15.69	56.97	-10.66	24.21	77.19	41.36	30.20	85.23	24.03	22.13	70.46
BRD-K95921201	CP	reserpine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		3.17, 2.38	27.19	1.59, 0.30	14.24	48.70	95.79	89.78	23.76	45.01	81.55	21.93	35.49	-0.02	-38.51	18.05	30.63	10.44
BRD-A01295252	CP	trans-7-hydroxy-pipat	dopamine receptor ligand			1.59, 1.59	27.14	0.77, 0.33	37.32	31.15	-2.24	59.88	5.46	52.76	23.14	-32.60	14.29	22.24	32.08	67.07	67.09	9.39
BRD-K51575138	CP	TPCA-1	IKK inhibitor	IKBKB	IKK inhibitor	6.35, 4.76	27.10	1.81, 0.59	26.61	48.23	59.96	99.93	22.92	43.43	93.50	8.03	-6.31	19.72	20.28	20.49	27.58	36.97
BRD-K68873215	CP	phosphodiesterase-V-inhibitor-II	phosphodiesterase inhibitor	PDE5A		3.17, 1.59	27.06	0.68, 0.23	24.22	4.13	31.47	19.65	71.01	25.67	12.00	71.42	43.41	21.08	28.45	34.64	-2.57	32.85
BRD-K67013324	CP	luzindole	melatonin receptor antagonist	MTNR1B, MTNR1A		4.76, 1.59	27.05	1.06, 0.34	18.62	5.40	0.42	-4.45	92.42	91.49	11.44	96.78	42.42	-6.10	25.21	52.63	93.52	28.89
BRD-K68191783	CP	ALW-II-38-3	ephrin inhibitor	DDR1, EPHA2, EPHA4, EPHB2, EPHB4, EPHB6		4.76, 2.38	27.04	1.26, 0.52	10.57	9.05	-0.39	94.26	8.41	99.37	70.69	39.84	95.57	14.31	26.04	28.03	69.92	19.72
BRD-A15914070	CP	4-hydroxy-2-nonenal	cytotoxic lipid peroxidation product	IKBKB		1.33, 0.00	27.03	1.76, 0.58	41.68	8.37	42.59	0.42	42.78	54.17	53.08	74.33	12.37	10.20	0.25	5.21	5.07	43.63
BRD-A42628519	CP	iopanoic-acid	radiopaque medium			5.56, 1.59	26.97	1.26, 0.73	24.98	28.16	4.26	25.77	33.79	73.53	69.68	-31.19	41.60	11.60	-31.10	60.67	87.85	12.47
BRD-K84266862	CP	BRL-50481	phosphodiesterase inhibitor	PDE7A, PDE7B		2.38, 0.79	26.94	0.89, 0.26	34.70	54.08	-60.60	8.86	-13.27	10.98	19.18	88.29	-6.94	73.50	49.30	14.76	67.57	45.81
BRD-A36471396	CP	biperiden	anticholinergic	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2		7.14, 4.76	26.93	0.88, 0.26	-5.29	98.77	1.06	28.06	6.80	53.25	7.44	99.19	-18.08	-15.79	93.00	83.96	45.21	25.80
BRD-A33833419	CP	TER-14687	inhibitor of translocation of PKCq in T cells	PRKCQ		1.59, 0.79	26.92	1.09, 0.28	22.57	12.48	53.07	22.79	31.05	31.23	82.60	35.22	49.72	21.40	46.75	19.82	3.03	4.69
BRD-K69932463	CP	AZD-8055	mTOR inhibitor	MTOR	MTOR inhibitor	3.97, 3.17	26.88	2.34, 0.75	19.32	16.08	71.48	98.45	27.17	44.12	90.04	12.24	21.90	26.58	-27.23	45.12	33.01	8.93
BRD-A39522003	CP	OMDM-2	FAAH reuptake inhibitor	GPR119		3.17, 0.79	26.86	1.06, 0.41	19.43	89.64	0.39	77.46	18.81	92.74	15.59	26.98	21.42	25.12	26.74	29.91	42.76	35.14
BRD-A68281735	CP	REV-5901	leukotriene receptor antagonist, lipoxygenase inhibitor	ALOX5		1.59, 0.00	26.85	0.92, 0.35	31.37	13.22	3.35	9.27	62.36	53.55	74.98	75.25	22.33	14.25	-15.37	38.50	57.15	21.52
BRD-K98684188	CP	GSK-0660	PPAR receptor inhibitor	PPARD		4.76, 3.97	26.79	1.11, 0.32	18.54	14.47	3.30	18.68	45.76	33.58	15.07	98.38	57.25	19.99	43.18	69.76	45.22	4.32
BRD-K63195589	CP	tipifarnib	farnesyltransferase inhibitor, angiogenesis inhibitor, apoptosis stimulant	FNTA, FNTB		3.17, 0.00	26.76	0.66, 0.16	9.33	17.92	0.85	71.43	-5.07	38.63	41.29	32.92	56.22	20.61	96.06	16.37	14.05	56.04
BRD-K51730347	CP	diphencyprone	immunostimulant			6.31, 0.90	26.73	1.84, 0.66	5.43	27.78	96.65	-74.71	97.39	88.48	78.44	-11.25	88.85	16.07	-15.01	68.23	25.68	19.07
BRD-A55393291	CP	testosterone	androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist	AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5	Androgen receptor modulator	3.97, 2.38	26.70	0.84, 0.31	16.67	69.18	5.16	10.43	15.11	48.75	42.63	79.84	9.05	37.73	13.12	16.84	57.95	36.57
BRD-K26664453	CP	cytochalasin-b	microtubule inhibitor, phagocytosis inhibitor	ACTB		4.76, 2.38	26.65	2.51, 0.58	21.94	36.68	51.07	98.70	10.00	33.97	48.02	30.10	6.59	41.87	-23.28	14.21	-10.87	23.19
BRD-K78278890	CP	NM-PP1	calcium/calmodulin dependent protein kinase inhibitor, growth factor receptor inhibitor, MAP kinase inhibitor, mutant kinase inhibitor	CAMK2A, LCK, MAPK8, PRKACA, RIPK2, SRC		3.97, 1.59	26.55	1.14, 0.35	19.44	2.59	21.71	94.69	45.82	3.28	14.00	31.40	33.86	12.62	45.31	10.77	35.69	48.78
BRD-K08219523	CP	5-nonyloxytryptamine	serotonin receptor agonist	HTR1B, HTR1D		1.59, 0.79	26.55	1.58, 0.38	21.60	5.97	95.07	92.05	19.97	83.62	39.90	5.00	97.63	17.53	-13.16	79.62	31.50	11.31
BRD-A52650764	CP	ingenol	PKC activator	PRKCD, PRKCE	PKC activator	1.59, 0.00	26.53	3.22, 0.82	29.89	7.84	45.53	-41.09	25.08	36.97	80.11	31.61	21.31	19.99	-46.15	35.97	27.99	24.80
BRD-K80725821	CP	RS-16566	(R)-zacopride ligand			6.35, 3.17	26.53	1.03, 0.33	20.59	3.17	-26.51	-6.30	16.71	49.29	43.83	98.56	5.50	32.47	57.53	9.27	56.00	47.26
BRD-K99595596	CP	salsolinol	monoamine oxidase inhibitor, tyrosine hydroxylase inhibitor	DRD2		5.56, 2.38	26.51	1.18, 0.36	92.96	12.95	3.01	15.51	35.92	12.71	49.16	97.12	43.72	33.45	98.64	19.57	17.01	2.96
BRD-K13049116	CP	BMS-754807	insulin growth factor receptor inhibitor	IGF1R, AKT1	IGF-1 inhibitor	6.35, 4.76	26.51	2.85, 0.90	25.82	4.44	36.55	99.40	10.32	16.93	98.82	16.93	-11.95	27.19	-25.75	31.93	28.98	57.58
BRD-A15493168	CP	tetracycline	30S ribosomal protein inhibitor, 30S ribosomal subunit inhibitor, protein arginine deiminase inhibitor	PRNP	Bacterial 30S ribosomal subunit inhibitor	4.96, 2.48	26.49	2.18, 0.53	65.55	3.21	-1.52	-6.87	98.60	31.32	54.42	90.46	-43.95	80.03	-33.32	-20.07	77.50	21.67
BRD-K90382497	CP	GW-843682X	PLK inhibitor	PLK1, PLK3		2.38, 1.59	26.47	0.77, 0.28	4.86	19.73	2.47	-12.19	10.15	52.64	91.70	78.52	85.58	25.00	79.51	31.96	5.87	27.93
BRD-K13087974	CP	4,5-dianilinophthalimide	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR	EGFR inhibitor	10.32, 3.17	26.44	0.84, 0.35	34.99	9.63	3.24	96.90	96.83	8.91	90.59	96.85	3.87	17.89	-13.72	83.50	-10.64	52.17
BRD-K43330982	CP	JTE-013	lysophospholipid receptor antagonist	S1PR2, P2RY10		7.94, 6.35	26.38	0.72, 0.19	52.61	30.99	2.35	94.79	80.10	8.96	19.18	-74.12	61.01	13.57	-10.97	62.28	93.71	21.77
BRD-K47598052	CP	PP-1	src inhibitor, Abl kinase inhibitor	HCK, RET, SRC	SRC inhibitor	5.56, 5.56	26.37	1.75, 0.64	35.95	24.12	60.71	99.58	64.85	81.71	-31.43	34.66	-12.73	11.66	24.70	17.35	-17.22	28.04
BRD-K09436313	CP	prostaglandin	prostanoid receptor antagonist	AKR1C3, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER4, PTGFR		8.73, 7.14	26.36	1.19, 0.49	-4.65	1.06	-0.76	-58.41	41.77	44.30	19.63	99.75	99.08	20.56	91.38	86.00	-11.41	32.15
BRD-A94709349	CP	metaxalone	muscle relaxant			6.35, 3.17	26.29	0.88, 0.30	60.03	98.91	0.81	4.68	70.11	14.43	6.63	89.60	10.10	16.58	-85.52	83.40	35.99	66.93
BRD-K08502430	CP	angiogenesis-inhibitor	angiogenesis inhibitor	EGFR		6.35, 4.76	26.25	1.67, 0.48	47.09	6.11	31.52	97.99	98.80	3.07	78.95	-6.55	14.22	20.98	-81.43	55.91	8.41	57.45
BRD-K92492521	CP	LY-255283	leukotriene receptor antagonist	LTB4R, LTB4R2		3.97, 3.17	26.22	1.02, 0.32	24.48	27.59	0.00	6.61	24.84	15.35	87.85	14.39	32.04	7.35	94.84	69.25	87.75	45.90
BRD-K67445247	CP	flurofamide	bacterial urease inhibitor			0.79, 0.79	26.21	1.14, 0.33	28.52	5.53	2.18	25.95	73.73	14.28	-8.54	54.23	-18.16	26.98	29.87	56.01	26.47	21.14
BRD-K02590140	CP	O-2050	cannabinoid receptor antagonist	CNR1		1.59, 0.79	26.20	1.14, 0.42	12.51	25.90	14.57	92.25	10.84	24.48	6.07	46.02	75.64	89.85	21.46	26.51	30.31	77.21
BRD-K32836707	CP	CAY-10577	casein kinase inhibitor			2.38, 0.79	26.17	1.09, 0.41	53.21	23.94	1.44	28.40	95.57	45.00	53.92	75.06	9.25	15.58	-18.64	86.05	-36.27	0.92
BRD-K15842202	CP	eudesmic-acid	in touchstone			9.23, 3.08	26.14	1.62, 0.36	55.89	29.70	21.44	95.91	22.57	40.40	81.98	99.09	-64.47	15.20	-15.11	77.22	-41.17	4.53
BRD-K84639753	CP	safinamide	dopamine reuptake inhibitor, glutamate release inhibitor, monoamine oxidase inhibitor, calcium channel antagonist, calcium channel modulator, Sodium Channel  Blockers, sodium channel blocker	MAOB, SLC6A3		3.97, 1.59	26.12	1.69, 0.50	13.74	62.86	-86.68	4.30	34.69	51.51	-70.50	91.76	86.66	-0.03	17.55	49.36	79.47	5.92
BRD-K24201553	CP	SB-269970	serotonin receptor antagonist	HTR7		0.00, 0.00	26.08	0.86, 0.31	31.43	35.46	0.00	12.69	49.26	17.39	30.11	68.74	22.05	40.26	11.06	9.27	-85.47	46.73
BRD-A29082194	CP	gitoxigenin	ATPase inhibitor	ATP1A1	ATPase inhibitor	3.17, 0.79	26.06	0.82, 0.30	74.31	60.09	11.93	8.17	51.42	27.82	82.88	94.38	22.13	5.03	24.29	85.71	23.61	12.39
BRD-U25771771	CP	WZ-4-145	EGFR inhibitor	CSF1R, DDR1, EGFR, PDGFRA, TIE1	EGFR inhibitor	3.17, 1.59	26.01	1.70, 0.58	4.12	18.72	95.60	97.99	43.36	10.81	52.70	37.80	12.40	33.29	-4.66	71.34	-24.22	15.14
BRD-K11853856	CP	PJ-34	PARP inhibitor	EEF2, PARP1, PARP15, PARP3	PARP inhibitor	4.76, 2.38	25.95	0.83, 0.23	61.71	26.00	9.85	11.38	25.90	7.94	64.40	98.87	47.99	23.57	88.35	16.72	-57.16	69.73
BRD-K38449220	CP	seneciphylline	cytochrome P450 inhibitor			3.97, 1.59	25.93	0.83, 0.28	4.69	31.83	-0.78	-14.09	16.70	19.23	18.38	60.88	41.79	20.03	53.40	36.25	79.52	43.86
BRD-K51290057	CP	SA-792709	retinoid receptor agonist	RARA, RARB		0.00, 0.00	25.93	1.50, 0.55	11.56	3.28	91.97	92.73	41.89	3.77	52.70	15.85	28.78	23.08	13.48	75.58	30.83	3.46
BRD-K98521173	CP	desoxycortone	mineralocorticoid receptor agonist	NR3C1, NR3C2		3.97, 0.79	25.93	1.17, 0.31	-82.28	52.65	-64.68	5.04	66.61	19.19	21.80	8.91	60.13	43.51	30.06	-41.14	44.30	76.08
BRD-A82590476	CP	SDZ-NKT-343	tachykinin antagonist	TACR1	Tachykinin antagonist	1.59, 0.79	25.92	0.82, 0.22	27.32	40.71	12.47	49.01	25.37	15.09	8.97	87.03	26.47	-0.04	-34.25	63.96	42.05	1.80
BRD-K59469039	CP	AG-879	angiogenesis inhibitor, EGFR inhibitor, tyrosine kinase inhibitor, VEGFR inhibitor	ERBB2, KDR, NTRK1	EGFR inhibitor, VEGFR inhibitor	4.76, 3.17	25.91	2.11, 0.65	28.27	6.80	75.33	99.65	78.67	8.24	67.95	-13.13	11.19	23.56	-67.12	28.72	48.25	6.97
BRD-K36740062	CP	GSK-1070916	Aurora kinase inhibitor	AURKB, AURKC, AURKA, CYP2D6, CYP3A4	Aurora kinase inhibitor	5.56, 3.17	25.88	1.24, 0.53	13.58	30.62	97.60	97.08	0.00	14.94	87.63	5.88	-14.15	21.13	-31.64	55.67	44.09	51.11
BRD-K64157027	CP	ZD-2079	adrenergic receptor agonist, insulin sensitizer	ADRB3		4.76, 2.38	25.80	1.17, 0.34	76.59	4.46	-1.09	6.80	44.94	22.66	20.90	97.92	28.93	49.21	-35.62	47.90	-37.80	99.58
BRD-A79803969	CP	memantine	glutamate receptor antagonist, glutamate release inhibitor	GRIN1, CHRFAM7A, CYP2E1, DRD2, GRIN2A, GRIN2B, GRIN3A, HTR3A		2.48, 1.65	25.78	1.36, 0.72	-80.79	28.97	0.00	7.79	31.93	19.39	55.08	-43.33	27.60	61.99	36.49	23.95	5.78	34.92
BRD-A90311807	CP	cilastatin	dehydropeptidase inhibitor	DPEP1		4.76, 1.59	25.75	0.95, 0.34	9.40	32.33	-26.94	4.12	75.21	99.10	-57.92	31.97	30.49	9.85	21.01	84.63	14.32	61.34
BRD-U37049823	CP	HG-6-64-01	RAF inhibitor, Abl kinase inhibitor, ephrin receptor inhibitor, KIT inhibitor, MAP kinase inhibitor, MEK inhibitor, p38 MAPK inhibitor, src inhibitor	ABL1, BRAF, CSF1R, EGFR, FGFR1, FLT3, KIT, MAPK11, PDGFRB, RET	PDGFR/KIT inhibitor, RAF inhibitor	7.14, 2.38	25.73	1.82, 0.35	22.30	63.00	95.07	98.94	16.69	6.25	72.23	29.16	18.89	40.17	-85.48	42.78	22.24	19.43
BRD-K18799075	CP	BAY-59-3074	cannabinoid receptor partial agonist	CNR1, CNR2	Cannabinoid receptor agonist	3.97, 1.59	25.72	0.63, 0.17	37.07	19.15	-0.85	5.43	49.22	45.38	65.27	24.80	74.57	11.72	26.65	16.00	21.67	67.74
BRD-K51941867	CP	LM-1685	cyclooxygenase inhibitor	PTGS2		1.65, 0.83	25.72	0.82, 0.22	21.50	33.33	0.00	4.76	91.72	47.29	0.74	54.25	18.30	12.43	39.65	54.13	23.94	27.50
BRD-A20126139	CP	medrysone	corticosteroid hormone receptor agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	2.38, 0.79	25.68	1.15, 0.48	13.49	68.77	11.38	56.61	10.79	6.45	56.09	-44.74	37.86	96.26	-15.44	60.62	-7.69	49.57
BRD-A39268308	CP	epibatidine	acetylcholine receptor agonist	CHRFAM7A, CHRNA2, CHRNA3, CHRNA4, CHRNA7		6.61, 4.96	25.66	1.85, 0.45	29.77	10.09	1.55	26.61	21.56	67.81	81.26	70.81	98.87	23.88	96.78	11.62	-50.14	24.72
BRD-K22009844	CP	phenprobamate	skeletal muscle relaxant			5.41, 1.80	25.64	0.67, 0.23	8.84	22.62	-4.12	28.66	39.78	90.97	17.41	60.07	38.39	22.34	16.50	17.00	61.34	44.68
BRD-K89687904	CP	PKCbeta-inhibitor	PKC inhibitor	PRKCB		7.94, 1.59	25.59	0.83, 0.27	13.04	70.32	1.52	18.09	27.57	95.99	53.81	-4.67	52.95	-11.97	95.44	52.28	23.60	3.21
BRD-K67868012	CP	PI-103	PI3K inhibitor, mTOR inhibitor	PIK3CA, PIK3CG, MTOR, PIK3CB, PIK3CD, PRKDC	MTOR inhibitor, PI3K inhibitor	3.97, 1.59	25.51	1.93, 0.66	26.83	18.94	49.39	97.36	11.75	94.62	65.35	60.62	24.19	22.58	-49.19	-71.41	27.07	24.18
BRD-A55594068	CP	vinblastine	microtubule formation inhibitor, tubulin inhibitor, tubulin polymerisation inhibitor	TUBB, JUN, TUBA1A, TUBD1, TUBE1, TUBG1	Tubulin inhibitor	3.17, 1.59	25.48	1.43, 0.39	19.22	21.57	37.70	7.79	6.03	12.15	94.06	32.97	27.46	23.50	32.67	47.55	21.76	30.02
BRD-A27489425	CP	rolitetracycline	antibiotic			5.56, 3.17	25.40	1.91, 0.49	93.48	13.04	4.09	42.76	33.33	19.73	0.81	98.62	0.03	97.41	29.34	21.46	3.31	98.20
BRD-K69328504	CP	L-690488	nositol monophosphatase inhibitor	IMPA1		3.97, 3.17	25.39	1.00, 0.20	17.31	10.45	89.83	99.37	77.05	-9.33	51.47	36.71	6.93	69.81	21.59	3.49	-9.49	29.18
BRD-K04923131	CP	GSK-3-inhibitor-IX	glycogen synthase kinase inhibitor, lipoxygenase inhibitor, PKC inhibitor	ALOX5, GSK3A, GSK3B	Glycogen synthase kinase inhibitor, PKC inhibitor	4.76, 3.17	25.33	1.55, 0.44	20.54	22.33	0.60	99.40	49.88	2.71	49.27	62.86	35.68	-11.43	-26.26	60.93	0.00	28.33
BRD-K82941592	CP	rosuvastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	0.79, 0.79	25.32	0.58, 0.19	27.37	23.26	43.03	87.76	11.64	21.19	55.02	-21.59	12.19	21.97	9.89	61.40	56.16	87.52
BRD-A74904029	CP	EI-231	casein kinase inhibitor	CSNK2A1, CSNK2A2, CSNK2B		4.76, 3.17	25.27	1.39, 0.43	33.22	10.74	10.69	37.82	17.36	7.66	21.15	99.47	0.02	12.89	75.43	30.69	35.76	29.40
BRD-K00337317	CP	NU-7441	DNA dependent protein kinase, DNA dependent protein kinase inhibitor, P glycoprotein inhibitor	PRKDC, ABCB1	DNA dependent protein kinase inhibitor	6.35, 3.97	25.27	1.41, 0.63	31.63	25.31	98.87	80.31	33.62	11.03	21.87	14.83	33.56	67.60	-24.32	16.71	22.02	25.23
BRD-K74501079	CP	azithromycin	50S ribosomal subunit inhibitor, protein synthesis inhibitor	MLNR		1.59, 0.79	25.27	1.00, 0.33	55.97	20.21	1.80	3.46	14.50	5.21	46.38	75.64	23.39	0.70	77.22	27.15	49.58	68.93
BRD-K34508425	CP	KUC103898N	G protein coupled receptor			7.94, 5.56	25.23	1.42, 0.42	7.40	30.78	7.81	-18.41	0.00	19.67	78.81	54.13	95.54	-22.85	16.55	41.36	67.70	91.69
BRD-K53959060	CP	indirubin	CDK inhibitor, glycogen synthase kinase inhibitor, cyclin-dependent kinase inhibitor, PKC inhibitor	CDK1, CDK5, CCNE1, CDK2, CDK4, CDK5R1, CDK9, GSK3A, GSK3B, LCK, LRRK1, LRRK2	Glycogen synthase kinase inhibitor	5.79, 4.13	25.22	1.80, 0.53	16.06	14.86	30.62	98.98	94.91	50.63	92.38	-8.60	78.96	12.32	-81.45	23.52	26.92	8.77
BRD-K56614220	CP	clofazimine	GK0582 inhibitor			5.41, 1.80	25.19	0.64, 0.17	23.24	27.15	4.06	62.25	8.14	71.76	0.85	69.96	46.74	12.90	7.48	44.30	57.46	7.93
BRD-K38477985	CP	malonoben	protein tyrosine kinase inhibitor, tyrosine kinase inhibitor	EGFR		2.38, 1.59	25.13	1.84, 0.60	3.63	21.60	97.64	93.31	53.14	5.62	63.18	28.66	13.47	4.26	-69.01	66.78	21.40	38.75
BRD-K31238592	CP	devazepide	CCK receptor antagonist, gastrin inhibitor	CCKAR, CCKBR, GAST	CCK receptor antagonist	7.94, 2.38	25.11	1.43, 0.45	2.43	26.67	96.03	-47.28	7.10	-3.99	91.20	26.22	29.94	76.09	24.01	12.89	5.95	69.62
BRD-K01555864	CP	dibenzoylmethane	tumorigenesis inhibitor			4.13, 2.48	25.11	0.65, 0.11	16.42	17.59	1.64	10.65	7.53	38.87	90.60	20.46	58.48	29.76	84.61	41.02	33.55	4.31
BRD-M16762496	CP	PIK-75	DNA protein kinase inhibitor, P110 inhibitor, Phosphatidylinositol 3-kinase (PI3K) inhibitor, PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC	PI3K inhibitor	6.35, 0.79	25.08	1.86, 0.69	96.26	23.98	91.49	87.78	16.96	5.18	23.31	26.18	-17.66	12.06	31.06	27.70	52.37	8.18
BRD-K05181463	CP	L-741626	dopamine receptor, dopamine receptor antagonist	DRD2, DRD3, DRD4, HTR2A, HTR2B	Dopamine receptor antagonist	1.59, 0.79	25.07	1.27, 0.42	17.66	25.83	39.48	8.50	47.06	66.63	25.30	73.77	-15.94	12.90	24.84	6.41	-4.01	36.37
BRD-K81418486	CP	vorinostat	HDAC inhibitor, cell cycle inhibitor	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11, HDAC5, HDAC9	HDAC inhibitor	9.52, 7.14	25.06	1.66, 0.57	54.20	11.53	99.61	20.86	60.29	16.86	68.03	34.17	11.70	19.73	-17.60	64.86	15.10	29.26
BRD-K18518344	CP	digitoxigenin	ATPase inhibitor	ATP1A1	ATPase inhibitor	0.83, 0.00	25.04	2.61, 0.56	23.58	26.50	94.69	-89.35	38.66	9.64	61.35	68.72	17.07	12.30	-20.27	73.45	3.84	37.44
BRD-K07881437	CP	danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, FGFR inhibitor, mitotic inhibitor, protein kinase inhibitor, RET tyrosine kinase inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, BCR, SLK	Aurora kinase inhibitor	3.97, 2.38	24.96	2.02, 0.48	88.38	9.89	75.56	3.63	18.80	9.60	82.71	31.13	15.83	40.38	39.64	4.05	8.63	83.01
BRD-K54095730	CP	CMPD-1	p38 MAPK inhibitor	GNRHR, MAPK14		4.13, 2.48	24.95	2.41, 0.70	27.87	5.44	71.66	76.56	76.46	9.76	99.51	15.99	20.27	22.02	19.27	71.95	28.55	15.01
BRD-K64835161	CP	BRD-K64835161	CLK inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B inhibitor	CLK1, CLK4, DYRK1B		6.35, 3.97	24.94	1.14, 0.42	9.10	3.69	3.28	97.99	18.81	54.09	92.84	4.37	54.08	31.07	-16.29	12.86	52.44	54.90
BRD-K76907295	CP	VU-0418947-2	hypoxia inducible factor activator		HIF activator	4.42, 3.54	24.91	1.82, 0.63	32.56	50.85	98.75	97.89	91.56	17.25	97.80	15.71	34.19	7.60	-84.15	8.88	10.75	12.51
BRD-K57926513	CP	tyrphostin-AG-1295	FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor	FLT3, KDR, PDGFRA, PDGFRB		2.38, 0.79	24.88	1.66, 0.44	-51.89	17.78	-59.61	-19.88	38.60	66.96	5.04	31.76	85.47	12.28	61.36	40.26	30.98	18.78
BRD-K79930101	CP	GW-583340	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor, ErbB2 tyrosine kinase inhibitor, receptor tyrosine protein kinase inhibitor	EGFR, ERBB2		2.38, 2.38	24.88	0.94, 0.33	-10.12	30.95	0.49	45.58	64.82	14.62	18.80	81.00	44.09	16.88	49.46	8.88	82.56	11.14
BRD-K07507905	CP	BRL-37344	adrenergic receptor agonist	ADRB3, ADRB1, ADRB2		2.38, 0.00	24.86	0.76, 0.25	39.76	37.38	8.22	40.78	32.82	6.89	3.73	42.04	13.51	16.91	0.00	63.46	7.80	52.36
BRD-K40227168	CP	vinburnine	adrenergic receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4		9.92, 7.44	24.86	0.76, 0.22	25.65	18.81	1.48	1.94	-54.82	6.41	99.99	27.32	72.05	56.23	45.83	5.85	24.08	57.92
BRD-A29731977	CP	17-hydroxyprogesterone-caproate	progesterone receptor agonist	CYP1A2, CYP2B6, CYP3A5, PGR	Progesterone receptor agonist	0.79, 0.79	24.85	0.80, 0.18	13.05	20.21	0.35	15.53	26.56	80.69	23.15	50.64	28.98	-8.23	57.94	90.24	68.56	0.25
