#1.3
2429	21	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A51382177-summary	BRD-K76674262-summary	BRD-A15297126-summary	BRD-K77947974-summary	BRD-K05977355-summary	BRD-A09472452-summary	BRD-A17655518-summary	BRD-K34776109-summary	BRD-K28307902-summary	BRD-K64052750-summary	BRD-K80396088-summary	BRD-K22662435-summary	BRD-K55127134-summary	BRD-A22769835-summary	BRD-K15108141-summary	BRD-K12219985-summary	BRD-K47639036-summary	BRD-K11129031-summary	BRD-A49765801-summary	BRD-K36862742-summary	BRD-A31159102-summary
BRD-K46742498	CP	alosetron	serotonin receptor antagonist	HTR3A		2.45, 1.23	26.33	1.31, 0.35	24.99	8.51	26.33	0.32	-9.41	-7.71	98.78	1.41	12.19	29.15	38.55	70.81	44.13	83.67	10.39	88.54	3.75	11.61	29.71	93.24	97.15
BRD-K26657438	CP	imiquimod	interferon inducer, toll-like receptor agonist, immunostimulant	TLR7, TLR8		3.65, 0.00	26.29	1.31, 0.49	73.86	0.00	7.76	29.75	17.95	35.64	96.66	93.03	17.28	12.39	-1.90	57.49	1.59	71.19	-39.42	26.29	12.40	71.38	25.02	94.52	46.31
BRD-A99449986	CP	MT-21	adenine nucleotide translocase inhibitor, caspase activator, neurotrophic agent	CYCS, SLC25A4		3.65, 2.08	26.26	0.67, 0.20	87.23	8.66	28.68	22.53	26.26	40.76	21.01	91.37	18.46	9.81	92.74	91.76	22.14	15.16	15.51	52.06	49.95	18.36	11.61	39.74	54.60
BRD-K51805276	CP	temefos	cholinesterase inhibitor			4.69, 2.60	26.25	0.72, 0.23	42.93	11.32	26.25	12.37	93.48	26.60	35.28	68.70	3.14	8.95	12.69	20.69	9.61	30.66	-1.69	34.07	28.98	49.43	21.98	27.93	16.30
BRD-K99451608	CP	lopinavir	HIV protease inhibitor		HIV protease inhibitor	4.17, 3.13	26.23	1.15, 0.41	7.88	0.00	41.95	78.12	88.32	57.76	5.17	30.52	24.49	98.48	15.08	-2.91	53.76	20.70	12.06	6.69	62.77	26.23	88.75	43.13	0.11
BRD-K61269089	CP	daphnetin	protein kinase inhibitor			3.35, 3.35	26.21	1.07, 0.32	39.55	60.81	-21.69	4.71	8.95	25.31	26.21	52.22	35.50	25.44	23.86	80.60	13.48	83.53	5.08	37.30	61.02	81.63	2.78	-23.50	50.69
BRD-A24191444	CP	ifenprodil	adrenergic receptor antagonist, glutamate receptor antagonist	GRIN1, GRIN2B		3.07, 2.45	26.20	0.90, 0.16	63.17	18.12	11.99	-16.03	3.21	10.01	72.07	22.12	84.39	4.29	43.39	93.41	10.76	58.33	8.13	89.75	45.36	0.07	89.18	39.75	26.20
BRD-A87479750	CP	tenidap	cyclooxygenase inhibitor, lipoxygenase inhibitor, prostanoid receptor antagonist	ALOX5, KCNJ4, PTGS1		2.08, 1.04	26.18	0.78, 0.24	90.36	51.75	72.19	33.31	17.51	24.44	52.75	18.59	31.30	54.77	63.20	14.00	4.39	13.64	1.59	24.95	55.11	33.09	7.83	26.18	10.16
BRD-A96485169	CP	EBPC	aldose reductase inhibitor	AKR1B1		3.13, 2.60	26.16	0.77, 0.24	90.27	28.00	0.46	4.16	58.30	17.55	99.51	25.55	17.02	22.87	80.02	67.66	2.46	14.30	-5.99	29.50	28.53	89.12	-1.55	67.32	26.16
BRD-K17896185	CP	FIT	opioid receptor agonist	OPRD1		7.29, 4.17	26.16	1.44, 0.51	40.92	59.74	0.49	98.27	-25.62	2.50	-0.02	23.89	31.77	75.79	25.27	11.54	99.93	94.97	1.94	28.57	13.02	26.16	40.42	8.85	95.49
BRD-K74141488	CP	naftifine	squalene epoxidase inhibitor, steroid sulfatase inhibitor	SQLE		3.65, 1.04	26.15	0.83, 0.30	78.82	0.00	50.20	33.01	41.97	50.14	88.15	33.34	38.33	12.73	93.87	-2.82	10.86	10.05	0.81	13.55	26.15	38.98	5.98	2.84	3.30
BRD-K97509413	CP	coumestrol	AGE inhibitor, estrogen receptor agonist, estrogen receptor ligand	ESR1, ESR2	Estrogen receptor agonist	3.65, 1.56	26.14	1.31, 0.35	39.30	0.00	26.14	3.21	45.89	41.71	24.97	14.15	57.27	29.92	52.99	21.43	0.42	14.88	-0.42	20.66	7.26	79.32	31.44	37.34	89.24
BRD-K11927976	CP	ER-27319	mediator release inhibitor, syk inhibitor	SYK		4.69, 1.04	26.13	3.42, 1.16	34.65	0.00	26.13	33.58	84.99	-3.19	-1.06	93.41	7.62	63.12	38.30	41.43	12.55	11.24	0.60	94.94	14.69	0.78	35.56	19.87	79.33
BRD-U33728988	CP	QL-X-138	mTOR inhibitor	BTK, JAK3, MKNK2, MTOR, PRKDC	MTOR inhibitor	6.25, 5.21	26.12	1.47, 0.68	42.63	99.47	4.90	60.76	26.12	16.37	20.86	42.29	4.05	75.20	8.42	83.98	-0.14	24.38	83.34	37.00	24.07	5.25	50.90	44.86	9.45
BRD-K70881766	CP	solanine	acetylcholinesterase inhibitor			2.60, 1.56	26.11	0.63, 0.15	22.44	-14.07	71.74	10.13	31.65	41.58	61.54	13.50	6.96	62.33	56.12	18.61	0.07	41.66	-10.18	40.34	9.66	89.39	74.81	26.11	17.03
BRD-K78278890	CP	NM-PP1	calcium/calmodulin dependent protein kinase inhibitor, growth factor receptor inhibitor, MAP kinase inhibitor, mutant kinase inhibitor	CAMK2A, LCK, MAPK8, PRKACA, RIPK2, SRC		5.21, 4.17	26.06	1.14, 0.35	87.15	-81.67	79.43	54.65	9.46	23.04	56.41	26.06	67.29	4.18	15.35	18.79	15.15	10.56	35.66	9.07	72.82	13.24	58.24	88.01	83.50
BRD-K84266862	CP	BRL-50481	phosphodiesterase inhibitor	PDE7A, PDE7B		5.21, 1.56	26.03	0.89, 0.26	30.90	0.00	64.22	9.65	56.61	97.75	94.84	3.74	89.01	54.73	66.92	60.20	1.48	2.04	11.86	5.52	48.64	20.41	1.55	26.03	-31.82
BRD-A19633847	CP	perhexiline	carnitine palmitoyltransferase binder, carnitine palmitoyltransferase inhibitor	CPT1A, CPT2		6.25, 2.60	26.01	2.63, 0.72	38.67	94.39	26.01	94.34	9.83	59.47	23.73	12.96	5.18	91.84	9.38	36.76	99.05	83.32	40.92	20.20	8.35	25.05	23.99	3.13	97.14
BRD-K61314889	CP	IWR-1-ENDO	PARP inhibitor	TNKS, TNKS2	PARP inhibitor	3.13, 2.08	25.98	0.58, 0.15	31.95	-90.63	21.40	17.73	-12.26	11.43	72.79	9.93	28.22	40.13	76.75	35.55	1.06	79.60	2.22	26.02	23.62	61.83	60.67	25.98	13.56
BRD-A50675702	CP	fipronil	GABA gated chloride channel blocker, glutamate gated chloride channel blocker			3.13, 2.60	25.93	0.72, 0.19	6.82	25.93	14.84	8.17	54.41	63.64	79.09	51.67	16.63	74.07	42.26	19.33	3.46	56.82	13.27	56.83	32.77	22.05	16.31	9.24	37.58
BRD-A38749782	CP	fludrocortisone	glucocorticoid receptor agonist, mineralocorticoid receptor agonist	NR3C2, AR, NR3C1	Glucocorticoid receptor agonist	10.06, 7.82	25.89	1.64, 0.57	24.86	46.84	99.43	-83.57	71.55	-42.60	11.33	18.67	90.71	84.34	10.93	25.89	90.95	15.79	0.88	75.17	8.96	18.78	98.73	91.26	70.01
BRD-K75295174	CP	alisertib	Aurora kinase inhibitor, mitotic inhibitor, protein kinase inhibitor	AURKA	Aurora kinase inhibitor	2.31, 1.16	25.87	0.98, 0.51	29.02	90.67	1.55	32.94	23.17	2.15	38.07	2.61	11.08	30.24	6.49	38.17	1.09	40.82	99.01	25.87	30.86	0.35	53.40	10.11	19.83
BRD-A41555725	CP	chlortetracycline	protein synthesis inhibitor			4.47, 2.23	25.86	1.30, 0.49	35.73	-16.13	80.65	64.85	25.86	84.63	92.44	14.42	10.79	54.54	32.76	54.61	1.30	95.08	0.53	11.95	41.10	14.17	19.96	10.18	2.40
BRD-K10016611	CP	pyridine-2-aldoxime	acetylcholinesterase inhibitor	ACHE, BCHE		6.70, 5.03	25.86	1.45, 0.59	76.76	64.75	0.42	6.07	99.72	13.74	49.09	25.86	16.75	42.93	53.00	36.35	0.56	14.96	-0.81	5.99	70.59	17.90	72.61	64.42	-28.77
BRD-A00100033	CP	nifurtimox	DNA inhibitor			5.21, 1.56	25.83	0.97, 0.34	60.12	19.09	28.13	8.75	65.22	18.88	20.23	19.15	43.81	42.26	41.24	57.12	-0.07	56.14	0.58	93.35	25.83	16.27	95.02	8.84	2.08
BRD-A80574334	CP	oxalomalic-acid	isocitrate dehydrogenase inhibitor	ACO1, IDH1		5.21, 2.60	25.82	1.95, 0.58	34.06	8.85	50.66	2.85	82.93	7.43	4.74	25.82	35.28	21.16	21.33	17.64	21.89	69.73	-0.78	17.88	29.59	46.92	72.17	97.17	88.51
BRD-K63606607	CP	bufalin	ATPase inhibitor, chloride channel activator	ATP1A1	ATPase inhibitor	7.29, 7.29	25.76	2.18, 0.60	25.76	99.44	70.21	40.43	33.25	11.14	8.87	52.11	-1.34	0.21	17.81	7.88	2.85	19.02	99.19	55.66	39.57	-11.18	30.84	29.55	5.72
BRD-K14791739	CP	fluticasone	glucocorticoid receptor agonist	NR3C1, CYP3A5, CYP3A7, NR3C2, PGR, PLA2G4A	Glucocorticoid receptor agonist	10.42, 7.29	25.67	1.40, 0.78	14.79	13.31	99.40	-3.60	50.01	40.29	10.70	73.45	94.35	64.00	47.69	38.84	0.07	8.88	-1.26	0.00	25.67	27.41	98.70	4.44	-0.42
BRD-K50324045	CP	avrainvillamide-analog-6	nucleophosmin inhibitor	NPM1	Nucleophosmin inhibitor	1.73, 0.58	25.65	0.51, 0.22	83.25	49.38	13.04	47.50	14.73	7.89	37.41	62.03	25.65	14.12	32.31	61.51	13.22	6.24	30.81	44.09	17.05	19.82	51.02	20.81	18.02
BRD-K74430258	CP	1,2-dichlorobenzene	hepatotoxicant that induces oxidative stress and inflammatory response			3.65, 1.04	25.65	0.97, 0.27	44.24	-40.97	1.55	14.81	8.37	55.14	96.24	20.87	49.34	25.65	67.77	46.07	4.87	78.29	-35.28	14.30	36.35	54.67	26.69	6.76	-28.74
BRD-K30649484	CP	mafenide	carbonic anhydrase inhibitor, unidentified pharmacological activity	CA6, CA12, CA14, CA2, CA4, CA9		5.21, 3.13	25.64	1.82, 0.47	82.09	59.61	0.53	-1.80	25.64	3.45	91.95	56.53	34.23	18.86	13.39	25.52	71.44	13.56	-0.42	75.14	0.67	2.08	46.54	78.47	99.89
BRD-K63828191	CP	raloxifene	estrogen receptor antagonist, selective estrogen receptor modulator (SERM), ALK expression enhancer, cholesterol inhibitor, endoglin expression enhancer, estrogen receptor agonist	ESR1, ESR2, ACVRL1, ENG	Estrogen receptor antagonist	1.56, 0.52	25.61	0.43, 0.34	62.57	43.27	28.56	52.49	13.04	35.88	20.17	17.06	6.94	7.17	20.94	41.61	25.61	31.60	87.35	19.80	15.02	24.68	17.52	36.47	78.54
BRD-K05926469	CP	lenalidomide	angiogenesis inhibitor, cereblon inhibitor, tumor apoptosis inducer, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist	CRBN, TNF, CDH5, PTGS2, TNFSF11		3.65, 1.56	25.59	1.30, 0.36	20.00	-16.82	90.85	25.59	70.62	43.05	73.81	7.64	6.84	70.10	39.02	28.11	2.51	-9.68	2.26	-0.49	78.80	89.87	57.53	14.67	0.92
BRD-K04146668	CP	GW-441756	growth factor receptor inhibitor, leucine rich repeat kinase inhibitor	LRRK2, NTRK1		5.21, 2.60	25.54	1.23, 0.33	15.56	69.88	21.64	53.02	46.09	53.74	14.01	12.22	5.64	96.46	71.42	25.54	58.04	52.83	14.07	11.32	35.60	6.07	88.05	-13.54	8.10
BRD-A29437505	CP	RWJ-21757	toll-like receptor ligand	TLR7		4.69, 2.60	25.51	0.69, 0.20	57.08	14.66	25.51	4.65	80.33	17.27	65.49	79.26	1.30	36.58	84.49	19.59	3.96	16.06	3.79	5.57	90.18	73.69	80.35	25.58	5.59
BRD-A89434049	CP	sarmentogenin	ATPase inhibitor	ATP1A1	ATPase inhibitor	6.19, 5.15	25.51	2.40, 0.72	30.92	99.40	65.09	6.03	14.80	-14.44	19.02	92.31	0.03	21.05	34.76	20.13	3.49	27.53	97.99	86.28	86.03	25.51	11.59	42.92	16.21
BRD-K06817181	CP	BRD-K06817181	JAK inhibitor	JAK2		5.17, 1.72	25.44	1.34, 0.46	91.73	-9.17	90.33	95.70	-4.83	67.69	76.74	0.00	41.58	25.60	19.60	98.66	2.18	25.44	19.94	42.25	0.63	32.86	-56.22	8.14	8.12
BRD-A28318179	CP	aminomethyltransferase	nitric oxide synthase inhibitor	NOS2		6.25, 2.08	25.42	1.30, 0.47	39.52	-9.37	41.46	24.94	30.65	18.69	91.40	20.79	17.15	-26.16	79.24	12.47	2.64	79.34	-0.42	16.43	78.02	84.24	38.58	25.42	28.42
BRD-A43849199	CP	karakoline	phytotoxin			2.79, 2.79	25.35	1.60, 0.55	6.88	12.44	82.16	1.80	61.87	7.87	9.68	39.43	36.54	24.53	72.25	34.36	50.87	-10.02	5.60	77.82	3.44	3.49	25.35	97.53	62.70
BRD-K13356952	CP	methazolamide	carbonic anhydrase inhibitor, insulin sensitizer	CA1, CA2, CA4, CA7, CA12, CA14, INS		6.70, 3.91	25.30	1.56, 0.56	54.94	-1.07	22.10	33.11	49.42	99.89	27.04	19.42	8.58	56.69	79.09	98.12	1.69	25.30	0.53	3.00	89.50	77.67	14.79	7.65	-2.11
BRD-K32836707	CP	CAY-10577	casein kinase inhibitor			4.17, 2.60	25.30	1.09, 0.41	31.69	-8.26	26.57	11.05	12.13	59.68	25.30	75.15	11.30	79.73	15.63	21.80	2.04	17.73	95.22	4.97	36.42	32.26	67.95	-3.49	32.96
BRD-K73319509	CP	PF-04217903	c-Met inhibitor, hepatocyte growth factor receptor inhibitor	MET		3.65, 1.56	25.30	0.63, 0.16	64.63	13.30	21.12	2.29	67.04	-8.58	25.30	39.39	11.13	1.80	76.73	47.03	16.60	16.55	0.39	32.52	25.02	41.17	52.73	53.76	67.42
BRD-K62982419	CP	cilomilast	phosphodiesterase inhibitor, interleukin synthesis inhibitor, tumor necrosis factor production inhibitor	PDE4A, PDE4B, PDE4D, IL12A, IL12B, IL1B, PDE4C, TNF		5.73, 2.60	25.29	1.22, 0.35	38.29	81.70	80.67	10.57	40.06	21.93	75.65	98.68	17.76	2.82	50.68	33.34	25.14	9.26	-0.92	12.97	81.05	25.29	2.43	75.66	4.26
BRD-K84895041	CP	BMY-45778	IP1 prostacyclin receptor agonist	PTGIR		4.47, 2.23	25.27	1.58, 0.56	27.10	48.84	-5.85	8.07	6.69	83.81	62.75	6.87	36.72	32.94	-39.65	25.27	33.00	81.12	77.77	33.50	8.45	0.07	13.20	-4.33	4.69
BRD-K41337261	CP	ZM-306416	Src and Abl inhibitor, vascular endothelial growth factor receptor 1 (VEGFR1) inhibitor	FLT1, KDR, EGFR, FLT4	SRC inhibitor, VEGFR inhibitor	6.25, 3.13	25.23	0.83, 0.25	68.89	0.00	17.72	86.13	18.84	21.88	11.27	15.79	87.81	71.48	58.91	98.03	42.87	72.02	0.21	76.04	21.20	2.43	25.23	19.76	76.31
BRD-A83855350	CP	naltrexone	opioid receptor antagonist, opioid receptor ligand	OPRK1, OPRM1, OPRD1, SIGMAR1		7.82, 4.47	25.20	1.51, 0.63	69.67	20.08	95.42	-3.03	13.58	-10.74	67.32	28.51	7.82	-13.32	25.20	19.01	58.73	55.10	1.83	-3.45	27.37	99.79	46.26	95.31	7.62
BRD-K79877282	CP	PF-543	sphingosine kinase inhibitor	SPHK1		0.58, 0.00	25.20	0.60, 0.36	58.91	46.92	15.58	6.58	15.82	10.75	25.20	51.44	18.04	29.77	37.39	86.08	36.29	10.74	-0.85	29.16	1.81	1.83	46.25	25.08	39.23
BRD-K07117950	CP	imperatorin	acetylcholinesterase inhibitor, nitric oxide production inhibitor, Sodium Channel  Blockers	ACHE, HTR7		5.21, 2.60	25.18	0.82, 0.20	34.97	58.13	20.96	51.33	46.71	22.37	28.93	70.33	21.96	9.43	78.17	21.04	10.48	85.67	2.01	25.18	92.39	4.93	75.38	9.23	-32.40
BRD-K16444452	CP	ibudilast	phosphodiesterase inhibitor, leukotriene receptor antagonist, toll-like receptor antagonist, macrophage migration inhibiting factor inhibitor, macrophage migration inhibiting factor modulator, mediator release inhibitor, nitric oxide synthase inhibitor	PDE4A, PDE4B, PDE4C, MIF, PDE10A, PDE3A, PDE4D, TLR4, CYSLTR1, IL1B, IL6, PDE11A, PDE5A		2.60, 2.60	25.17	0.76, 0.13	45.07	17.63	67.97	69.48	82.27	32.64	18.06	48.52	36.16	1.20	70.82	-36.20	25.17	37.15	8.65	20.50	48.83	6.57	13.75	16.34	3.97
BRD-K92492521	CP	LY-255283	leukotriene receptor antagonist	LTB4R, LTB4R2		3.13, 1.56	25.15	1.02, 0.32	35.81	10.99	13.78	15.36	90.87	13.32	7.28	69.25	8.18	26.20	64.45	-4.56	0.95	51.86	4.71	12.71	86.70	58.29	36.67	25.15	30.27
BRD-K06543683	CP	bisindolylmaleimide-ix	PKC inhibitor, glycogen synthase kinase inhibitor, leucine rich repeat kinase inhibitor, SIRT inhibitor	SIRT1, AKT1, GSK3B, LCK, LRRK2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT2		5.73, 3.13	25.13	2.49, 0.91	49.23	0.00	12.00	1.44	96.08	-38.92	-0.03	73.90	6.95	55.51	64.73	97.82	0.11	43.08	4.14	99.30	23.60	-0.07	70.96	25.13	89.83
BRD-A60070924	CP	alpha-estradiol	estrogen receptor agonist	ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1		1.16, 0.00	25.12	0.41, 0.33	25.34	25.12	48.59	1.16	27.39	10.10	26.13	28.29	47.33	18.03	28.18	20.15	12.15	0.53	0.88	45.59	-0.85	17.93	65.32	2.36	37.45
BRD-K09638361	CP	SA-63133	casein kinase inhibitor, tubulin inhibitor	CSNK1E, CSNK1A1, CSNK1D, CSNK1G2	Tubulin inhibitor	2.60, 0.52	25.09	1.23, 0.53	53.20	95.35	91.66	25.09	44.19	49.09	27.41	5.81	2.96	-86.62	60.60	29.62	-45.26	-63.09	17.48	21.22	79.96	15.44	-2.75	8.00	36.56
BRD-K02867583	CP	minaprine	serotonin uptake inhibitor	HTR2B, SLC6A4, ACHE, CHRM1, DRD1, DRD2, HTR2A, HTR2C, MAOA		4.47, 2.79	25.07	1.11, 0.28	47.24	4.72	33.68	18.62	11.05	25.07	92.96	93.33	86.77	22.88	23.12	83.48	9.95	92.68	24.58	17.97	10.40	96.21	36.61	-46.70	45.36
BRD-K43149758	CP	myricetin	androgen receptor ligand, cytochrome P450 inhibitor	PIK3CG, AR, CYP3A4		2.79, 0.56	25.03	0.74, 0.16	48.17	-25.31	24.39	88.35	70.11	33.70	59.52	12.03	25.03	9.28	9.73	20.79	23.17	60.06	43.69	26.38	15.08	18.52	14.65	41.23	26.75
BRD-A56987319	CP	SQ-22536	adenylyl cyclase inhibitor	ADCY1, ADCY5		9.90, 3.65	25.00	1.06, 0.40	97.52	24.11	79.67	9.78	84.01	57.88	18.06	95.00	25.00	7.78	97.79	21.27	0.25	-70.22	-0.80	20.90	96.05	42.96	95.14	91.53	13.26
BRD-K64746805	CP	MBCQ	phosphodiesterase inhibitor	PDE5A		5.03, 2.23	24.99	1.13, 0.39	46.40	41.86	64.32	3.57	40.03	0.00	24.99	98.07	16.73	49.97	83.84	23.97	23.69	96.22	36.09	23.47	22.12	10.30	40.59	2.61	13.53
BRD-K59650319	CP	YM-298198	glutamate receptor antagonist	GRM1		2.08, 1.04	24.84	0.99, 0.30	15.41	7.22	51.91	43.16	11.03	63.43	57.33	24.84	16.50	33.45	36.55	22.26	-0.11	36.83	-1.27	40.06	75.38	49.65	-5.38	7.95	-8.11
BRD-K17349619	CP	HLI-373	MDM inhibitor	MDM2	MDM inhibitor	3.13, 1.04	24.83	0.85, 0.25	29.74	74.01	73.09	-4.66	24.96	6.82	60.78	5.17	24.15	1.94	77.34	9.06	1.47	24.83	3.20	5.20	32.82	85.84	40.61	65.97	23.07
BRD-K18316707	CP	O-1918	cannabinoid receptor antagonist			6.25, 3.13	24.76	0.81, 0.30	76.75	12.49	33.96	69.98	35.07	-0.92	24.76	42.41	11.16	27.65	24.69	70.89	4.15	7.20	0.49	91.61	58.81	21.80	40.93	1.37	7.79
BRD-K34441861	CP	moexipril	angiotensin converting enzyme inhibitor, phosphodiesterase inhibitor	ACE, ACE2		3.13, 1.04	24.76	1.23, 0.51	16.91	48.76	10.41	34.63	41.55	9.11	34.37	9.06	9.98	1.83	91.50	24.76	1.76	46.79	-0.88	39.97	44.10	31.50	78.47	22.65	4.52
BRD-K77677632	CP	SB-200646	serotonin receptor antagonist	HTR2B, HTR2C		5.73, 2.08	24.71	0.74, 0.20	66.23	0.00	16.17	8.91	97.22	11.95	10.15	36.51	31.67	68.64	24.71	52.24	1.02	1.37	9.72	53.47	12.81	47.49	90.30	15.26	90.07
BRD-K28075147	CP	biochanin-a	estrogen receptor agonist			3.13, 2.08	24.68	1.30, 0.38	16.94	0.00	0.28	2.18	51.91	-2.75	68.37	94.39	58.76	28.33	86.70	24.68	0.00	36.95	-37.70	-65.52	95.42	54.36	41.17	15.43	9.82
BRD-K83289131	CP	CAY-10618	NAMPT inhibitor, niacinamide phosphoribosyltransferase inhibitor	NAMPT		1.04, 0.00	24.65	1.57, 0.45	52.23	95.19	20.58	86.18	11.36	15.73	31.90	7.22	13.34	46.42	-1.48	12.31	61.97	66.77	60.20	15.68	23.09	-14.03	38.90	25.04	24.65
BRD-K61217870	CP	n-(3-acetamidophenyl)-3-chlorobenzamide	glutamate receptor inhibitor	GRM5		2.60, 0.52	24.64	0.99, 0.22	45.27	12.27	61.03	21.32	35.52	29.37	43.48	21.45	19.47	24.64	80.77	17.71	3.31	45.36	0.63	-15.80	38.13	60.00	21.11	67.06	6.47
BRD-K95655893	CP	MAZ-51	VEGFR inhibitor	FLT4		5.03, 2.23	24.63	2.05, 0.74	23.24	96.97	19.19	44.97	8.35	35.04	24.63	51.86	8.47	0.99	42.28	10.97	80.07	62.03	75.18	43.06	22.87	30.29	-4.85	1.34	13.83
BRD-K19525698	CP	ozagrel	thromboxane synthase inhibitor, platelet aggregation inhibitor, selective thromboxane synthetase inhibitor	TBXAS1		5.21, 4.69	24.60	1.06, 0.34	23.17	33.86	19.34	18.90	34.82	13.75	99.47	21.16	37.16	0.18	86.24	46.77	14.30	66.10	-0.67	30.38	78.10	60.82	24.60	13.31	7.94
BRD-K35629949	CP	SR-27897	CCK receptor antagonist	CCKAR	CCK receptor antagonist	4.69, 3.65	24.58	0.99, 0.31	29.43	-7.44	-0.42	41.34	77.34	92.55	24.58	17.35	27.81	59.70	88.06	94.25	3.48	9.23	-4.44	99.79	75.25	20.12	8.64	-2.18	-25.03
BRD-K93331255	CP	lypressin	vasopressin receptor agonist	AVPR1A, AVPR1B, AVPR2		5.73, 1.56	24.58	0.77, 0.24	64.86	73.85	53.85	0.00	93.86	18.72	20.42	89.22	14.64	43.55	24.58	21.48	0.07	7.24	39.22	14.29	37.11	21.89	47.21	66.70	3.03
BRD-K69032158	CP	diprotin-a	dipeptidyl peptidase inhibitor	DPP4		3.09, 0.00	24.50	1.52, 0.38	89.99	8.00	47.82	9.11	7.91	66.17	70.82	5.23	24.50	24.34	91.47	30.39	-2.04	92.33	6.40	86.86	96.09	5.99	1.16	68.12	23.17
BRD-A71459254	CP	cymarin	ATPase inhibitor	ATP1A1	ATPase inhibitor	7.29, 5.73	24.49	1.97, 0.57	63.93	99.37	0.34	57.57	27.03	-18.26	21.80	90.14	2.92	3.45	25.76	14.02	49.71	31.31	97.32	17.85	92.32	24.49	17.87	10.12	8.49
BRD-K92758126	CP	gibberellic-acid	NFkB pathway modulator	AADACL2		2.60, 1.56	24.48	0.84, 0.18	10.90	15.46	53.69	24.03	56.12	70.66	28.08	13.79	4.72	24.48	58.73	78.46	0.07	9.02	0.00	78.43	59.69	67.37	80.60	2.61	20.94
BRD-A94413429	CP	NTNCB	neuropeptide receptor antagonist	NPY5R		11.98, 6.77	24.43	1.69, 0.73	75.80	23.39	31.37	99.58	14.83	99.86	23.50	16.80	2.36	96.34	14.57	24.43	99.89	28.05	97.85	14.04	67.56	-7.26	-1.73	20.45	99.86
BRD-K23922020	CP	arecaidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4		4.69, 1.04	24.43	1.28, 0.36	40.10	-20.22	61.30	35.32	50.60	95.76	9.89	16.36	12.31	6.44	24.43	11.77	0.60	11.49	1.49	7.95	79.67	76.88	25.76	62.45	53.73
BRD-A01346607	CP	flumetasone	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	10.42, 7.81	24.33	1.31, 0.76	18.67	50.67	99.54	2.62	84.69	20.01	11.28	96.40	91.59	24.33	45.91	14.42	1.76	8.73	1.52	36.97	28.43	16.79	99.19	8.81	24.44
BRD-A93000692	CP	ciglitazone	PPAR receptor agonist, insulin sensitizer	PPARG, INS	PPAR receptor agonist	4.17, 2.60	24.33	0.66, 0.22	39.18	6.62	11.51	93.46	85.72	19.27	8.76	23.20	6.88	35.78	94.36	45.31	32.13	42.89	1.02	24.33	9.99	-25.41	60.17	40.43	9.03
BRD-K18895904	CP	olanzapine	dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR2A, HTR2C, DRD1, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR6, HTR7, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C8, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH2, HRH4, HTR1F, HTR2B, HTR3A, HTR5A		3.68, 1.23	24.30	0.57, 0.17	37.47	24.31	50.36	32.79	98.20	82.72	24.30	40.62	38.71	4.28	86.55	19.75	18.97	14.33	0.46	15.63	68.39	16.75	15.54	16.70	-0.15
BRD-K88560311	CP	rucaparib	PARP inhibitor	PARP1, PARP2	PARP inhibitor	1.56, 0.00	24.29	1.41, 0.26	50.11	0.00	41.84	24.29	9.80	9.21	35.89	19.84	8.79	1.56	31.36	30.98	4.37	71.79	1.59	32.98	30.22	61.06	73.83	7.04	-0.92
BRD-K25504083	CP	cytochalasin-d	actin polymerization inhibitor, actin stabilizer	ACTB		5.73, 1.04	24.28	1.82, 0.44	11.34	95.75	45.00	74.72	12.29	16.30	16.67	22.63	2.21	77.72	-10.56	44.83	97.46	78.14	98.52	24.28	24.61	13.75	1.97	-3.30	59.79
BRD-K87049188	CP	fusaric-acid	chelating agent, dopamine beta hydroxylase inhibitor	DBH		4.17, 2.08	24.24	1.02, 0.35	40.23	56.34	16.54	55.90	93.16	-0.63	62.54	27.74	18.40	0.31	65.09	-42.22	7.21	17.31	7.66	24.24	83.05	0.07	79.27	37.97	20.23
BRD-K41170226	CP	deoxycholic-acid	biliverdin reductase A activator, G protein coupled receptor agonist, unidentified pharmacological activity	GPBAR1, EFTUD1, FPR1		3.13, 2.60	24.20	0.91, 0.28	55.66	0.00	-29.42	-8.45	30.18	18.32	57.49	84.10	20.44	85.00	-4.07	24.20	0.00	42.02	-0.35	57.51	3.95	32.49	32.55	24.31	9.00
