#1.3
2429	28	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K04185004-summary	BRD-K25394294-summary	BRD-K55930204-summary	BRD-K87990216-summary	BRD-A43882281-summary	BRD-A33447119-summary	BRD-K47780086-summary	BRD-K74514084-summary	BRD-A22380646-summary	BRD-A28746609-summary	BRD-A65013509-summary	BRD-A18043272-summary	BRD-K01292756-summary	BRD-A19633847-summary	BRD-K85090592-summary	BRD-A97479839-summary	BRD-K90333595-summary	BRD-K15567136-summary	BRD-A48430263-summary	BRD-K67277431-summary	BRD-K51313569-summary	BRD-K47869605-summary	BRD-A97701745-summary	BRD-K37991163-summary	BRD-K67102207-summary	BRD-K15409150-summary	BRD-K92731339-summary	BRD-A57382968-summary
BRD-K52751261	CP	TAK-715	p38 MAPK inhibitor, tumor necrosis factor production inhibitor	MAPK14, TNF	P38 MAPK inhibitor	5.97, 2.99	29.54	0.60, 0.20	26.12	19.86	44.06	1.20	13.82	13.36	35.26	91.59	-37.31	45.26	69.19	75.96	7.91	-1.27	77.14	19.89	32.96	45.68	55.71	21.80	65.52	21.54	61.77	0.07	69.24	0.53	53.58	14.13
BRD-K07691486	CP	roscovitine	CDK inhibitor, apoptosis stimulant	CDK2, CDK9, CDK7, CDK1, CDK5	CDK inhibitor	2.24, 1.12	29.52	0.91, 0.40	77.53	18.28	26.15	78.66	20.35	30.76	16.45	73.54	18.36	17.17	41.87	64.29	13.93	28.15	54.28	28.28	28.02	46.41	41.64	91.73	78.34	51.68	14.99	9.54	31.51	24.09	55.27	14.86
BRD-K13356952	CP	methazolamide	carbonic anhydrase inhibitor, insulin sensitizer	CA1, CA2, CA4, CA7, CA12, CA14, INS		7.66, 4.44	29.51	1.56, 0.56	8.42	1.59	96.09	16.65	28.31	92.69	61.58	77.27	40.53	83.66	74.36	15.01	4.10	0.99	47.77	7.77	96.30	-47.38	18.17	32.80	4.51	31.13	91.73	-3.35	30.72	17.42	93.59	1.90
BRD-K62609077	CP	scoulerine	adrenergic receptor antagonist, GABA receptor antagonist, serotonin receptor antagonist	ADRA1D, ADRA2A, GABRA1		4.48, 2.24	29.51	0.44, 0.09	84.09	61.17	44.60	18.65	5.14	35.75	35.59	36.30	10.99	84.24	26.77	39.71	20.33	17.96	31.85	23.97	27.16	22.70	0.56	76.23	40.50	93.06	13.60	3.14	73.63	36.88	1.23	6.62
BRD-K68095457	CP	palmitoylethanolamide	cannabinoid receptor agonist, Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, unidentified pharmacological activity	CNR2, GPR119, GPR55	Cannabinoid receptor agonist	4.48, 1.49	29.50	0.83, 0.24	22.54	35.75	76.15	20.41	77.14	20.51	67.56	80.16	23.92	24.49	85.14	15.42	1.16	-10.36	48.66	86.47	83.60	1.76	10.44	34.51	4.98	74.63	74.79	-0.25	82.18	11.87	22.93	68.38
BRD-K19554809	CP	MK-212	serotonin receptor agonist	HTR2A, HTR2B, HTR2C		5.24, 2.02	29.47	2.21, 0.98	52.38	16.89	46.26	8.79	15.12	79.23	20.83	30.09	28.85	45.06	7.86	87.96	15.31	9.98	90.48	10.32	16.91	2.89	15.56	38.31	98.94	36.74	65.20	0.95	52.36	10.50	49.87	75.42
BRD-K23875128	CP	RHO-kinase-inhibitor-III[rockout]	ROCK inhibitor	IMPDH2, ROCK1		2.61, 0.75	29.47	1.26, 0.76	71.41	6.48	35.36	35.89	79.25	8.36	7.61	79.73	42.08	9.57	48.07	90.36	2.14	-60.24	34.28	68.63	27.17	4.76	70.20	31.77	17.78	21.29	64.88	37.08	11.44	-15.14	21.88	11.31
BRD-K22385716	CP	LY-303511	casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor	CSNK2A1, CSNK2A2, CSNK2B, MTOR	Bromodomain Inhibitor	5.60, 3.73	29.34	0.97, 0.42	29.51	3.31	21.73	97.57	59.88	47.05	65.95	13.78	67.01	86.56	-28.83	17.45	10.98	12.29	13.42	23.76	59.17	50.95	23.28	56.78	17.51	65.49	39.29	40.48	15.60	44.74	29.17	17.18
BRD-K56450366	CP	NSC-94258	antitumor agent	AKR1B1, CYP19A1, HSD17B1		2.50, 1.25	29.32	1.42, 0.42	29.70	29.63	93.54	-42.92	7.72	35.49	28.82	72.60	62.35	56.74	60.59	45.95	0.02	-55.92	91.58	23.77	10.57	0.00	25.87	29.02	68.81	13.20	21.51	2.85	64.68	-78.38	80.97	36.03
BRD-K22631935	CP	neurodazine	neurogenesis of non-pluripotent C2C12 myoblast inducer			2.99, 2.24	29.31	1.91, 0.64	48.87	0.00	52.74	-5.25	-4.23	43.17	10.14	46.33	47.55	21.66	46.41	80.94	0.00	-14.28	50.88	50.63	16.61	3.24	1.69	12.62	68.29	9.49	36.96	1.32	47.47	11.42	55.27	88.30
BRD-K89162000	CP	tandutinib	FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor	FLT3, KIT, PDGFRA, PDGFRB, CSF1R, PDGFD	PDGFR/KIT inhibitor	2.99, 1.49	29.28	0.97, 0.28	78.05	30.04	24.48	21.54	3.35	28.51	40.93	34.51	17.99	39.40	23.33	67.22	70.78	5.83	21.47	20.86	63.35	3.37	0.96	60.46	48.32	18.38	68.74	52.38	10.17	37.14	5.88	51.90
BRD-K76274772	CP	MAPP-D-erythro	ceramidase inhibitor			2.99, 1.87	29.22	1.14, 0.49	30.69	7.93	49.60	27.93	36.99	45.27	40.43	9.05	36.70	9.45	26.72	96.91	3.49	8.12	30.50	34.82	16.69	78.57	49.31	83.33	70.19	4.89	4.16	15.66	40.12	12.39	23.38	9.84
BRD-K41445866	CP	alfaxalone	11-beta hydroxysteroid dehydrogenase inhibitor, chloride channel agonist, general pump inhibitor	HSD11B1		4.03, 2.82	29.13	1.35, 0.51	18.06	15.91	78.60	18.00	34.43	92.66	11.25	75.83	32.95	27.33	8.20	90.63	6.36	9.88	88.99	49.56	29.80	14.81	28.47	97.81	82.67	24.69	48.38	3.89	80.31	12.05	5.29	33.80
BRD-K34508425	CP	KUC103898N	G protein coupled receptor			4.48, 2.99	29.13	1.42, 0.42	26.01	7.92	47.89	12.69	11.57	76.63	65.76	87.77	46.37	91.24	70.21	57.39	3.31	44.95	6.45	12.45	2.43	12.44	83.22	34.47	17.33	51.39	11.02	5.76	32.24	25.83	71.59	14.39
BRD-K37848908	CP	ceforanide	cell wall synthesis inhibitor, penicillin binding protein inhibitor			2.99, 1.49	29.13	0.76, 0.32	66.09	4.26	46.93	24.56	21.92	60.77	65.65	48.81	89.63	30.34	72.32	30.87	2.88	3.65	17.86	42.82	84.51	-0.56	27.91	25.59	2.29	11.59	66.65	4.33	47.08	20.48	91.74	16.37
BRD-K55748775	CP	SCH-28080	ATPase inhibitor, potassium-competitive acid antagonist	ATP4A		4.03, 1.21	29.11	0.70, 0.25	0.00	4.79	67.60	73.76	46.87	41.29	39.24	84.94	40.83	25.93	14.51	31.00	13.41	6.34	71.69	65.31	48.98	16.62	18.44	42.86	-2.29	20.43	17.16	7.69	27.23	9.06	74.53	87.11
BRD-K02407574	CP	parbendazole	tubulin inhibitor	TUBB	Tubulin inhibitor	6.34, 2.99	29.04	0.89, 0.42	37.10	45.53	18.18	12.54	39.22	97.26	12.80	19.75	19.62	98.80	44.90	46.47	-3.44	19.05	47.69	3.13	23.17	19.73	64.07	56.69	22.53	97.25	34.92	-4.58	71.15	-23.50	61.65	13.57
BRD-K70577657	CP	H-9	cAMP dependent protein kinase inhibitor, PKA inhibitor	PRKACA	PKA inhibitor	2.61, 1.12	29.04	0.55, 0.11	39.32	8.17	34.20	91.72	17.31	33.95	85.48	28.18	31.89	59.61	52.33	70.12	-14.31	0.85	43.82	23.56	31.18	11.99	8.45	29.90	12.58	10.18	31.33	3.73	17.59	17.51	55.51	27.44
BRD-K76872913	CP	benzanthrone	aromatic hydrocarbon derivate with fluorescent and luminescent properties			1.47, 0.00	28.94	1.09, 0.34	18.88	30.98	60.65	35.61	26.91	66.73	22.33	7.74	83.08	89.39	95.33	83.83	4.42	5.07	48.31	56.78	18.54	1.76	-23.25	91.68	3.15	35.50	40.22	-14.97	17.27	-12.90	12.49	44.63
BRD-K51967704	CP	BIIB021	HSP inhibitor	AOX1, HSP90AA1	HSP inhibitor	0.37, 0.00	28.89	1.28, 0.52	35.44	23.11	52.86	10.69	32.56	43.59	63.92	64.95	7.28	22.97	5.66	-20.55	2.74	66.46	56.16	26.74	3.31	9.11	26.50	18.08	73.82	83.35	30.22	82.81	27.57	54.92	31.96	5.85
BRD-A89672324	CP	CGP-55845	GABA receptor antagonist	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8		2.61, 1.12	28.85	1.06, 0.30	26.64	23.63	88.14	66.11	50.71	48.04	35.24	1.30	79.56	9.45	27.78	-10.35	-1.60	-24.30	40.14	42.47	25.05	9.73	50.66	93.97	33.19	27.60	78.63	2.01	17.01	22.14	81.14	29.91
BRD-K54472332	CP	elvitegravir	HIV integrase inhibitor, HIV inhibitor			2.99, 0.75	28.83	1.10, 0.33	37.29	7.45	16.92	32.37	17.28	8.15	6.56	75.62	92.12	24.18	8.83	82.52	10.90	0.00	49.74	57.18	-1.59	33.77	25.29	41.85	55.38	83.10	18.08	45.57	76.03	20.53	80.85	17.95
BRD-A75517195	CP	thiazolopyrimidine	CDC inhibitor			4.48, 2.24	28.77	0.32, 0.08	43.30	13.44	49.06	16.05	32.93	3.24	22.54	58.02	69.97	31.63	12.39	59.66	36.93	89.75	10.77	28.24	14.79	17.20	29.29	24.10	17.49	86.12	22.86	15.15	40.78	43.57	38.51	-4.55
BRD-K48427617	CP	U-0124	MEK inhibitor			5.24, 0.40	28.76	1.41, 0.60	80.16	21.18	43.67	52.24	14.28	45.90	85.97	22.78	92.93	27.98	28.31	81.16	16.82	7.44	72.67	29.33	60.67	29.21	39.98	20.39	42.26	1.62	25.69	-1.44	-55.05	18.08	23.90	97.15
BRD-K01648091	CP	LE-300	dopamine receptor antagonist, dopamine receptor ligand, serotonin receptor ligand	DRD5, DRD1, HTR2A		3.73, 1.87	28.76	0.65, 0.20	36.97	8.78	65.03	52.10	39.78	58.59	13.64	49.86	36.75	14.80	80.31	0.81	27.40	15.55	28.12	47.06	88.50	7.95	19.02	61.68	26.51	10.37	54.68	6.42	54.82	29.39	-2.54	27.21
BRD-A83237092	CP	fulvestrant	estrogen receptor antagonist, DNA directed DNA polymerase inhibitor, soluble epoxide hydrolase inhibitor	ESR1, EPHX2, ESR2, GPER1	Estrogen receptor antagonist	1.25, 0.00	28.70	0.74, 0.31	27.96	46.97	2.68	9.52	57.06	43.55	38.56	29.15	13.31	29.18	19.12	18.48	0.11	17.73	85.45	43.60	13.09	64.53	30.10	31.52	91.31	23.45	28.25	12.03	39.30	19.27	48.33	22.31
BRD-K83794624	CP	pirarubicin	topoisomerase inhibitor	TOP2A	Topoisomerase inhibitor	4.10, 1.49	28.66	3.16, 0.95	19.21	93.59	-12.33	59.44	57.74	95.79	80.78	9.14	37.84	-0.39	24.80	44.30	3.14	3.39	86.55	-20.24	1.23	70.66	21.84	74.56	84.78	0.39	-75.26	32.53	50.11	0.39	1.06	89.82
BRD-A43671941	CP	oxprenolol	adrenergic receptor antagonist	ADRB1, ADRB2		4.03, 2.42	28.66	0.88, 0.22	54.49	81.31	76.79	10.06	12.44	79.54	29.23	94.76	65.56	15.23	41.57	85.29	12.38	1.30	28.09	42.87	46.97	20.58	89.41	49.83	19.29	27.60	25.87	2.55	79.83	3.74	24.40	9.55
BRD-K98490050	CP	amsacrine	topoisomerase inhibitor, DNA intercalating drug	TOP2A, KCNH2	Topoisomerase inhibitor	1.87, 1.12	28.63	2.77, 0.68	8.22	52.20	-5.50	25.35	79.84	31.90	13.56	13.60	16.45	-41.14	4.40	21.18	8.89	95.63	52.87	5.81	37.61	63.45	40.09	75.31	56.14	72.95	22.42	51.07	48.87	91.33	4.77	4.33
BRD-K59331372	CP	SB-366791	TRPV antagonist	TRPV1		1.49, 1.12	28.61	0.92, 0.26	6.55	60.55	47.09	86.24	74.12	10.59	38.47	-1.52	28.03	43.55	0.00	29.19	-3.62	-37.72	88.38	-1.02	-9.12	14.29	55.66	49.05	37.77	48.38	9.05	8.24	11.89	-7.37	36.50	94.97
BRD-K83636919	CP	entacapone	catechol O methyltransferase inhibitor	COMT		4.84, 2.82	28.60	1.48, 0.48	29.09	-1.66	98.06	58.44	0.78	15.98	25.33	48.15	59.34	43.35	47.22	71.14	3.49	-13.31	28.11	50.70	64.79	6.24	65.00	-35.44	2.54	13.92	71.42	1.52	26.60	40.09	69.76	4.19
BRD-K72034655	CP	peucedanin	apoptosis inducer, antileukemic			8.09, 4.41	28.57	1.21, 0.50	99.82	7.67	-38.52	42.79	18.54	82.13	18.09	29.00	47.23	86.78	24.72	30.68	16.53	2.81	95.33	37.21	28.14	6.56	47.90	70.38	26.38	12.99	14.93	2.50	29.77	-26.92	99.75	91.59
BRD-K19796430	CP	erismodegib	hedgehog pathway inhibitor, smoothened receptor antagonist	SMO		5.22, 2.99	28.56	2.52, 0.73	-9.49	11.29	-13.20	79.63	88.18	48.55	60.94	16.48	-31.36	22.75	9.77	99.58	51.71	3.81	26.42	3.83	10.69	88.79	81.67	68.23	66.67	9.71	-66.38	59.93	30.70	12.90	78.76	99.65
BRD-K45542189	CP	diethylcarbamazine	lipoxygenase inhibitor	ALOX5, PTGS1		2.99, 2.99	28.52	0.70, 0.16	14.15	8.25	78.08	10.71	4.09	84.46	26.82	73.34	90.55	25.40	81.99	71.82	12.85	12.39	15.47	60.78	39.78	19.74	76.35	36.49	9.18	14.40	87.03	2.71	30.23	12.90	39.74	49.12
BRD-K78084463	CP	W-12	calmodulin antagonist			2.94, 2.21	28.47	1.39, 0.38	28.40	5.56	51.82	83.58	89.16	41.75	22.78	82.60	13.46	67.12	-2.75	36.58	1.20	7.33	28.55	-87.37	4.41	78.62	68.04	22.54	39.71	26.11	-61.41	64.71	-50.25	-10.29	99.93	83.09
BRD-K43978949	CP	PIT	purinergic receptor antagonist	P2RY1		2.24, 1.12	28.47	0.84, 0.32	46.17	25.16	38.65	1.41	10.27	41.93	13.99	85.91	44.50	45.23	28.85	28.09	4.00	7.59	73.19	64.64	35.67	9.87	11.13	68.05	4.33	44.55	74.60	2.02	76.31	8.92	9.96	25.15
BRD-K26801045	CP	pipamperone	dopamine receptor, dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR2A, HRH1, HTR1A, HTR1B, HTR1D	Dopamine receptor antagonist	4.48, 1.49	28.39	1.05, 0.34	21.73	18.92	20.20	72.43	44.33	63.57	36.52	14.85	16.92	14.75	-6.31	90.74	14.69	0.00	66.92	31.87	27.00	48.95	92.31	15.17	66.86	22.40	84.21	29.77	4.16	14.06	61.97	76.12
BRD-K01192156	CP	tyrphostin-AG-112	protein tyrosine kinase inhibitor	EGFR		2.24, 0.75	28.38	1.78, 0.49	13.39	14.13	94.45	61.31	33.10	35.91	17.64	7.99	30.39	26.38	64.05	88.56	-70.42	-75.65	88.37	48.94	82.71	18.43	41.93	73.26	7.47	17.32	15.85	-16.45	33.74	-27.97	73.47	10.87
BRD-K89152108	CP	liothyronine	thyroid hormone function stimulant	THRA, THRB		4.84, 1.61	28.36	0.84, 0.28	21.33	3.08	68.86	15.03	50.86	22.21	29.08	94.90	47.71	16.61	5.84	80.93	39.37	29.85	11.99	26.96	91.79	25.30	47.58	17.99	29.68	27.64	29.21	6.24	38.65	23.30	33.55	11.36
BRD-A15010982	CP	HU-211	glutamate receptor antagonist, apoptosis stimulant, NFkB pathway inhibitor, reducing agent	CNR1, CNR2, GLRA1, GLRA2, GLRA3, GPR55, GRIN1, NFKB1		6.05, 3.23	28.35	2.10, 0.49	20.24	31.73	45.33	23.32	10.42	22.20	84.69	98.27	13.18	2.96	42.62	46.38	14.00	90.87	15.00	23.72	10.43	77.57	33.78	18.57	46.40	98.34	24.97	36.02	13.94	75.69	63.48	16.65
BRD-A19500257	CP	geldanamycin	HSP inhibitor	HSP90AA1, HSP90AB1	HSP inhibitor	2.24, 0.37	28.33	0.99, 0.30	25.18	17.93	-11.91	18.65	28.56	49.28	46.36	42.24	10.00	59.39	23.63	34.63	54.90	87.95	61.46	13.28	48.62	25.55	10.44	28.10	71.23	60.28	15.99	86.86	27.99	83.49	19.41	13.85
BRD-K69932463	CP	AZD-8055	mTOR inhibitor	MTOR	MTOR inhibitor	4.48, 1.49	28.32	2.34, 0.75	35.50	6.52	40.08	8.27	27.22	29.42	50.30	93.79	12.01	23.71	26.19	-74.93	85.78	87.98	82.03	11.98	16.10	73.84	24.18	9.30	98.43	42.36	4.90	94.87	34.69	75.12	20.05	7.52
BRD-A58955223	CP	sulforaphane	anticancer agent, aryl hydrocarbon receptor antagonist, nuclear factor erythroid derived, like (NRF2) activator	NFE2L2		0.75, 0.00	28.32	0.83, 0.22	69.85	21.06	38.22	11.60	13.74	27.12	28.62	26.39	34.25	43.42	60.25	55.57	10.82	36.36	17.09	32.72	47.67	16.18	54.71	48.99	28.01	68.98	22.55	3.81	55.36	25.90	19.49	15.54
BRD-K80778372	CP	RO-19-4605	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5		4.10, 2.24	28.26	0.72, 0.19	80.67	17.96	88.48	25.64	-48.46	22.93	54.76	14.86	56.81	84.58	84.90	81.33	2.23	13.23	41.38	76.39	38.60	62.19	-24.09	82.27	11.52	30.88	25.50	15.87	86.59	5.80	23.75	15.10
BRD-K41160163	CP	fenobam	glutamate receptor antagonist	GRM5		2.99, 1.87	28.19	0.82, 0.31	-73.44	8.19	51.21	93.62	52.11	46.01	87.06	13.08	45.70	87.64	82.56	13.93	1.02	-72.57	25.54	44.22	-16.99	9.90	38.24	5.21	37.32	30.84	3.81	0.18	22.16	11.92	80.80	90.86
BRD-K31699485	CP	DMEOB	glutamate receptor modulator			5.97, 2.61	28.16	1.68, 0.51	29.17	13.05	98.23	39.87	12.43	24.82	27.79	7.87	42.17	62.31	76.60	32.57	7.31	0.95	28.52	31.91	92.91	32.42	89.68	15.76	7.28	8.86	45.34	-3.77	13.61	18.19	78.77	6.90
BRD-K40227168	CP	vinburnine	adrenergic receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4		4.03, 3.23	28.10	0.76, 0.22	92.56	19.87	89.99	15.14	-7.27	8.44	91.52	19.77	74.67	86.10	65.45	47.56	1.83	-15.18	29.33	44.01	26.76	10.08	14.24	46.28	26.87	10.18	41.31	-13.81	37.38	5.18	54.78	82.56
BRD-K37720887	CP	SB-525334	TGF beta receptor inhibitor	TGFBR1	TGF beta receptor inhibitor	1.87, 1.49	28.07	1.60, 0.44	14.20	4.34	85.43	39.46	20.51	4.45	23.84	79.86	37.47	36.65	22.04	12.86	-13.84	-41.89	70.71	65.94	61.98	19.68	64.84	8.01	39.62	31.53	82.16	-6.34	61.74	10.59	79.08	24.61
BRD-K11927976	CP	ER-27319	mediator release inhibitor, syk inhibitor	SYK		4.10, 0.37	27.98	3.42, 1.16	71.14	66.82	-44.17	91.78	97.11	47.89	59.55	2.44	54.56	-6.33	65.01	-38.85	0.67	1.69	84.64	-74.05	-2.11	83.64	24.17	89.44	81.07	0.42	-32.64	1.27	81.88	7.18	-18.28	31.78
BRD-A01787639	CP	naftopidil	adrenergic receptor antagonist, calcium channel antagonist	ADRA1A, ADRA1D		4.93, 3.14	27.91	0.68, 0.25	94.78	-0.33	20.99	42.23	67.41	23.35	97.96	50.76	80.46	60.88	8.58	0.85	2.33	2.49	1.80	44.78	43.82	30.24	28.34	30.21	7.21	-48.39	28.23	27.59	26.64	-15.85	42.94	6.06
BRD-A47706533	CP	L-BSO	γ-glutamylcysteine synthetase inhibitor	GCLM		4.48, 1.49	27.88	0.60, 0.16	28.91	12.77	66.08	40.99	26.65	25.01	14.83	34.53	28.59	72.13	93.01	11.96	5.67	2.81	3.24	35.21	92.46	-2.36	75.87	56.59	2.83	2.81	88.37	-55.83	49.27	6.06	27.17	41.86
BRD-K84085265	CP	CG-930	JNK inhibitor	MAPK8		4.85, 2.61	27.87	0.86, 0.28	24.71	7.55	86.96	22.30	-8.13	87.52	78.05	85.32	81.08	98.80	41.04	73.57	5.46	-14.48	31.03	34.81	75.46	5.86	92.86	24.24	21.32	0.03	56.50	1.62	23.11	8.47	85.86	5.81
BRD-K11853856	CP	PJ-34	PARP inhibitor	EEF2, PARP1, PARP15, PARP3	PARP inhibitor	2.61, 1.12	27.84	0.83, 0.23	41.58	49.84	27.15	83.17	79.97	28.53	19.94	39.26	17.98	58.51	49.40	37.33	6.37	-24.80	39.53	20.31	23.20	24.25	85.71	33.94	16.00	11.20	15.69	10.31	13.16	0.00	47.40	61.90
BRD-K07888107	CP	depudecin	HDAC inhibitor	HDAC1, HDAC2	HDAC inhibitor	4.48, 2.99	27.76	2.21, 0.53	22.99	34.96	90.83	21.98	7.93	12.14	30.14	90.44	75.73	69.78	15.53	43.71	22.86	11.12	29.14	14.73	22.75	73.88	98.38	56.78	92.44	14.68	9.56	23.36	35.83	22.57	26.38	75.47
BRD-K93095519	CP	SJ-172550	MDM inhibitor	MDM4	MDM inhibitor	6.72, 3.36	27.75	2.57, 0.65	62.47	2.71	85.93	70.03	-6.60	17.76	63.85	6.45	75.72	75.08	24.65	63.17	6.12	-80.87	76.66	97.58	96.86	-9.15	-15.57	61.59	3.25	-4.93	95.53	-52.97	19.79	7.96	40.41	30.85
BRD-K12867552	CP	THM-I-94	HDAC inhibitor, apoptosis stimulant, cell cycle inhibitor	HDAC1, HDAC10, HDAC2, HDAC3, HDAC6, HDAC8	HDAC inhibitor	1.12, 0.00	27.73	1.81, 0.57	16.50	15.80	0.00	10.34	27.60	38.79	91.78	5.14	9.76	7.31	8.03	51.99	93.15	92.74	82.83	53.76	24.43	78.00	20.82	36.69	82.93	16.35	10.44	88.18	32.79	75.99	-27.94	27.86
BRD-K12762134	CP	XAV-939	PARP inhibitor, TNKS inhibitor	TNKS, TNKS2		2.61, 1.49	27.68	0.88, 0.30	77.98	4.33	49.32	54.74	54.53	11.41	27.46	19.48	16.67	43.25	48.06	94.64	23.11	13.19	74.47	43.26	87.39	3.85	27.90	25.61	23.74	3.94	79.68	16.63	80.29	13.11	26.50	71.42
BRD-K62792802	CP	LY-83583	inhibitor of soluble guanylyl cyclase, leukotriene synthesis inhibitor	GUCY1A2		2.92, 1.67	27.64	2.01, 0.45	25.73	85.85	22.03	33.09	67.38	99.19	46.93	27.95	4.97	17.23	54.55	96.60	0.03	19.19	41.55	7.47	7.58	43.61	76.33	27.33	56.67	32.88	0.00	2.62	77.87	6.42	22.86	26.00
BRD-K01902415	CP	pirinixic-acid	PPAR receptor agonist	PPARA	PPAR receptor agonist	4.85, 2.24	27.48	1.06, 0.30	92.41	25.53	73.93	51.28	17.94	16.65	64.21	8.98	56.16	59.44	81.64	45.34	2.43	0.63	28.12	42.53	96.94	26.84	18.67	52.63	23.76	22.76	89.41	7.70	15.09	11.23	77.40	25.01
BRD-K93080877	CP	Ala-Ala-Phe-CMK	tripeptidyl peptidase inhibitor	TPP2		5.24, 2.42	27.41	1.13, 0.43	82.67	14.05	-28.60	17.49	98.59	8.90	89.67	17.20	87.45	1.88	20.00	98.32	14.36	77.67	84.74	26.77	-5.70	16.24	99.51	75.17	4.56	28.04	46.88	2.04	29.83	60.98	17.70	37.13
BRD-K79877282	CP	PF-543	sphingosine kinase inhibitor	SPHK1		0.42, 0.00	27.40	0.60, 0.36	63.85	33.86	3.88	39.70	33.69	67.06	3.45	78.28	66.61	25.50	41.76	52.31	8.81	12.39	3.21	54.92	1.23	13.94	14.89	69.68	27.10	24.56	71.85	12.53	27.69	35.49	-3.40	23.81
BRD-A35108200	CP	dexamethasone	glucocorticoid receptor agonist, corticosteroid agonist, immunosuppressant	ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2	Glucocorticoid receptor agonist	2.24, 0.75	27.39	1.30, 0.85	34.22	15.85	50.22	18.17	27.73	21.29	18.61	7.47	50.47	20.23	29.68	80.47	27.03	6.03	60.29	44.88	30.41	2.89	8.99	32.29	14.63	75.28	40.06	59.16	39.39	1.13	27.06	-43.67
BRD-K00627859	CP	tubastatin-a	HDAC inhibitor	HDAC6	HDAC inhibitor	1.12, 0.37	27.35	0.35, 0.25	36.62	24.66	45.89	26.48	10.60	42.03	41.49	39.49	24.60	11.26	37.46	26.05	3.18	20.78	39.52	25.67	21.36	44.10	47.85	13.57	61.75	21.01	31.69	28.22	50.26	8.32	54.76	6.49
BRD-K18895904	CP	olanzapine	dopamine receptor antagonist, serotonin receptor antagonist	DRD2, HTR2A, HTR2C, DRD1, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR6, HTR7, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C8, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH2, HRH4, HTR1F, HTR2B, HTR3A, HTR5A		4.93, 2.24	27.34	0.57, 0.17	68.25	0.03	65.66	24.86	13.95	21.32	95.50	15.77	61.09	29.32	43.48	25.36	3.91	-23.96	69.15	30.61	50.83	41.66	68.10	62.46	17.76	15.96	81.01	5.45	-34.67	8.56	40.78	23.35
BRD-K92758126	CP	gibberellic-acid	NFkB pathway modulator	AADACL2		3.36, 1.87	27.33	0.84, 0.18	90.53	44.14	91.02	78.56	40.73	3.00	28.88	6.87	-15.87	2.04	76.75	69.14	9.35	0.67	-5.27	6.54	20.81	63.06	38.23	88.01	11.06	13.50	25.78	1.62	75.21	5.06	41.63	63.02
BRD-A85860691	CP	chaetocin	histone lyinse methyltransferase inhibitor, histone lysine N methyltransferase inhibitor	EHMT2, SUV39H1		0.75, 0.37	27.24	0.70, 0.05	27.17	17.23	16.38	25.80	18.81	27.32	79.19	11.45	42.31	48.72	18.06	33.09	0.28	49.66	72.61	53.87	15.86	26.52	25.84	51.46	65.14	32.15	11.07	12.25	16.91	34.08	42.80	32.46
BRD-K63828191	CP	raloxifene	estrogen receptor antagonist, selective estrogen receptor modulator (SERM), ALK expression enhancer, cholesterol inhibitor, endoglin expression enhancer, estrogen receptor agonist	ESR1, ESR2, ACVRL1, ENG	Estrogen receptor antagonist	1.49, 0.37	27.16	0.43, 0.34	67.65	18.80	17.52	14.41	67.41	18.98	55.60	23.14	15.82	39.28	32.24	9.04	34.80	30.58	49.99	23.85	23.57	15.84	30.47	16.02	59.55	33.01	12.54	10.47	53.50	31.13	59.93	21.61
BRD-K27721098	CP	clopidogrel	purinergic receptor antagonist, platelet aggregation inhibitor, purinergic receptor inhibitor	P2RY12, CYP2B6, CYP2C19, CYP3A5		4.85, 2.61	27.15	2.81, 0.70	90.16	47.70	-11.92	64.81	98.94	26.35	15.67	4.74	11.94	15.62	50.71	79.30	27.94	20.42	94.06	-75.38	9.36	15.81	11.56	77.08	86.89	56.64	-2.19	73.14	56.36	11.03	-38.00	93.68
BRD-K31843556	CP	T-0070907	PPAR receptor anatagonist, PPAR receptor antagonist	PPARG		3.73, 1.87	27.13	0.45, 0.10	45.48	6.82	45.29	21.94	9.41	97.23	17.04	73.12	79.11	67.34	82.90	31.85	71.23	73.06	19.25	20.30	41.17	4.34	-93.01	90.54	6.00	10.00	22.41	7.75	61.29	12.83	52.01	-13.87
