#1.3
2429	24	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K79254416-summary	BRD-K48722258-summary	BRD-A93424738-summary	BRD-A13188892-summary	BRD-A69636825-summary	BRD-K22031190-summary	BRD-K62363391-summary	BRD-A51820102-summary	BRD-K43887077-summary	BRD-K71103788-summary	BRD-K33211335-summary	BRD-A46179541-summary	BRD-A94756469-summary	BRD-K81272440-summary	BRD-A35108200-summary	BRD-K92093830-summary	BRD-K73109821-summary	BRD-K97158071-summary	BRD-A92537424-summary	BRD-K06878038-summary	BRD-K49328571-summary	BRD-A29734509-summary	BRD-K05673000-summary	BRD-K08252256-summary
BRD-K54233340	CP	dorsomorphin	AMPK inhibitor, DNA damaging, TGF beta receptor inhibitor	ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC		6.03, 5.17	27.60	1.16, 0.24	49.84	60.81	28.65	35.88	32.47	18.28	15.45	5.89	9.01	-3.37	-15.69	2.22	98.38	12.88	58.52	97.74	23.97	53.62	26.54	14.15	66.17	48.22	22.25	67.26
BRD-K01192156	CP	tyrphostin-AG-112	protein tyrosine kinase inhibitor	EGFR		4.74, 2.59	27.59	1.78, 0.49	9.58	12.22	42.32	20.16	7.64	35.46	73.66	13.62	87.72	33.05	33.78	88.35	-1.02	29.87	97.53	14.23	67.66	15.35	25.31	93.46	13.59	8.21	34.65	21.64
BRD-K26669427	CP	WR-216174	CDK inhibitor, PFMRK inhibitor			3.88, 2.59	27.59	1.34, 0.45	3.96	77.52	3.56	31.36	5.32	69.90	76.64	21.75	63.13	74.88	5.80	11.30	83.06	10.57	-19.11	10.41	24.35	30.83	86.46	75.72	34.20	-6.73	54.61	8.47
BRD-K84566043	CP	fenpiverinium	acetylcholine receptor antagonist			9.42, 3.66	27.59	1.18, 0.35	84.44	20.65	11.54	48.78	9.94	8.25	28.10	11.89	92.18	97.15	18.98	95.42	7.11	55.92	37.91	17.29	38.81	12.71	18.79	98.45	27.08	31.74	46.34	-18.31
BRD-K51575138	CP	TPCA-1	IKK inhibitor	IKBKB	IKK inhibitor	3.88, 2.16	27.58	1.81, 0.59	20.41	84.63	53.26	66.89	34.76	19.60	57.74	53.90	8.45	1.88	7.11	56.57	88.17	18.54	10.93	78.23	17.38	10.76	13.67	44.54	99.12	12.33	43.52	14.25
BRD-K70881766	CP	solanine	acetylcholinesterase inhibitor			4.74, 2.59	27.58	0.63, 0.15	21.38	49.89	15.83	75.53	98.98	20.69	29.87	42.86	6.09	6.76	29.03	58.83	-0.88	87.97	24.10	14.87	89.51	87.88	70.73	51.54	26.13	4.02	24.99	5.48
BRD-A60197193	CP	amisulpride	dopamine receptor antagonist	DRD2, DRD3, HTR2A, HTR7		1.88, 0.00	27.52	0.55, 0.09	18.11	51.16	41.24	27.62	15.00	24.80	23.10	85.36	25.91	27.42	52.01	15.99	2.36	49.88	63.96	5.72	20.29	12.99	59.39	92.78	-3.39	39.29	73.11	48.20
BRD-K13566078	CP	BMS-345541	IKK inhibitor	IKBKB, CHUK		6.90, 5.17	27.52	0.90, 0.55	86.04	42.61	13.56	11.25	37.88	25.75	36.30	24.24	21.25	0.32	12.72	8.14	92.85	40.10	53.20	98.48	8.58	29.28	21.28	60.97	25.30	40.06	16.88	86.39
BRD-K77987382	CP	mebendazole	acetylcholinesterase inhibitor, microtubule inhibitor, tubulin inhibitor	TUBA1A, TUBB, TUBB4B	Tubulin inhibitor	4.74, 0.86	27.49	1.63, 0.59	2.33	65.94	36.46	80.98	23.56	28.94	6.77	2.36	59.69	-3.25	4.81	25.79	94.03	45.69	5.31	46.55	49.39	60.18	70.37	69.25	8.88	16.40	26.05	11.55
BRD-K77998258	CP	ganglioside	src activator			3.88, 3.02	27.49	0.86, 0.34	40.55	-3.99	44.23	12.48	-17.49	48.60	32.69	36.60	40.48	9.91	54.34	45.81	7.67	70.24	8.61	4.93	34.95	12.37	38.69	99.08	19.86	22.29	-29.63	9.27
BRD-K76907295	CP	VU-0418947-2	hypoxia inducible factor activator		HIF activator	2.90, 1.45	27.48	1.82, 0.63	31.15	94.93	27.48	82.99	-60.15	6.14	35.60	39.44	12.16	NaN	-6.94	22.30	98.45	17.85	15.94	94.84	46.05	13.37	9.74	-8.14	54.07	64.43	70.69	27.43
BRD-K77793136	CP	hydroxyfasudil	ROCK inhibitor	ROCK1, PKIA, PRKACA, ROCK2	Rho associated kinase inhibitor	2.82, 1.88	27.45	1.35, 0.39	56.11	57.89	11.96	5.53	51.00	59.04	91.52	28.14	19.94	15.83	21.97	86.80	4.76	19.33	46.20	26.77	43.12	61.44	12.10	93.90	74.92	7.62	26.42	15.67
BRD-A65440446	CP	cimaterol	adrenergic receptor agonist		Beta-adrenergic receptor agonist	6.10, 2.82	27.40	0.82, 0.26	20.80	66.83	6.37	12.82	66.59	93.46	88.89	34.17	91.54	18.15	43.60	75.24	4.05	12.50	6.92	16.88	17.83	34.44	85.66	30.93	62.81	23.88	14.20	9.25
BRD-A51393488	CP	noscapine	bradykinin receptor antagonist, tubulin polymerization inhibitor, apoptosis stimulant, microtubule inhibitor, tubulin inhibitor	BDKRB2, SIGMAR1		2.59, 1.29	27.40	0.63, 0.10	26.11	3.24	2.26	48.98	82.95	30.98	88.59	82.31	12.54	24.85	55.99	20.24	28.68	34.66	71.49	15.99	10.84	37.88	92.34	88.26	14.41	13.04	23.84	0.70
BRD-K31987754	CP	oleylethanolamide	Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, potassium channel blocker	GPR119, CNR1, GPR55, KCND3, PPARA		2.35, 0.94	27.34	0.98, 0.31	92.80	29.17	56.63	36.60	59.65	31.03	38.63	57.21	21.13	3.20	8.93	40.45	-7.96	14.58	76.14	16.04	10.66	79.21	25.50	23.42	11.68	30.14	19.34	22.40
BRD-A13133631	CP	fluorometholone	corticosteroid agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	7.51, 5.63	27.33	1.45, 0.72	13.45	86.52	97.74	15.27	9.54	33.27	25.84	69.99	10.52	10.76	15.19	55.74	24.20	28.82	99.93	12.47	41.25	66.06	87.22	68.65	82.16	25.46	20.41	7.44
BRD-A61858259	CP	CAY-10415	insulin sensitizer	INS	PPAR receptor agonist	3.29, 1.41	27.32	0.77, 0.24	20.33	44.04	14.87	-3.56	65.26	65.45	17.80	61.17	28.88	41.07	2.24	25.77	-3.52	54.56	62.13	-4.02	31.52	15.17	11.26	7.82	-38.82	98.95	69.49	49.43
BRD-A58955223	CP	sulforaphane	anticancer agent, aryl hydrocarbon receptor antagonist, nuclear factor erythroid derived, like (NRF2) activator	NFE2L2		0.00, 0.00	27.23	0.83, 0.22	33.45	78.45	46.24	64.41	39.09	38.76	42.20	12.00	22.75	4.96	14.62	27.88	3.28	11.84	76.29	9.86	42.97	10.46	26.59	37.94	7.42	17.38	38.95	17.91
BRD-K24656285	CP	farnesol	amine oxidase B inhibitor, FXR agonist	MAOB, MVK, NR1H4		3.45, 2.16	27.19	2.13, 0.48	23.36	1.23	60.60	4.21	84.56	13.91	75.41	30.53	63.27	4.40	95.10	66.52	-13.30	85.17	18.07	-2.31	-9.85	7.22	57.84	83.62	9.20	73.59	23.84	40.89
BRD-K87510569	CP	RS-504393	CC chemokine receptor antagonist	CCR2, CCL2		7.76, 4.74	27.16	1.22, 0.15	7.62	97.60	13.51	27.45	75.51	-67.39	-47.11	88.23	60.45	98.10	24.47	22.97	7.28	51.85	26.88	19.99	13.47	97.64	68.11	87.18	34.37	-48.63	76.60	8.24
BRD-K42679050	CP	Y-27152	potassium channel activator, potassium channel agonist	ABCC9, KCNJ8		6.90, 2.16	27.16	0.83, 0.25	24.97	12.77	7.83	38.82	47.60	37.29	77.33	66.48	32.19	22.20	29.35	24.37	4.30	20.80	17.71	18.31	3.20	13.66	96.46	95.40	11.68	96.02	55.78	77.87
BRD-A35623999	CP	CGP-37157	L-type calcium channel blocker, mitochondrial Na+/Ca2+ exchanger antagonist, sodium/calcium exchange inhibitor	SLC8A1		5.17, 2.16	27.14	0.78, 0.25	13.60	20.31	8.18	17.67	77.33	37.24	83.90	98.17	27.35	-21.69	45.10	15.54	1.41	56.90	7.08	34.76	21.81	9.52	54.43	82.51	26.93	46.85	33.81	18.35
BRD-K89930444	CP	AG-592	tyrosine kinase inhibitor			2.16, 0.86	27.14	1.82, 0.48	20.72	33.35	10.21	95.07	64.68	60.77	51.98	8.74	13.04	32.55	20.38	40.15	97.60	12.93	20.97	79.18	3.88	20.01	32.78	-3.12	83.40	17.10	24.75	29.52
BRD-K88742110	CP	BRD-K88742110	HDAC inhibitor, interleukin synthesis inhibitor	HDAC8, IL1B		2.59, 0.86	27.12	0.26, 0.17	44.57	54.24	28.60	27.44	36.08	14.55	33.87	13.29	52.16	37.66	22.14	41.72	18.08	9.01	20.65	20.69	14.98	14.66	33.17	64.62	26.79	13.47	74.87	17.88
BRD-K10573841	CP	tunicamycin	GLCNAC phosphotransferase inhibitor	GNPTAB		3.29, 2.35	27.07	2.39, 0.75	25.98	73.67	7.37	65.11	8.48	3.49	68.91	37.23	15.62	46.32	18.98	60.92	98.49	46.64	0.00	77.56	6.10	12.72	16.61	81.05	83.79	11.57	28.16	14.99
BRD-A43849199	CP	karakoline	phytotoxin			3.29, 2.35	27.06	1.60, 0.55	42.37	26.83	27.95	31.78	27.29	41.04	88.54	2.33	16.23	-62.20	39.60	16.31	24.12	64.47	21.09	7.72	55.59	99.58	14.21	85.68	8.89	18.32	29.31	13.93
BRD-K69840642	CP	ISOX	HDAC inhibitor	HDAC6	HDAC inhibitor	5.17, 0.43	27.00	1.81, 0.60	12.28	96.51	54.68	36.77	23.72	12.85	43.38	15.08	20.72	58.29	11.26	37.84	83.03	12.25	28.61	96.41	25.39	25.10	7.49	45.97	87.33	22.14	-15.65	82.45
BRD-K11927976	CP	ER-27319	mediator release inhibitor, syk inhibitor	SYK		8.62, 4.74	26.95	3.42, 1.16	82.78	44.91	23.20	31.39	-67.05	85.01	31.82	16.52	28.52	-0.60	4.55	7.79	2.61	6.76	25.38	99.22	45.66	59.56	-51.35	-26.10	9.37	97.66	92.96	38.54
BRD-K68095457	CP	palmitoylethanolamide	cannabinoid receptor agonist, Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, unidentified pharmacological activity	CNR2, GPR119, GPR55	Cannabinoid receptor agonist	2.59, 1.29	26.95	0.83, 0.24	68.17	24.99	21.74	27.02	60.91	22.37	58.88	88.26	76.71	10.26	57.78	50.31	0.99	19.81	59.09	5.81	14.02	26.87	85.33	93.65	9.93	70.14	6.44	25.41
BRD-K37720887	CP	SB-525334	TGF beta receptor inhibitor	TGFBR1	TGF beta receptor inhibitor	0.86, 0.43	26.92	1.60, 0.44	24.14	-63.95	27.82	30.20	80.27	2.49	65.51	-1.09	42.19	18.95	86.01	61.70	12.42	52.20	43.89	2.11	14.07	26.96	30.81	17.09	26.88	14.82	51.40	7.82
BRD-K05926469	CP	lenalidomide	angiogenesis inhibitor, cereblon inhibitor, tumor apoptosis inducer, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist	CRBN, TNF, CDH5, PTGS2, TNFSF11		7.33, 4.31	26.90	1.30, 0.36	28.91	-19.77	38.77	29.68	96.57	0.39	70.69	25.20	13.12	11.68	85.71	21.47	-3.14	28.60	39.72	-47.80	12.52	91.19	98.52	99.30	12.90	11.57	67.41	12.98
BRD-K59469039	CP	AG-879	angiogenesis inhibitor, EGFR inhibitor, tyrosine kinase inhibitor, VEGFR inhibitor	ERBB2, KDR, NTRK1	EGFR inhibitor, VEGFR inhibitor	2.59, 0.43	26.82	2.11, 0.65	6.99	88.36	16.03	60.29	12.82	14.04	29.07	61.39	19.76	59.39	6.28	34.11	97.65	32.14	14.15	61.17	19.61	37.15	24.57	-45.55	91.50	7.26	-60.75	40.30
BRD-K84141129	CP	VU-0400193-3	glutamate receptor modulator	GRM4		7.33, 4.74	26.80	0.83, 0.27	43.76	80.03	7.67	80.96	22.42	22.89	64.92	33.84	67.19	16.15	1.80	98.03	-1.67	23.10	70.67	29.09	20.54	10.50	14.47	50.80	13.57	76.26	99.54	24.50
BRD-K86873305	CP	piperacillin	cell wall synthesis inhibitor			10.80, 6.57	26.78	1.52, 0.67	6.90	26.01	4.50	99.16	95.58	99.54	99.72	16.75	37.99	27.54	10.88	83.04	18.40	77.01	5.57	16.35	73.46	79.67	9.06	88.90	13.79	6.98	70.93	8.09
BRD-K14618467	CP	IKK-16	IKK inhibitor	IKBKB	IKK inhibitor	5.60, 3.45	26.75	1.49, 0.32	49.11	98.13	28.76	78.26	1.37	42.17	10.82	35.76	2.29	3.10	-20.02	11.00	97.84	24.74	3.72	92.05	65.02	10.19	11.50	-45.65	97.15	40.85	66.62	19.06
BRD-K90382497	CP	GW-843682X	PLK inhibitor	PLK1, PLK3		2.59, 0.43	26.69	0.77, 0.28	7.16	-63.10	5.13	11.03	56.43	19.66	71.07	-1.97	6.48	8.29	27.18	37.29	43.54	37.60	55.30	-7.51	16.91	32.78	75.64	45.31	5.91	26.19	51.73	28.30
BRD-A10070317	CP	propranolol	adrenergic receptor antagonist	ADRB2, ADRB3, ADRB1, CYP2C19, HTR1A, HTR1B		5.60, 3.45	26.53	1.45, 0.47	24.69	5.28	8.38	86.77	27.48	85.91	95.38	41.74	-13.56	5.04	9.66	91.96	4.30	0.21	7.08	25.58	19.47	79.25	59.45	59.61	32.52	30.28	99.72	9.30
BRD-A98702003	CP	carbenoxolone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3		8.19, 4.31	26.50	0.97, 0.31	17.37	3.45	60.65	18.37	66.08	25.37	58.01	27.63	58.00	9.81	38.44	84.09	4.09	39.32	13.37	54.03	98.73	44.13	25.02	97.43	10.20	9.03	24.92	20.75
BRD-K32836707	CP	CAY-10577	casein kinase inhibitor			4.31, 3.45	26.49	1.09, 0.41	48.32	-0.60	64.87	-3.98	35.14	-80.80	30.46	37.10	34.15	1.44	99.47	5.53	16.80	13.37	18.45	16.07	7.00	71.59	62.67	81.90	-4.79	87.62	22.53	39.17
BRD-K94176593	CP	TWS-119	glycogen synthase kinase inhibitor	GSK3B, JUN, MYC	Glycogen synthase kinase inhibitor	4.74, 3.45	26.39	1.14, 0.41	38.68	7.01	51.29	-37.85	51.41	54.15	-94.34	79.74	28.90	1.66	65.52	1.23	-1.76	20.33	73.21	87.87	22.34	42.69	14.94	65.73	98.52	13.04	-41.67	23.88
BRD-K04546108	CP	JAK3-inhibitor-VI	JAK inhibitor	JAK3	JAK inhibitor	5.60, 3.88	26.38	1.86, 0.65	82.30	67.75	53.09	27.83	1.52	24.55	23.66	37.18	10.98	-27.50	7.50	38.20	98.06	5.50	79.31	96.79	24.63	18.61	-8.89	24.93	38.65	83.99	22.30	98.17
BRD-K53123955	CP	niridazole	oogenesis inhibitor, spermatogenesis inhibitor			3.29, 1.88	26.36	0.78, 0.26	43.66	56.12	20.81	25.16	86.83	12.32	79.75	19.16	68.64	7.29	24.60	74.05	5.39	28.37	27.57	7.49	6.70	15.27	16.63	60.11	8.42	72.08	80.14	65.27
BRD-U44618005	CP	WH-4023	src inhibitor	ABL1, LCK, SRC	SRC inhibitor	6.47, 4.31	26.34	1.25, 0.47	12.79	85.48	0.17	6.47	40.76	20.67	57.41	96.70	29.15	94.38	17.97	23.53	6.76	68.17	19.27	53.77	14.12	69.94	42.23	72.56	98.48	3.49	22.24	1.52
BRD-K52075715	CP	oxibendazole	DNA polymerase inhibitor, tubulin inhibitor	TUBB, TUBB4B	Tubulin inhibitor	3.88, 1.29	26.31	1.08, 0.47	29.26	14.13	46.45	57.27	22.44	23.12	-69.55	1.73	14.96	34.22	23.36	16.69	29.94	17.95	40.88	41.35	8.41	14.83	79.69	79.88	-54.71	60.12	39.07	99.26
BRD-A16665823	CP	butoconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor			4.74, 2.59	26.27	0.58, 0.18	26.24	81.56	44.08	32.90	42.32	13.34	57.51	99.33	26.20	27.53	34.90	21.91	16.40	26.31	10.82	6.45	13.81	16.78	98.38	45.27	49.01	24.80	16.22	15.57
BRD-A01317026	CP	7,8-dihydro-L-biopterin	dihydroneopterin aldolase inhibitor	NOS2, TPH1		3.45, 1.72	26.27	0.86, 0.26	83.86	-87.81	-4.03	39.21	1.30	6.83	58.03	63.68	24.89	0.28	37.36	34.96	-24.84	27.65	-7.40	17.23	23.82	61.95	21.56	76.18	31.94	49.60	7.05	67.51
BRD-A94543220	CP	bifonazole	cell wall synthesis inhibitor, sterol demethylase inhibitor	CYP2B6		4.19, 1.57	26.14	1.10, 0.36	72.16	-0.32	3.21	4.69	52.51	39.62	57.53	18.39	57.70	3.69	85.97	25.01	14.08	21.30	22.61	21.47	37.66	53.94	53.91	99.08	27.27	14.91	-65.62	42.80
BRD-A14985772	CP	ascorbyl-palmitate	antioxidant			8.62, 5.17	26.09	1.15, 0.44	72.48	-51.60	96.48	13.25	81.54	-36.60	40.07	15.67	36.75	24.90	47.16	4.11	22.82	82.41	99.44	8.74	10.06	12.10	27.91	98.34	27.28	42.75	-81.58	0.98
BRD-K40255344	CP	tyrphostin-A9	protein tyrosine kinase inhibitor, tyrosine kinase inhibitor			3.02, 2.16	26.01	2.16, 0.70	35.73	94.64	10.61	60.19	-1.69	15.84	64.28	71.55	24.05	81.39	-8.41	49.65	98.87	5.99	2.75	27.97	6.98	23.36	48.26	19.01	88.29	4.90	43.46	23.51
BRD-K99749624	CP	linifanib	PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, colony stimulating factor receptor inhibitor, FLT3 inhibitor, macrophage colony stimulating factor antagonist, MAP kinase inhibitor, PARP inhibitor, receptor tyrosine kinase inhibitor, STAT inhibitor, VEGFR antagonist	CSF1R, KDR, PDGFRB, FLT1, FLT3, FLT4, CSF1, KIT, PDGFRA, RET, TEK		4.74, 3.88	25.91	1.02, 0.49	79.01	23.57	24.34	21.74	51.42	27.49	57.67	53.47	3.21	3.27	8.53	34.93	94.89	-12.26	51.08	90.07	4.87	22.44	4.27	-4.14	7.93	52.51	48.77	66.28
BRD-K64606589	CP	apicidin	HDAC inhibitor	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	0.43, 0.00	25.86	1.56, 0.50	18.92	92.57	19.19	68.87	45.90	8.17	40.17	49.56	67.53	4.69	9.13	21.52	88.49	20.59	52.81	87.04	27.52	21.06	-0.74	7.25	59.80	24.19	10.32	58.61
BRD-K19220233	CP	JNK-9L	JNK inhibitor	MAPK8		6.06, 3.90	25.84	1.32, 0.67	96.71	56.53	34.04	50.20	14.83	83.11	51.85	0.15	18.32	NaN	22.91	12.04	0.95	10.28	0.00	98.73	25.84	64.20	7.46	-11.14	21.23	60.17	47.43	94.12
BRD-K49669041	CP	BX-912	AKT inhibitor, phosphoinositide dependent kinase inhibitor, pyruvate dehydrogenase kinase inhibitor	PDPK1, AKT2, CDK2, CHEK1, GSK3B, KDR, PDK1		5.17, 3.02	25.62	0.92, 0.26	61.29	10.39	14.13	86.33	53.04	23.36	53.18	0.88	10.67	0.88	-1.30	33.52	96.72	24.56	0.00	51.34	20.80	26.68	42.35	50.43	72.81	13.42	74.29	11.08
BRD-A72711497	CP	lasalocid	ionophore antibiotic			4.69, 1.41	25.55	2.03, 0.66	13.08	99.12	8.51	81.81	7.07	44.56	21.41	44.41	15.59	51.51	-12.18	18.05	95.84	5.16	2.36	58.95	25.67	44.14	51.72	-52.68	92.08	4.35	25.42	34.49
BRD-K04923131	CP	GSK-3-inhibitor-IX	glycogen synthase kinase inhibitor, lipoxygenase inhibitor, PKC inhibitor	ALOX5, GSK3A, GSK3B	Glycogen synthase kinase inhibitor, PKC inhibitor	2.16, 1.29	25.54	1.55, 0.44	43.72	41.09	4.79	48.05	8.76	10.21	32.61	49.75	33.85	3.15	5.25	10.26	85.41	11.52	12.68	87.42	78.29	26.13	24.95	7.82	92.25	5.28	6.41	29.42
BRD-A98283014	CP	calmidazolium	calcium channel blocker, calmodulin antagonist	ATP2B1, PDE1A		5.98, 3.26	25.50	2.63, 0.69	12.18	86.65	17.99	97.74	47.75	70.32	32.72	96.26	-15.81	4.51	-5.90	63.36	98.48	5.48	7.31	17.81	-9.77	7.90	18.28	14.10	72.45	38.65	72.42	56.63
BRD-K91145395	CP	prostratin	NFkB pathway activator, PKC activator	PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCQ	PKC activator	4.31, 1.72	25.46	3.63, 1.03	8.86	49.34	31.73	32.74	76.88	12.51	47.05	13.88	40.77	25.42	35.46	-23.37	97.96	10.42	-16.37	-2.92	7.61	25.50	46.46	67.37	-95.48	11.29	40.06	7.81
BRD-A62057054	CP	MDL-11939	serotonin receptor antagonist	HTR2A, HTR2B, HTR2C		1.41, 0.94	25.43	1.39, 0.53	28.78	10.41	14.43	7.33	37.52	71.34	71.42	10.68	19.86	6.22	41.38	3.21	0.00	17.41	67.13	7.40	28.72	62.63	57.94	58.70	37.04	20.20	24.10	26.75
BRD-K39944607	CP	ochratoxin-a	phenylalanyl tRNA synthetase inhibitor	SLC22A6		4.74, 3.02	25.40	1.39, 0.57	63.04	63.52	26.28	55.17	-0.78	13.84	60.41	6.47	57.40	4.40	-1.48	79.37	-1.83	62.00	88.41	97.85	16.45	9.31	16.07	-33.19	0.00	24.51	41.42	36.56
BRD-K16406336	CP	methylene-blue	guanylate cyclase inhibitor, monoamine oxidase inhibitor, nitric oxide production inhibitor, tau aggregation inhibitor	ACHE, MAPT		2.59, 0.43	25.32	2.94, 0.64	12.82	52.73	11.28	75.61	28.88	7.08	22.31	71.95	11.63	7.65	2.36	13.40	95.38	42.81	22.30	83.97	49.38	45.65	32.83	3.03	19.99	34.42	28.33	14.43
BRD-K05658747	CP	raltegravir	HIV integrase inhibitor			3.02, 0.86	25.24	0.99, 0.31	31.54	-8.80	1.01	7.22	21.71	1.90	95.95	41.79	56.44	5.63	20.84	50.18	0.00	93.12	29.02	15.48	-10.18	71.94	26.83	97.61	11.27	63.62	52.10	23.65
BRD-K61480498	CP	epoxycholesterol	LXR agonist	NR1H2, NR1H3		6.47, 2.59	25.21	1.11, 0.42	51.26	25.11	89.25	8.84	16.10	0.92	64.59	-34.17	82.15	3.34	25.31	59.15	7.76	61.35	97.43	21.24	30.48	62.40	9.66	21.49	28.55	19.30	46.93	4.19
BRD-K70577657	CP	H-9	cAMP dependent protein kinase inhibitor, PKA inhibitor	PRKACA	PKA inhibitor	3.88, 2.59	25.20	0.55, 0.11	27.18	15.96	12.37	45.82	84.11	15.14	71.85	9.30	23.65	3.72	52.66	5.18	87.51	93.54	10.18	26.75	22.02	33.29	56.37	85.46	8.55	5.21	35.96	7.43
BRD-K64451768	CP	GANT-58	GLI antagonist	DHH, GLI1, IHH		2.16, 0.86	25.16	0.66, 0.23	28.98	29.39	10.60	17.23	50.29	77.96	77.94	15.25	7.43	2.50	19.99	61.87	1.09	7.28	49.08	-6.71	21.34	67.35	35.61	88.43	59.01	3.91	84.71	8.53
BRD-K85133207	CP	HDAC1-selective	HDAC inhibitor			1.92, 0.96	25.14	0.35, 0.22	25.73	17.83	16.07	35.71	27.46	29.28	66.23	26.14	2.85	11.53	13.20	39.41	0.99	12.24	24.54	8.37	16.33	14.41	31.90	97.01	35.53	12.34	42.26	26.57
BRD-K82577285	CP	dipropyl-dopamine	dopamine receptor agonist			4.69, 2.82	25.10	2.07, 0.69	62.63	20.56	23.64	59.24	81.22	98.02	81.10	0.00	5.85	-5.40	26.57	11.00	9.33	8.25	5.92	31.24	75.17	99.75	2.39	44.31	44.81	23.13	84.03	12.98
BRD-K28907958	CP	CD-437	RAR agonist, retinoid receptor agonist	RARG		3.02, 1.29	25.10	3.42, 0.89	19.78	68.86	44.84	12.49	25.30	34.00	74.91	5.75	24.90	21.24	4.53	30.06	97.82	7.40	75.92	92.78	8.26	43.78	1.69	1.48	10.27	48.97	26.02	7.47
BRD-K04833372	CP	GSK-1904529A	insulin growth factor receptor inhibitor, insulin receptor ligand	IGF1R, INSR		5.17, 3.02	25.10	1.94, 0.52	23.74	-0.21	34.92	35.96	89.77	19.11	98.95	10.49	42.28	61.69	26.45	73.73	8.95	18.74	19.63	1.94	15.33	6.69	17.18	98.94	37.40	5.29	62.88	41.20
BRD-K12184916	CP	NVP-BEZ235	mTOR inhibitor, PI3K inhibitor, protein kinase inhibitor	MTOR, PIK3CA, PIK3CG, PIK3CD, ATR, PIK3CB	MTOR inhibitor, PI3K inhibitor	2.16, 0.43	25.06	2.02, 0.53	6.87	79.96	20.51	24.08	13.56	9.76	44.27	19.58	15.67	27.29	5.29	60.77	85.12	26.05	-26.83	72.05	30.22	10.69	38.52	43.97	84.37	8.51	48.93	8.53
BRD-K20714604	CP	RS-56812	serotonin receptor antagonist, serotonin receptor partial agonist	HTR3A		3.88, 1.72	25.06	0.95, 0.38	71.76	9.75	15.04	45.72	85.90	46.03	74.87	84.61	-1.48	19.92	81.93	60.75	1.27	20.40	17.71	4.58	29.73	71.70	52.32	16.35	5.54	19.95	84.61	6.20
BRD-K61341215	CP	vecuronium	acetylcholine receptor antagonist	CHRNA2		3.02, 1.29	25.06	0.75, 0.28	31.93	23.64	3.26	-35.48	66.45	0.28	53.45	28.01	45.11	7.12	9.95	26.82	-0.99	26.49	39.43	7.93	22.65	7.38	27.49	85.08	11.89	20.60	46.18	30.42
BRD-A99449986	CP	MT-21	adenine nucleotide translocase inhibitor, caspase activator, neurotrophic agent	CYCS, SLC25A4		3.88, 1.29	25.01	0.67, 0.20	37.70	71.21	0.14	59.16	52.96	14.78	57.43	87.73	68.87	7.92	13.79	26.18	1.62	12.93	-7.08	36.36	25.09	25.76	16.91	-69.58	24.93	19.37	77.67	15.47
BRD-K81062487	CP	taurocholic-acid	bile acid	CEL, FXR, NR1H4, FABP6, SLCO1C1	Bile acid	2.16, 1.29	24.84	0.78, 0.30	9.82	12.63	8.61	-25.49	81.26	41.10	-21.69	26.90	68.79	63.03	81.86	31.92	-14.69	22.78	61.10	0.00	7.86	8.07	0.35	62.87	41.82	30.53	72.95	21.40
BRD-K67506692	CP	tyrphostin-AG-126	ERK1 and ERK2 phosphorylation inhibitor, tyrosine kinase inhibitor			5.60, 3.02	24.75	1.78, 0.40	29.21	52.97	23.73	58.69	44.78	25.77	91.66	16.97	13.43	10.40	9.88	46.67	96.37	30.35	0.00	6.79	14.93	6.26	29.29	20.07	7.54	30.19	57.89	15.37
