indication,pert_iname
Liver Cirrhosis,epinephrine
Acute Kidney Injury,epinephrine
Mydriasis,epinephrine
Bacteremia,epinephrine
Colonic Neoplasms,epinephrine
Critical Illness,epinephrine
Pancreatitis,epinephrine
Nervous System Diseases,epinephrine
Peripheral Nervous System Diseases,epinephrine
Hip Injuries,epinephrine
Cicatrix,epinephrine
Nausea,epinephrine
Vomiting,epinephrine
Postoperative Nausea and Vomiting,epinephrine
Gingival Recession,epinephrine
Cervical Intraepithelial Neoplasia,epinephrine
Urinary Incontinence,epinephrine
"Urinary Incontinence, Stress",epinephrine
Urinary Retention,epinephrine
Oral Hemorrhage,epinephrine
Heart Diseases,eplerenone
"Heart Defects, Congenital",eplerenone
Univentricular Heart,eplerenone
Tetralogy of Fallot,eplerenone
Transposition of Great Vessels,eplerenone
Sleep Apnea Syndromes,eplerenone
"Sleep Apnea, Obstructive",eplerenone
"Hypertrophy, Left Ventricular",eplerenone
Hypertrophy,eplerenone
Systolic Murmurs,eplerenone
Obesity,eplerenone
Intervertebral Disc Degeneration,eplerenone
Radiculopathy,eplerenone
Back Pain,eplerenone
Low Back Pain,eplerenone
"Heart Failure, Diastolic",eplerenone
Ventricular Remodeling,eplerenone
Myocardial Ischemia,eplerenone
Coronary Artery Disease,eplerenone
Ischemia,eplerenone
Chest Pain,eplerenone
Ventricular Dysfunction,eplerenone
"Ventricular Dysfunction, Left",eplerenone
Insulin Resistance,eplerenone
"Obesity, Abdominal",eplerenone
Hyperaldosteronism,eplerenone
Cardiovascular Diseases,eplerenone
Overweight,eplerenone
Aneurysm,eplerenone
Aortic Aneurysm,eplerenone
"Aortic Aneurysm, Abdominal",eplerenone
Surgical Wound Infection,erythromycin
Wound Infection,erythromycin
Eyelid Diseases,erythromycin
Wounds and Injuries,erythromycin
Surgical Wound,erythromycin
Blepharitis,erythromycin
Nasopharyngeal Neoplasms,erythromycin
Adenomatous Polyposis Coli,erythromycin
Intraoperative Awareness,esmolol
"Pain, Postoperative",esmolol
Acute Coronary Syndrome,esmolol
Vascular Diseases,esmolol
Heart Diseases,esmolol
Hemorrhagic Stroke,esmolol
Myocardial Ischemia,esmolol
Constipation,esmolol
Vomiting,esmolol
Tinnitus,esmolol
"Reflex, Abnormal",esmolol
"Shock, Cardiogenic",esmolol
Drug Overdose,esmolol
Gallstones,esmolol
Cholelithiasis,esmolol
Cholecystolithiasis,esmolol
Cardiomyopathies,esmolol
"Cardiomyopathy, Hypertrophic",esmolol
Hypertrophy,esmolol
Depression,omeprazole
Myocardial Ischemia,omeprazole
Coronary Disease,omeprazole
Heart Diseases,omeprazole
Tinea,omeprazole
Tinea Pedis,omeprazole
Tinea cruris,omeprazole
Gout,omeprazole
Eosinophilic Esophagitis,omeprazole
Laryngopharyngeal Reflux,omeprazole
Sinusitis,omeprazole
"Obesity, Morbid",omeprazole
Osteoarthritis,omeprazole
Back Pain,omeprazole
Low Back Pain,omeprazole
Gastroparesis,omeprazole
Osteoporosis,omeprazole
Hip Fractures,omeprazole
Hypoalbuminemia,omeprazole
Stomach Diseases,omeprazole
"Anemia, Iron-Deficiency",omeprazole
Inflammation,omeprazole
Hypothyroidism,omeprazole
Intestinal Diseases,omeprazole
Inflammatory Bowel Diseases,omeprazole
Laryngitis,omeprazole
Rotator Cuff Injuries,omeprazole
Opioid-Related Disorders,omeprazole
Respiratory Aspiration of Gastric Contents,omeprazole
Hypersensitivity,omeprazole
Food Hypersensitivity,omeprazole
Liver Cirrhosis,ethylenediaminetetraacetic-acid
Fibrosis,ethylenediaminetetraacetic-acid
Heavy Metal Poisoning,ethylenediaminetetraacetic-acid
Hypersensitivity,etodolac
Cytokine Release Syndrome,etoposide
Sprains and Strains,etoricoxib
Headache,etoricoxib
Hallux Valgus,etoricoxib
Bunion,etoricoxib
Rupture,etoricoxib
"Ossification, Heterotopic",etoricoxib
Ankle Injuries,etoricoxib
Contusions,etoricoxib
Appendicitis,etoricoxib
Ovarian Cysts,etoricoxib
Cholecystitis,etoricoxib
Fibromyalgia,etoricoxib
Myofascial Pain Syndromes,etoricoxib
Tendinopathy,etoricoxib
Periodontitis,etoricoxib
Gout,etoricoxib
Hepatitis A,etravirine
Hepatitis C,etravirine
Hepatitis B,etravirine
"Hepatitis C, Chronic",etravirine
Hepatitis,etravirine
Heart Diseases,famotidine
Coronary Disease,famotidine
Coronary Artery Disease,famotidine
Myocardial Ischemia,famotidine
Myocardial Infarction,famotidine
Acute Coronary Syndrome,famotidine
Infarction,famotidine
"Heart Defects, Congenital",famotidine
Ulcer,famotidine
Esophageal Motility Disorders,famotidine
"Esophageal Spasm, Diffuse",famotidine
"Pneumonia, Aspiration",famotidine
Peptic Ulcer,famotidine
Syndrome,famotidine
Arthritis,famotidine
"Arthritis, Juvenile",famotidine
Respiratory Aspiration of Gastric Contents,famotidine
Myocardial Infarction,fasudil
ST Elevation Myocardial Infarction,fasudil
Infarction,fasudil
"Renal Insufficiency, Chronic",febuxostat
Coronary Disease,febuxostat
Coronary Artery Disease,febuxostat
Myocardial Ischemia,febuxostat
Urolithiasis,febuxostat
Urinary Calculi,febuxostat
Prehypertension,febuxostat
Inflammation,febuxostat
"Ventricular Dysfunction, Left",febuxostat
Metabolic Syndrome,febuxostat
Diabetes Mellitus,febuxostat
"Diabetes Mellitus, Type 1",febuxostat
COVID-19,felodipine
Coronavirus Infections,felodipine
"Hypertrophy, Left Ventricular",felodipine
Hypertrophy,felodipine
Coronary Artery Disease,fenoldopam
Gout,fexofenadine
Skin Diseases,fexofenadine
"Arthritis, Gouty",fexofenadine
Nerve Degeneration,fingolimod
Diabetes Mellitus,fingolimod
"Diabetes Mellitus, Type 2",fingolimod
Neurobehavioral Manifestations,fingolimod
Depression,fingolimod
Depressive Disorder,fingolimod
"Arrhythmias, Cardiac",flecainide
Brugada Syndrome,flecainide
Immunologic Deficiency Syndromes,fluconazole
"Lung Diseases, Fungal",fluconazole
Central Nervous System Fungal Infections,fluconazole
Lung Diseases,fluconazole
Bacterial Infections and Mycoses,fluconazole
"Leukemia, Myeloid, Chronic-Phase",flumatinib
Delirium,flumazenil
Hypokinesia,flumazenil
Fistula,flumazenil
Bipolar Disorder,fluoxetine
"Kidney Failure, Chronic",fluoxetine
Substance-Related Disorders,fluoxetine
Alcohol-Related Disorders,fluoxetine
Premenstrual Dysphoric Disorder,fluoxetine
Cytokine Release Syndrome,fluoxetine
Sleep Initiation and Maintenance Disorders,fluoxetine
Anorexia,fluoxetine
Feeding and Eating Disorders,fluoxetine
Anorexia Nervosa,fluoxetine
Down Syndrome,fluoxetine
Self Mutilation,fluoxetine
Borderline Personality Disorder,fluoxetine
Insulin Resistance,fluoxetine
Inflammation,fluoxetine
Weight Gain,fluoxetine
Recurrence,fluoxetine
Kidney Diseases,fluoxetine
"Multiple Sclerosis, Relapsing-Remitting",fluoxetine
Combat Disorders,fluoxetine
Bulimia Nervosa,fluoxetine
Schizophrenia Spectrum and Other Psychotic Disorders,fluphenazine
Psychotic Disorders,fluspirilene
Schizophrenia Spectrum and Other Psychotic Disorders,fluspirilene
Premenstrual Syndrome,flutamide
Premenstrual Dysphoric Disorder,flutamide
"Depressive Disorder, Major",fluvoxamine
Mental Disorders,fluvoxamine
Cerebral Small Vessel Diseases,folic-acid
Dyslipidemias,folic-acid
Gout,folic-acid
Intestinal Diseases,folic-acid
Inflammatory Bowel Diseases,folic-acid
Osteoarthritis,folic-acid
Feeding and Eating Disorders,folic-acid
Dyspepsia,folic-acid
Infant Nutrition Disorders,folic-acid
Hyperhomocysteinemia,folic-acid
Retinal Diseases,folic-acid
Diabetic Retinopathy,folic-acid
Metabolic Syndrome,folic-acid
Fetal Growth Retardation,folic-acid
Essential Hypertension,folic-acid
Hepatitis A,folic-acid
Hepatitis C,folic-acid
Hepatitis,folic-acid
Urologic Diseases,folic-acid
Acute Kidney Injury,folic-acid
Postpartum Hemorrhage,folic-acid
"Heart Failure, Diastolic",furosemide
Proteinuria,furosemide
Hypotension,furosemide
Diabetic Nephropathies,furosemide
"Kidney Tubular Necrosis, Acute",furosemide
Necrosis,furosemide
Apnea,furosemide
Sleep Apnea Syndromes,furosemide
"Sleep Apnea, Obstructive",furosemide
Insulin Resistance,furosemide
Coronary Vasospasm,furosemide
Ventricular Dysfunction,furosemide
"Ventricular Dysfunction, Right",furosemide
Osteoarthritis,gabapentin
Sensation Disorders,gabapentin
Shoulder Pain,gabapentin
Subarachnoid Hemorrhage,gabapentin
Hemorrhage,gabapentin
Headache,gabapentin
Hand Injuries,gabapentin
"Osteoarthritis, Knee",gabapentin
Arthritis,gabapentin
Necrosis,gabapentin
Urethral Obstruction,gabapentin
Cholecystolithiasis,gabapentin
Cholelithiasis,gabapentin
Gallstones,gabapentin
"Diabetes Mellitus, Type 2",gabapentin
Musculoskeletal Diseases,gabapentin
Neoplasms,gabapentin
Colonic Neoplasms,gabapentin
Rectal Neoplasms,gabapentin
Ileus,gabapentin
Diverticulitis,gabapentin
Diverticulum,gabapentin
"Diverticulitis, Colonic",gabapentin
Constipation,gabapentin
Facial Pain,gabapentin
Asthma,gabapentin
Failed Back Surgery Syndrome,gabapentin
Urethral Stricture,gabapentin
Tissue Adhesions,gabapentin
Abdominal Pain,gabapentin
"Epilepsy, Complex Partial",gabapentin
Puerperal Disorders,gabapentin
Agnosia,gabapentin
"Dilatation, Pathologic",gabapentin
Tonsillitis,gabapentin
"Fractures, Bone",gabapentin
"Fractures, Multiple",gabapentin
Kidney Calculi,gabapentin
Nephrolithiasis,gabapentin
Calculi,gabapentin
Paresthesia,gabapentin
Chest Pain,gabapentin
Keratoconus,gabapentin
Alzheimer Disease,gabapentin
Radiculopathy,gabapentin
Hernia,gabapentin
Tarlov Cysts,gabapentin
Cerebral Palsy,gabapentin
Colitis,gabapentin
"Colitis, Ulcerative",gabapentin
Irritable Bowel Syndrome,gabapentin
Cystitis,gabapentin
"Cystitis, Interstitial",gabapentin
Prostatitis,gabapentin
Ulcer,gabapentin
Herpes Simplex,gabapentin
Herpes Zoster,gabapentin
Complex Regional Pain Syndromes,gabapentin
Reflex Sympathetic Dystrophy,gabapentin
Viremia,ganciclovir
Hematologic Diseases,ganciclovir
Acute Kidney Injury,ganciclovir
Multiple Organ Failure,ganciclovir
DNA Virus Infections,ganciclovir
Herpesviridae Infections,ganciclovir
"Pneumonia, Viral",ganciclovir
Fever,gatifloxacin
Typhoid Fever,gatifloxacin
Hyperthermia,gatifloxacin
"Lymphohistiocytosis, Hemophagocytic",gemcitabine
Atherosclerosis,gemfibrozil
"Plaque, Atherosclerotic",gemfibrozil
Gonorrhea,gemifloxacin
Toxemia,genistein
Sepsis,genistein
Subarachnoid Hemorrhage,glibenclamide
Hemorrhage,glibenclamide
Pregnancy in Diabetics,glibenclamide
Cardiomegaly,glibenclamide
Obesity,glibenclamide
Hypertrophy,glibenclamide
Carotid Artery Diseases,glibenclamide
Coronary Artery Disease,glibenclamide
Myocardial Ischemia,glibenclamide
Coronary Disease,glibenclamide
Hypertension,glibenclamide
Diabetic Nephropathies,gliclazide
Liver Diseases,gliclazide
Fatty Liver,gliclazide
Non-alcoholic Fatty Liver Disease,gliclazide
Angina Pectoris,gliclazide
Osteoporosis,gliclazide
"Bone Diseases, Metabolic",gliclazide
Inflammation,glipizide
"Diabetes Mellitus, Type 1",glipizide
Hyperglycemia,glipizide
Coronary Artery Disease,glipizide
Myocardial Ischemia,glipizide
Coronary Disease,glipizide
Diabetes Mellitus,gliquidone
"Diabetes Mellitus, Type 2",gliquidone
Hypotension,glycopyrrolate
Appendicitis,glycopyrrolate
Critical Illness,glycopyrrolate
Nausea,glycopyrrolate
Vomiting,glycopyrrolate
Postoperative Nausea and Vomiting,glycopyrrolate
Coronary Artery Disease,glycopyrrolate
Neoplasms,glycopyrrolate
Urinary Bladder Neoplasms,glycopyrrolate
Urologic Neoplasms,glycopyrrolate
Delirium,glycopyrrolate
Emergence Delirium,glycopyrrolate
Body Weight,glycopyrrolate
Abdominal Neoplasms,glycopyrrolate
Seizures,glycopyrrolate
Hydrocephalus,glycopyrrolate
Epilepsy,glycopyrrolate
Headache,glycopyrrolate
Neurofibromatoses,glycopyrrolate
Urinary Retention,glycopyrrolate
Gallstones,glycopyrrolate
Cholelithiasis,glycopyrrolate
Cholecystolithiasis,glycopyrrolate
Myofibroma,goserelin-acetate
"Bulbo-Spinal Atrophy, X-Linked",goserelin-acetate
Atrophy,goserelin-acetate
Cross Infection,grazoprevir
Substance-Related Disorders,grazoprevir
"Substance Abuse, Intravenous",grazoprevir
Cardiovascular Diseases,grazoprevir
Coinfection,grazoprevir
Metabolic Diseases,grazoprevir
Hyperkinesis,haloperidol
Depression,haloperidol
"Stress Disorders, Traumatic",haloperidol
"Stress Disorders, Post-Traumatic",haloperidol
Abdominal Pain,haloperidol
Gastroparesis,haloperidol
Migraine Disorders,haloperidol
Headache,haloperidol
Behavioral Symptoms,haloperidol
Alzheimer Disease,haloperidol
Marijuana Abuse,haloperidol
Postoperative Nausea and Vomiting,haloperidol
Breast Neoplasms,haloperidol
Labor Pain,haloperidol
Anxiety Disorders,ibuprofen
Knee Injuries,ibuprofen
Gallbladder Diseases,ibuprofen
Leiomyoma,ibuprofen
Myofibroma,ibuprofen
Adenomyosis,ibuprofen
"Pain, Procedural",ibuprofen
Intervertebral Disc Displacement,ibuprofen
Radiculopathy,ibuprofen
Drug-Related Side Effects and Adverse Reactions,ibuprofen
Pituitary Neoplasms,ibuprofen
Pituitary Diseases,ibuprofen
Syndrome,ibuprofen
Severe Acute Respiratory Syndrome,ibuprofen
Rib Fractures,ibuprofen
"Osteoarthritis, Hip",ibuprofen
Lower Urinary Tract Symptoms,ibuprofen
Myofascial Pain Syndromes,ibuprofen
Fibromyalgia,ibuprofen
Somatoform Disorders,ibuprofen
Toxemia,ibuprofen
"Hypertension, Pregnancy-Induced",ibuprofen
Kidney Calculi,ibuprofen
Otorhinolaryngologic Diseases,ibuprofen
Intracranial Hemorrhages,ibuprofen
Hematologic Diseases,ibuprofen
Humeral Fractures,ibuprofen
Urinary Tract Infections,ibuprofen
Pelvic Pain,ibuprofen
"Cardiac Complexes, Premature",ibuprofen
HELLP Syndrome,ibuprofen
Arthritis,ibuprofen
Urethral Stricture,ibuprofen
Shoulder Pain,ibuprofen
Migraine without Aura,ibuprofen
Obesity,ibuprofen
Cystitis,ibuprofen
"Hernia, Inguinal",ibuprofen
"Influenza, Human",ibuprofen
Birth Weight,ibuprofen
Nausea,ibuprofen
Constipation,ibuprofen
Depression,ibuprofen
Mycoses,ibuprofen
Bacterial Infections,ibuprofen
Bacterial Infections and Mycoses,ibuprofen
Streptococcal Infections,ibuprofen
Infertility,ibuprofen
"Infertility, Female",ibuprofen
Heart Diseases,ibuprofen
Myocardial Ischemia,ibuprofen
Coronary Artery Disease,ibuprofen
"Seizures, Febrile",ibuprofen
Postoperative Complications,ibuprofen
"Fractures, Multiple",ibuprofen
Intestinal Diseases,ibuprofen
Inflammatory Bowel Diseases,ibuprofen
Nail Diseases,ibuprofen
"Nails, Malformed",ibuprofen
Rotator Cuff Injuries,ibuprofen
Diverticulitis,ibuprofen
"Obesity, Morbid",ibuprofen
Sciatica,ibuprofen
Delirium,ibuprofen
Hip Fractures,ibuprofen
Torticollis,ibuprofen
"Multiple Sclerosis, Relapsing-Remitting",ibuprofen
"Abnormalities, Drug-Induced",ibutilide
Panniculitis,ifosfamide
Respiration Disorders,imatinib
Respiratory Tract Diseases,imatinib
Polyneuropathies,imipramine
Foot Diseases,imiquimod
Alopecia,imiquimod
Alopecia Areata,imiquimod
Hyperplasia,imiquimod
COVID-19,indapamide
Coronavirus Infections,indapamide
Renal Insufficiency,indapamide
Hemophilia A,indinavir
HIV-Associated Lipodystrophy Syndrome,indinavir
Lipodystrophy,indinavir
Atherosclerosis,indobufen
Coronary Artery Disease,indobufen
Myocardial Ischemia,indobufen
Gastroesophageal Reflux,indobufen
"Esophagitis, Peptic",indobufen
Stroke,indobufen
Ischemic Stroke,indobufen
Cerebral Infarction,indobufen
Ischemia,indobufen
Sprains and Strains,indometacin
Ankle Injuries,indometacin
Macular Edema,indometacin
Pregnancy Complications,indometacin
Obstetric Labor Complications,indometacin
Uterine Cervical Incompetence,indometacin
Enuresis,indometacin
Urinary Incontinence,indometacin
Nocturnal Enuresis,indometacin
Heat Stress Disorders,indometacin
Tennis Elbow,indometacin
"Osteoarthritis, Knee",indometacin
Cataract,indometacin
Obesity,irbesartan
Coronavirus Infections,irbesartan
"Diabetes Mellitus, Type 2",irbesartan
Respiration Disorders,irbesartan
Respiratory Tract Diseases,irbesartan
"Obesity, Abdominal",irbesartan
Myocardial Infarction,irbesartan
Infarction,irbesartan
Diabetes Mellitus,irbesartan
Albuminuria,irbesartan
Insulin Resistance,irbesartan
Hypersensitivity,irbesartan
Dyslipidemias,irbesartan
"Hypertrophy, Left Ventricular",irbesartan
Hypertrophy,irbesartan
Heart Diseases,irbesartan
Metabolic Syndrome,irbesartan
Wounds and Injuries,irsogladine
Alcoholism,isoniazid
"Diabetes Mellitus, Type 2",isoniazid
Inflammation,isoniazid
Opioid-Related Disorders,isoniazid
"Behavior, Addictive",isoniazid
Hepatitis A,isoniazid
Hepatitis,isoniazid
Immunologic Deficiency Syndromes,isoniazid
Kidney Diseases,isoniazid
"Kidney Failure, Chronic",isoniazid
"Tuberculosis, Spinal",isoniazid
Reinfection,isoniazid
Renal Insufficiency,isoniazid
Heart Diseases,isosorbide-mononitrate
"Angina, Unstable",isosorbide-mononitrate
Atherosclerosis,isosorbide-mononitrate
Insulin Resistance,isosorbide-mononitrate
Metabolic Syndrome,isosorbide-mononitrate
Coronary Stenosis,isosorbide-mononitrate
"Constriction, Pathologic",isosorbide-mononitrate
Pre-Eclampsia,isosorbide-mononitrate
"Obstetric Labor, Premature",isosorbide-mononitrate
"Hypertension, Portal",isosorbide-mononitrate
Gastrointestinal Hemorrhage,isosorbide-mononitrate
Hemorrhage,isosorbide-mononitrate
Pulmonary Edema,isosorbide-mononitrate
Edema,isosorbide-mononitrate
Bone Diseases,isosorbide-mononitrate
Diabetes Mellitus,isosorbide-mononitrate
"Diabetes Mellitus, Type 2",isosorbide-mononitrate
Stillbirth,isosorbide-mononitrate
Fetal Death,isosorbide-mononitrate
Death,isosorbide-mononitrate
Graft vs Host Disease,itraconazole
Brain Neoplasms,itraconazole
Neuroblastoma,itraconazole
Wilms Tumor,itraconazole
Retinoblastoma,itraconazole
Acute Disease,ivacaftor
Critical Illness,ketanserin
Temporomandibular Joint Disorders,ketoprofen
Temporomandibular Joint Dysfunction Syndrome,ketoprofen
Neuralgia,ketoprofen
Lymphedema,ketoprofen
Sciatica,ketoprofen
Agnosia,ketoprofen
Tooth Loss,ketoprofen
Tendinopathy,ketorolac
Low Back Pain,ketorolac
Hemorrhage,ketorolac
Postpartum Hemorrhage,ketorolac
Hemostatic Disorders,ketorolac
Blood Coagulation Disorders,ketorolac
Postoperative Hemorrhage,ketorolac
Carpal Tunnel Syndrome,ketorolac
Radius Fractures,ketorolac
Tension-Type Headache,ketorolac
Sleep Wake Disorders,ketorolac
Urinary Incontinence,ketorolac
Enuresis,ketorolac
"Urinary Incontinence, Stress",ketorolac
Prolapse,ketorolac
Pelvic Organ Prolapse,ketorolac
Brain Neoplasms,ketorolac
Sleep Apnea Syndromes,ketorolac
"Sleep Apnea, Obstructive",ketorolac
Musculoskeletal Pain,ketorolac
Hip Dislocation,ketorolac
Developmental Dysplasia of the Hip,ketorolac
"Hip Dislocation, Congenital",ketorolac
Paralysis,ketorolac
Cerebral Palsy,ketorolac
"Heart Defects, Congenital",ketorolac
Myofascial Pain Syndromes,ketorolac
Fibromyalgia,ketorolac
Syndrome,ketorolac
Somatoform Disorders,ketorolac
Cleft Lip,ketorolac
Necrosis,ketorolac
Ureteral Calculi,ketorolac
Ureterolithiasis,ketorolac
Blindness,ketorolac
Retinal Detachment,ketorolac
Premature Birth,ketorolac
Malocclusion,ketorolac
Coronary Artery Disease,ketorolac
Joint Diseases,ketorolac
Hypertrophy,ketorolac
"Anemia, Sickle Cell",ketorolac
Hematologic Diseases,ketorolac
Substance Withdrawal Syndrome,ketorolac
Pelvic Pain,ketorolac
Neoplasms,ketorolac
Colonic Neoplasms,ketorolac
Rectal Neoplasms,ketorolac
Ileus,ketorolac
Diverticulitis,ketorolac
Diverticulum,ketorolac
"Diverticulitis, Colonic",ketorolac
Constipation,ketorolac
Vomiting,ketorolac
Migraine with Aura,ketorolac
Migraine without Aura,ketorolac
Hyperopia,ketorolac
Diabetes Mellitus,ketorolac
"Diabetes Mellitus, Type 2",ketorolac
Cystitis,ketorolac
"Cystitis, Interstitial",ketorolac
Macular Degeneration,ketorolac
Wet Macular Degeneration,ketorolac
Infertility,ketorolac
"Infertility, Female",ketorolac
Hernia,ketorolac
Hematologic Neoplasms,ketorolac
Rib Fractures,ketorolac
"Fractures, Multiple",ketorolac
"Hernia, Abdominal",ketorolac
Internal Hernia,ketorolac
Knee Injuries,ketorolac
Hyperalgesia,ketorolac
Mydriasis,ketorolac
Opioid-Related Disorders,ketorolac
Keratoconus,ketorolac
Hematoma,ketorolac
Otitis Media,ketorolac
Pharyngitis,ketorolac
Gallstones,ketorolac
Cholelithiasis,ketorolac
Cholecystolithiasis,ketorolac
Myocardial Infarction,ketotifen
ST Elevation Myocardial Infarction,ketotifen
Infarction,ketotifen
Asthma,ketotifen
Dengue,ketotifen
Pleural Effusion,ketotifen
Fever,ketotifen
Hyperthermia,ketotifen
Emergencies,labetalol
Heart Diseases,labetalol
"Heart Failure, Diastolic",labetalol
Cerebral Infarction,labetalol
Respiratory Insufficiency,lacosamide
Respiratory Aspiration of Gastric Contents,lafutidine
Malnutrition,lamivudine
HIV-Associated Lipodystrophy Syndrome,lamivudine
Cardiovascular Diseases,lamivudine
Vascular Diseases,lamivudine
Cardiovascular Abnormalities,lamivudine
Congenital Abnormalities,lamivudine
Body Weight,lamivudine
Body Weight Changes,lamivudine
Drug-Related Side Effects and Adverse Reactions,lamivudine
"Renal Insufficiency, Chronic",lamivudine
Weight Gain,lamivudine
Hemophilia A,lamivudine
Nervous System Diseases,lamivudine
Central Nervous System Diseases,lamivudine
Coinfection,lamivudine
Dyslipidemias,lamivudine
Metabolic Diseases,lamivudine
Glucose Metabolism Disorders,lamivudine
Proteinuria,lamivudine
Carcinoma,lamivudine
Immune Reconstitution Inflammatory Syndrome,lamivudine
"Meningitis, Cryptococcal",lamivudine
Meningitis,lamivudine
Acidosis,lamivudine
"Acidosis, Lactic",lamivudine
Liver Diseases,lamivudine
Hepatitis C,lamivudine
Cardiomyopathies,lamivudine
Osteoporosis,lamivudine
"Depressive Disorder, Major",lamotrigine
Asthma,lamotrigine
Memory Disorders,lamotrigine
Personality Disorders,lamotrigine
Borderline Personality Disorder,lamotrigine
Cerebral Palsy,lamotrigine
Retinal Diseases,latanoprost
Diabetic Retinopathy,latanoprost
"Glaucoma, Angle-Closure",latanoprost
Eye Diseases,latanoprost
Graves Ophthalmopathy,latanoprost
Thyroid Diseases,latanoprost
Uveitis,latanoprost
"Uveitis, Anterior",latanoprost
Dry Eye Syndromes,latanoprost
Keratoconjunctivitis Sicca,latanoprost
Alopecia,latanoprost
Alopecia Areata,latanoprost
Insulin Resistance,ledipasvir
Lung Diseases,ledipasvir
"Pulmonary Disease, Chronic Obstructive",ledipasvir
"Lung Diseases, Interstitial",ledipasvir
Heart Failure,ledipasvir
Cardiovascular Diseases,ledipasvir
"Carcinoma, Hepatocellular",ledipasvir
Gaucher Disease,ledipasvir
Renal Insufficiency,leflunomide
Glomerulonephritis,leflunomide
"Renal Insufficiency, Chronic",leflunomide
"Glomerulonephritis, IGA",leflunomide
Immunoglobulin G4-Related Disease,leflunomide
COVID-19,lenalidomide
Kidney Diseases,lesinurad
"Renal Insufficiency, Chronic",lesinurad
Neutropenia,letermovir
Ovarian Diseases,letrozole
Eunuchism,letrozole
Ovarian Cysts,letrozole
Ascariasis,levamisole
Trichuriasis,levamisole
Ascaridiasis,levamisole
Intracranial Aneurysm,levetiracetam
Aneurysm,levetiracetam
"Hematoma, Subdural",levetiracetam
"Hematoma, Subdural, Chronic",levetiracetam
Hematoma,levetiracetam
Mania,levetiracetam
Memory Disorders,levetiracetam
Body Dysmorphic Disorders,levetiracetam
Spinal Cord Injuries,levetiracetam
Spinal Injuries,levetiracetam
Tourette Syndrome,levetiracetam
Tic Disorders,levetiracetam
Pain,levetiracetam
Emergencies,levetiracetam
Subarachnoid Hemorrhage,levetiracetam
Multiple Sclerosis,levetiracetam
Renal Insufficiency,levetiracetam
Vitamin D Deficiency,levocetirizine
Hypersensitivity,levocetirizine
Pruritus,levocetirizine
Otitis,levocetirizine
Otitis Media,levocetirizine
Otitis Media with Effusion,levocetirizine
Dry Eye Syndromes,levofloxacin
Keratoconjunctivitis Sicca,levofloxacin
"Pneumonia, Aspiration",levofloxacin
Cholangitis,levofloxacin
Hypoglycemia,levofloxacin
Hyperglycemia,levofloxacin
Peptic Ulcer,levofloxacin
Head and Neck Neoplasms,levofloxacin
Mucositis,levofloxacin
Stomatitis,levofloxacin
Bronchiectasis,levofloxacin
Disease Susceptibility,levofloxacin
Substance-Related Disorders,levofloxacin
"Substance Abuse, Intravenous",levofloxacin
Virus Diseases,levofloxacin
Urinary Bladder Neoplasms,levofloxacin
Cystitis,levofloxacin
Critical Illness,levofloxacin
Hypersensitivity,levofloxacin
"Pneumonia, Pneumococcal",levofloxacin
Viremia,levofloxacin
"Eye Injuries, Penetrating",levofloxacin
Prostatic Neoplasms,levofloxacin
Pleuropneumonia,levofloxacin
"Pneumonia, Mycoplasma",levofloxacin
Carcinoma,levofloxacin
Mucositis,levonorgestrel
Inflammation,levonorgestrel
Leiomyoma,levonorgestrel
Myofibroma,levonorgestrel
Obesity,levonorgestrel
Thinness,levonorgestrel
Hot Flashes,levonorgestrel
Body Weight,levonorgestrel
Recurrence,levonorgestrel
Congenital Abnormalities,lidocaine
Stomatognathic Diseases,lidocaine
Dental Pulp Diseases,lidocaine
Dyssomnias,lidocaine
Parasomnias,lidocaine
Cardiovascular Diseases,lidocaine
"Arrhythmias, Cardiac",lidocaine
"Aneurysm, Dissecting",lidocaine
Endophthalmitis,lidocaine
Facial Pain,lidocaine
Headache Disorders,lidocaine
Arteriovenous Fistula,lidocaine
Fistula,lidocaine
Hypotension,lidocaine
Diabetes Complications,lidocaine
Nasopharyngeal Diseases,lidocaine
Nausea,lidocaine
Postoperative Nausea and Vomiting,lidocaine
Facies,lidocaine
Thyroid Neoplasms,lidocaine
Trigger Finger Disorder,lidocaine
Spondylitis,lidocaine
Spondylarthritis,lidocaine
Opioid-Related Disorders,lidocaine
Peripheral Nerve Injuries,lidocaine
Varicose Veins,lidocaine
Cerebrospinal Fluid Leak,lidocaine
Coronary Artery Disease,lidocaine
Aneurysm,lidocaine
Aortic Aneurysm,lidocaine
"Aortic Aneurysm, Abdominal",lidocaine
"Plaque, Atherosclerotic",lidocaine
Toothache,lidocaine
Keloid,lidocaine
Cicatrix,lidocaine
Hypertrophy,lidocaine
"Cicatrix, Hypertrophic",lidocaine
Peripheral Vascular Diseases,lidocaine
Substance-Related Disorders,lidocaine
Pneumonia,lidocaine
Lung Injury,lidocaine
Abdominal Neoplasms,lidocaine
Seizures,lidocaine
Hydrocephalus,lidocaine
Epilepsy,lidocaine
Neurofibromatoses,lidocaine
Necrosis,lidocaine
Alopecia,lidocaine
Epidermal Cyst,lidocaine
Granuloma,lidocaine
Alopecia Areata,lidocaine
Lichen Planus,lidocaine
Prurigo,lidocaine
Granuloma Annulare,lidocaine
Neurodermatitis,lidocaine
Keratoacanthoma,lidocaine
Appendicitis,lidocaine
